Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
289,22437,0,false
78,104927,0,false
7,226,75,false
40,15005422,0,false
260,6682,0,false
175,12655,0,false
284,158741,0,false
94,5954696,0,false
90,8692305,0,false
41,3191241,0,false
73,20002712,0,false
52,9283994,0,false
3,216643,0,false
63,32728923,0,false
262,9056,0,false
162,132758,0,false
58,144719,0,false
182,16512,0,false
244,72753,0,false
50,167139,0,false
334,44354226,0,false
74,426317,0,false
43,15516098,0,false
276,7620,0,false
387,39981724,0,false
27,163451,0,false
256,138998,0,false
287,96838,0,false
216,594403,0,false
274,8976,0,false
250,112848,0,false
333,2434,0,false
69,139707,0,false
8,210988,0,false
57,31731035,0,false
177,15000,0,false
55,138086000,0,false
67,206608,0,false
144,10259037,0,false
169,258306,0,false
252,514157,0,false
281,132502,0,false
176,19955,0,false
135,4896973,0,false
493,37539042,0,false
215,64341,0,false
123,5106918,0,false
170,14957,0,false
10,9051,0,false
97,8082829,0,false
219,54640,0,false
23,148347,0,false
258,48021,0,false
171,20633,0,false
79,10851065,0,false
166,32455,0,false
286,1083441,0,false
30,175306,0,false
279,48027,0,false
246,6490,0,false
294,4240,0,false
21,3503166,0,false
161,2178846,0,false
253,74175,0,false
19,18375,0,false
4,265245,0,false
59,540933,0,false
31,11465692,0,false
213,112949,0,false
179,29135,0,false
218,70711,0,false
42,204910,0,false
24,3574586,0,false
183,179269,0,false
290,774412,0,false
194,10069,0,false
440,51549,0,false
49,18973323,0,false
293,36104,0,false
44,3461527,0,false
68,8159998,0,false
26,198053,0,false
28,198938,0,false
77,14768,0,false
172,35294,0,false
16,169750,0,false
87,909268,0,false
45,167112,0,false
72,172355,0,false
39,176348,0,false
249,117840,0,false
210,1293,0,false
184,44293518,0,false
0,8872932,0,false
75,20317238,0,false
261,424061,0,false
282,36823800,0,false
83,10994582,0,false
36,9714236,0,false
296,3272,0,false
34,19181306,0,false
247,684042,0,false
197,51421,0,false
37,9291639,0,false
275,25953,0,false
32,309098,0,false
88,188772,0,false
51,59798,0,false
9,189089,0,false
14,216,72,false
264,7648,0,false
6,12147,4049,false
195,4451,0,false
5,9327,0,false
173,245125,0,false
29,6506156,0,false
61,170189,0,false
89,35259,0,false
22,220419,0,false
278,117970,0,false
295,12686,0,false
71,175616,0,false
265,21173,0,false
254,32280,0,false
18,8484,0,false
66,156627,0,false
60,17602898,0,false
25,189462,0,false
11,166647,0,false
164,49506,0,false
103,688665,0,false
38,8669078,0,false
53,172660,0,false
46,14389384,0,false
211,703620,0,false
62,283790,0,false
245,57964230,0,false
291,9785,0,false
64,101477,0,false
35,23645044,0,false
168,8923,0,false
180,13688,0,false
547,6725212,0,false
20,177430,0,false
48,3543507,0,false
54,650049,0,false
266,67940,0,false
277,91345,0,false
15,181219,0,false
285,38000,0,false
13,442344,0,false
113,6948103,0,false
1,471244,0,false
212,6823,0,false
2,547522,0,false
196,324191,0,false
47,177775,0,false
297,5229,0,false
288,61151,0,false
181,12726,0,false
56,525492,0,false
76,122279,0,false
118,3170941,0,false
214,79772,0,false
167,881216,0,false
17,5236,1745,false
12,232,77,false
33,13846915,0,false
251,64439,0,false
280,149378,0,false
108,547627,0,false
273,16631,0,false
263,32904,0,false
