sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,35,35,0,568560,"Exchange(371),BroadcastHashJoin(374),Filter(376),ColumnarToRow(377),WholeStageCodegen (58)(372),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(378)"
1,31,31,0,567101,"Exchange(468),Filter(471),ColumnarToRow(472),WholeStageCodegen (45)(469),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(473)"
1,29,29,0,563673,"Exchange(417),Filter(420),ColumnarToRow(421),WholeStageCodegen (39)(418),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(422)"
1,32,32,0,509995,"Exchange(476),Filter(478),ColumnarToRow(479),WholeStageCodegen (46)(477),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(480)"
1,30,30,0,454224,"Exchange(425),Filter(427),ColumnarToRow(428),WholeStageCodegen (40)(426),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(429)"
1,34,34,0,448122,"Exchange(333),BroadcastHashJoin(336),Filter(338),ColumnarToRow(339),WholeStageCodegen (57)(334),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(340)"
1,37,37,0,447356,"Exchange(283),BroadcastHashJoin(286),Filter(288),ColumnarToRow(289),WholeStageCodegen (60)(284),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(290)"
1,33,33,0,446584,"Exchange(238),BroadcastHashJoin(241),Filter(243),ColumnarToRow(244),WholeStageCodegen (56)(239),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(245)"
1,36,36,0,443606,"Exchange(506),BroadcastHashJoin(509),Filter(511),ColumnarToRow(512),WholeStageCodegen (59)(507),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(513)"
1,24,24,0,437402,"Exchange(187),Filter(190),ColumnarToRow(191),WholeStageCodegen (13)(188),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(192)"
1,28,28,0,415973,"Exchange(298),Filter(300),ColumnarToRow(301),WholeStageCodegen (25)(299),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(302)"
1,25,25,0,411407,"Exchange(195),Filter(197),ColumnarToRow(198),WholeStageCodegen (14)(196),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(199)"
1,26,26,0,410939,"Exchange(202),Filter(204),ColumnarToRow(205),WholeStageCodegen (15)(203),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(206)"
1,27,27,0,406793,"Exchange(253),Filter(255),ColumnarToRow(256),WholeStageCodegen (20)(254),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(257)"
1,21,21,0,393163,"Exchange(125),Filter(128),ColumnarToRow(129),WholeStageCodegen (7)(126),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(130)"
1,38,40,0,390121,"Exchange(49),SortMergeJoin(52),WholeStageCodegen (63)(50),Sort(54),WholeStageCodegen (61)(53),Exchange(55),Sort(62),WholeStageCodegen (62)(61),Exchange(63)"
1,22,22,0,362567,"Exchange(133),Filter(135),ColumnarToRow(136),WholeStageCodegen (8)(134),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(137)"
1,13,13,0,349804,"Filter(434),ColumnarToRow(435),WholeStageCodegen (42)(433),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(436)"
1,23,23,0,342386,"Exchange(140),Filter(142),ColumnarToRow(143),WholeStageCodegen (9)(141),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(144)"
1,0,0,0,295898,"Exchange(55),Filter(58),ColumnarToRow(59),WholeStageCodegen (1)(56),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(60)"
1,20,20,0,294984,"Filter(77),ColumnarToRow(78),WholeStageCodegen (4)(76),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(79)"
1,39,43,0,292780,"Exchange(119),SortMergeJoin(122),WholeStageCodegen (66)(120),Sort(124),Exchange(125),Sort(132),WholeStageCodegen (65)(131),Exchange(133)"
1,19,19,0,292226,"Filter(485),ColumnarToRow(486),WholeStageCodegen (49)(484),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(487)"
1,16,16,0,291733,"Exchange(70),Filter(72),ColumnarToRow(73),WholeStageCodegen (3)(71),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(74)"
1,15,15,0,289751,"Filter(345),ColumnarToRow(346),WholeStageCodegen (31)(344),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(347)"
1,17,17,0,287185,"Filter(350),ColumnarToRow(351),WholeStageCodegen (33)(349),Scan parquet spark_catalog.demo_pauldefusco.calendar(352)"
1,18,18,0,286491,"Filter(152),ColumnarToRow(153),WholeStageCodegen (11)(151),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(154)"
1,11,11,0,282560,"Filter(293),ColumnarToRow(294),WholeStageCodegen (24)(292),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(295)"
1,8,8,0,279301,"Filter(248),ColumnarToRow(249),WholeStageCodegen (19)(247),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(250)"
1,9,9,0,278721,"Filter(147),ColumnarToRow(148),WholeStageCodegen (10)(146),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(149)"
1,4,4,0,277934,"Filter(305),ColumnarToRow(306),WholeStageCodegen (26)(304),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(307)"
1,3,3,0,277786,"Filter(518),ColumnarToRow(519),WholeStageCodegen (53)(517),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(520)"
1,2,2,0,276736,"Filter(209),ColumnarToRow(210),WholeStageCodegen (16)(208),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(211)"
1,14,14,0,276653,"Filter(157),ColumnarToRow(158),WholeStageCodegen (12)(156),Scan parquet spark_catalog.demo_pauldefusco.calendar(159)"
