stageId,accumulatorId,name,min,median,max,total
0,241,"number of output rows",2410100,2412952,3978300,2500000000
0,242,"scan time",139,2889,57932,3305676
0,2424,"data size",332570048,333006041,548999240,344994528512
0,2443,"shuffle bytes written",144873300,145085777,239021504,150309131570
0,2444,"shuffle records written",2410100,2412952,3978300,2500000000
0,2445,"shuffle write time",63766455,86927682,284902097,90057347564
0,2446,"duration",141,4408,62184,4887717
0,2447,"number of output rows",2410100,2412952,3978300,2500000000
0,2448,"number of output rows",2410100,2412952,3978300,2500000000
0,2449,"number of input batches",589,589,972,610970
0,3996,"internal.metrics.executorDeserializeTime",1,85,15299,176170
0,3997,"internal.metrics.executorDeserializeCpuTime",1480527,23057749,561899525,24072558450
0,3998,"internal.metrics.executorRunTime",142,6817,65348,7400304
0,3999,"internal.metrics.executorCpuTime",46419213,4017228173,6983297128,4193986486426
0,4000,"internal.metrics.resultSize",2927,3131,3188,3281234
0,4001,"internal.metrics.jvmGCTime",19,36,670,157293
0,4002,"internal.metrics.resultSerializationTime",2,2,2,54
0,4005,"internal.metrics.peakExecutionMemory",32768,466548021,671088640,487076397056
0,4024,"internal.metrics.shuffle.write.bytesWritten",144873300,145085777,239021504,150309131570
0,4025,"internal.metrics.shuffle.write.recordsWritten",2410100,2412952,3978300,2500000000
0,4026,"internal.metrics.shuffle.write.writeTime",63766455,86927682,284902097,90057347564
0,4027,"internal.metrics.input.bytesRead",1005925,1031104,1048729,1076805177
0,4028,"internal.metrics.input.recordsRead",2410100,2412952,3978300,2500000000
1,272,"number of output rows",80000,80000,80000,2000000
1,273,"scan time",5891,11813,25585,295504
1,2453,"data size",6400000,6400000,6400000,160000000
1,2472,"shuffle bytes written",2557140,2559944,2562118,63998744
1,2473,"shuffle records written",80000,80000,80000,2000000
1,2474,"shuffle write time",5096883,5963759,7401652,149094148
1,2475,"duration",5950,11876,25661,297041
1,2476,"number of output rows",80000,80000,80000,2000000
1,2477,"number of output rows",80000,80000,80000,2000000
1,2478,"number of input batches",32,32,32,800
1,4031,"internal.metrics.executorDeserializeTime",1,1,31,191
1,4032,"internal.metrics.executorDeserializeCpuTime",1522130,3624594,8595944,90615006
1,4033,"internal.metrics.executorRunTime",6057,12137,25807,303576
1,4034,"internal.metrics.executorCpuTime",516752617,659609878,883391860,16490247123
1,4035,"internal.metrics.resultSize",3099,3106,3143,77802
1,4036,"internal.metrics.jvmGCTime",10,21,34,154
1,4040,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,4059,"internal.metrics.shuffle.write.bytesWritten",2557140,2559944,2562118,63998744
1,4060,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,4061,"internal.metrics.shuffle.write.writeTime",5096883,5963759,7401652,149094148
1,4062,"internal.metrics.input.bytesRead",220832,221070,221088,5526896
1,4063,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,589,"number of output rows",19980,19993,20012,500000
2,590,"scan time",5561,17209,53276,430395
2,2776,"duration",5584,17235,53308,430992
2,2777,"number of output rows",19980,19993,20012,500000
2,2778,"number of output rows",19980,19993,20012,500000
2,2779,"number of input batches",32,32,32,800
2,4066,"internal.metrics.executorDeserializeTime",1,4539,23589,113616
2,4067,"internal.metrics.executorDeserializeCpuTime",1377698,113999865,568279301,2849996796
2,4068,"internal.metrics.executorRunTime",5585,17308,53697,432847
2,4069,"internal.metrics.executorCpuTime",350418146,696166474,2148046262,17404161975
2,4070,"internal.metrics.resultSize",106691,108915,111207,2723059
2,4071,"internal.metrics.jvmGCTime",10,85,224,1044
2,4072,"internal.metrics.resultSerializationTime",1,2,4,5
2,4097,"internal.metrics.input.bytesRead",222052,222274,222527,5557007
2,4098,"internal.metrics.input.recordsRead",19980,19993,20012,500000
3,611,"number of output rows",731,731,731,731
3,612,"scan time",266,266,266,266
3,2794,"duration",269,269,269,269
3,2795,"number of output rows",731,731,731,731
3,2796,"number of output rows",731,731,731,731
3,2797,"number of input batches",1,1,1,1
3,4101,"internal.metrics.executorDeserializeTime",119,119,119,119
3,4102,"internal.metrics.executorDeserializeCpuTime",63704115,63704115,63704115,63704115
3,4103,"internal.metrics.executorRunTime",313,313,313,313
3,4104,"internal.metrics.executorCpuTime",128966606,128966606,128966606,128966606
3,4105,"internal.metrics.resultSize",5667,5667,5667,5667
3,4132,"internal.metrics.input.bytesRead",7680,7680,7680,7680
3,4133,"internal.metrics.input.recordsRead",731,731,731,731
