executorId,time,reason
"100",1789105132605,"The executor with id 100 was deleted by a user or the framework."
"101",1789105129600,"The executor with id 101 was deleted by a user or the framework."
"102",1789105134607,"The executor with id 102 was deleted by a user or the framework."
"114",1789105133606,"The executor with id 114 was deleted by a user or the framework."
"115",1789105131606,"The executor with id 115 was deleted by a user or the framework."
"116",1789105130602,"The executor with id 116 was deleted by a user or the framework."
"117",1789105134607,"The executor with id 117 was deleted by a user or the framework."
"118",1789105132605,"The executor with id 118 was deleted by a user or the framework."
"119",1789105129600,"The executor with id 119 was deleted by a user or the framework."
"120",1789105133607,"The executor with id 120 was deleted by a user or the framework."
"121",1789105133606,"The executor with id 121 was deleted by a user or the framework."
"125",1789105130602,"The executor with id 125 was deleted by a user or the framework."
"126",1789105134607,"The executor with id 126 was deleted by a user or the framework."
"133",1789105131604,"The executor with id 133 was deleted by a user or the framework."
"14",1789105131606,"The executor with id 14 was deleted by a user or the framework."
"142",1789105131606,"The executor with id 142 was deleted by a user or the framework."
"143",1789105135730,"The executor with id 143 was deleted by a user or the framework."
"148",1789105132606,"The executor with id 148 was deleted by a user or the framework."
"151",1789105131606,"The executor with id 151 was deleted by a user or the framework."
"152",1789105135729,"The executor with id 152 was deleted by a user or the framework."
"153",1789105134607,"The executor with id 153 was deleted by a user or the framework."
"154",1789105132605,"The executor with id 154 was deleted by a user or the framework."
"155",1789105129598,"The executor with id 155 was deleted by a user or the framework."
"156",1789105133607,"The executor with id 156 was deleted by a user or the framework."
"158",1789105129599,"The executor with id 158 was deleted by a user or the framework."
"160",1789105131604,"The executor with id 160 was deleted by a user or the framework."
"161",1789105135729,"The executor with id 161 was deleted by a user or the framework."
"17",1789105130602,"The executor with id 17 was deleted by a user or the framework."
"18",1789105134607,"The executor with id 18 was deleted by a user or the framework."
"181",1789105131604,"The executor with id 181 was deleted by a user or the framework."
"182",1789105129600,"The executor with id 182 was deleted by a user or the framework."
"183",1789105133606,"The executor with id 183 was deleted by a user or the framework."
"184",1789105130601,"The executor with id 184 was deleted by a user or the framework."
"185",1789105129599,"The executor with id 185 was deleted by a user or the framework."
"186",1789105133607,"The executor with id 186 was deleted by a user or the framework."
"190",1789105132606,"The executor with id 190 was deleted by a user or the framework."
"195",1789105133606,"The executor with id 195 was deleted by a user or the framework."
"196",1789105131606,"The executor with id 196 was deleted by a user or the framework."
"197",1789105135729,"The executor with id 197 was deleted by a user or the framework."
"206",1789105135729,"The executor with id 206 was deleted by a user or the framework."
"210",1789105065516,"\nThe executor with id 210 exited with exit code -1(unexpected).\n\n\n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"228",1789105133607,"The executor with id 228 was deleted by a user or the framework."
"23",1789105129600,"The executor with id 23 was deleted by a user or the framework."
"230",1789105134607,"The executor with id 230 was deleted by a user or the framework."
"231",1789105134608,"The executor with id 231 was deleted by a user or the framework."
"232",1789105131606,"The executor with id 232 was deleted by a user or the framework."
"233",1789105135729,"The executor with id 233 was deleted by a user or the framework."
"235",1789105130602,"The executor with id 235 was deleted by a user or the framework."
"236",1789105129599,"The executor with id 236 was deleted by a user or the framework."
"237",1789105133607,"The executor with id 237 was deleted by a user or the framework."
"238",1789105131603,"The executor with id 238 was deleted by a user or the framework."
"239",1789105135729,"The executor with id 239 was deleted by a user or the framework."
"240",1789105133606,"The executor with id 240 was deleted by a user or the framework."
"241",1789105131606,"The executor with id 241 was deleted by a user or the framework."
"253",1789105130602,"The executor with id 253 was deleted by a user or the framework."
"254",1789105129599,"The executor with id 254 was deleted by a user or the framework."
"255",1789105133606,"The executor with id 255 was deleted by a user or the framework."
"28",1789105133607,"The executor with id 28 was deleted by a user or the framework."
"285",1789105301686,"The executor with id 285 was deleted by a user or the framework."
"286",1789105279677,"The executor with id 286 was deleted by a user or the framework."
"287",1789105306036,"The executor with id 287 was deleted by a user or the framework."
"288",1789105302686,"The executor with id 288 was deleted by a user or the framework."
"289",1789105282678,"The executor with id 289 was deleted by a user or the framework."
"290",1789105305688,"The executor with id 290 was deleted by a user or the framework."
"291",1789105303687,"The executor with id 291 was deleted by a user or the framework."
"292",1789105288680,"The executor with id 292 was deleted by a user or the framework."
"293",1789105306036,"The executor with id 293 was deleted by a user or the framework."
"294",1789105296684,"The executor with id 294 was deleted by a user or the framework."
"295",1789105279677,"The executor with id 295 was deleted by a user or the framework."
"296",1789105306036,"The executor with id 296 was deleted by a user or the framework."
"297",1789105302686,"The executor with id 297 was deleted by a user or the framework."
"298",1789105281678,"The executor with id 298 was deleted by a user or the framework."
"299",1789105305688,"The executor with id 299 was deleted by a user or the framework."
"300",1789105289681,"The executor with id 300 was deleted by a user or the framework."
"301",1789105287680,"The executor with id 301 was deleted by a user or the framework."
"302",1789105306036,"The executor with id 302 was deleted by a user or the framework."
"303",1789105296684,"The executor with id 303 was deleted by a user or the framework."
"304",1789105277676,"The executor with id 304 was deleted by a user or the framework."
"305",1789105306036,"The executor with id 305 was deleted by a user or the framework."
"306",1789105301686,"The executor with id 306 was deleted by a user or the framework."
"307",1789105281678,"The executor with id 307 was deleted by a user or the framework."
"308",1789105305688,"The executor with id 308 was deleted by a user or the framework."
"309",1789105294683,"The executor with id 309 was deleted by a user or the framework."
"31",1789105133607,"The executor with id 31 was deleted by a user or the framework."
"310",1789105288680,"The executor with id 310 was deleted by a user or the framework."
"311",1789105306036,"The executor with id 311 was deleted by a user or the framework."
"312",1789105295684,"The executor with id 312 was deleted by a user or the framework."
"313",1789105280677,"The executor with id 313 was deleted by a user or the framework."
"314",1789105306036,"The executor with id 314 was deleted by a user or the framework."
"315",1789105303687,"The executor with id 315 was deleted by a user or the framework."
"316",1789105286679,"The executor with id 316 was deleted by a user or the framework."
"317",1789105305688,"The executor with id 317 was deleted by a user or the framework."
"318",1789105294684,"The executor with id 318 was deleted by a user or the framework."
"319",1789105286679,"The executor with id 319 was deleted by a user or the framework."
"320",1789105306036,"The executor with id 320 was deleted by a user or the framework."
"321",1789105301686,"The executor with id 321 was deleted by a user or the framework."
"322",1789105280678,"The executor with id 322 was deleted by a user or the framework."
"323",1789105303687,"The executor with id 323 was deleted by a user or the framework."
"327",1789105293683,"The executor with id 327 was deleted by a user or the framework."
"328",1789105288680,"The executor with id 328 was deleted by a user or the framework."
"329",1789105306036,"The executor with id 329 was deleted by a user or the framework."
"330",1789105298685,"The executor with id 330 was deleted by a user or the framework."
"331",1789105278676,"The executor with id 331 was deleted by a user or the framework."
"332",1789105303687,"The executor with id 332 was deleted by a user or the framework."
"333",1789105302686,"The executor with id 333 was deleted by a user or the framework."
"334",1789105282678,"The executor with id 334 was deleted by a user or the framework."
"335",1789105305688,"The executor with id 335 was deleted by a user or the framework."
"336",1789105291682,"The executor with id 336 was deleted by a user or the framework."
"337",1789105287680,"The executor with id 337 was deleted by a user or the framework."
"338",1789105306036,"The executor with id 338 was deleted by a user or the framework."
"339",1789105298685,"The executor with id 339 was deleted by a user or the framework."
"340",1789105279677,"The executor with id 340 was deleted by a user or the framework."
"341",1789105303687,"The executor with id 341 was deleted by a user or the framework."
"342",1789105301686,"The executor with id 342 was deleted by a user or the framework."
"343",1789105282678,"The executor with id 343 was deleted by a user or the framework."
"344",1789105305688,"The executor with id 344 was deleted by a user or the framework."
"345",1789105290681,"The executor with id 345 was deleted by a user or the framework."
"346",1789105273660,"The executor with id 346 was deleted by a user or the framework."
"347",1789105305688,"The executor with id 347 was deleted by a user or the framework."
"348",1789105295684,"The executor with id 348 was deleted by a user or the framework."
"349",1789105276675,"The executor with id 349 was deleted by a user or the framework."
"35",1789105130602,"The executor with id 35 was deleted by a user or the framework."
"350",1789105303687,"The executor with id 350 was deleted by a user or the framework."
"351",1789105303687,"The executor with id 351 was deleted by a user or the framework."
"353",1789105305688,"The executor with id 353 was deleted by a user or the framework."
"354",1789105290682,"The executor with id 354 was deleted by a user or the framework."
"355",1789105275675,"The executor with id 355 was deleted by a user or the framework."
"356",1789105305688,"The executor with id 356 was deleted by a user or the framework."
"357",1789105295684,"The executor with id 357 was deleted by a user or the framework."
"369",1789105289681,"The executor with id 369 was deleted by a user or the framework."
"372",1789105292682,"The executor with id 372 was deleted by a user or the framework."
"373",1789105560722,"The executor with id 373 was deleted by a user or the framework."
"374",1789105561723,"The executor with id 374 was deleted by a user or the framework."
"375",1789105562723,"The executor with id 375 was deleted by a user or the framework."
"376",1789105562723,"The executor with id 376 was deleted by a user or the framework."
"377",1789105563724,"The executor with id 377 was deleted by a user or the framework."
"378",1789105563724,"The executor with id 378 was deleted by a user or the framework."
"379",1789105563724,"The executor with id 379 was deleted by a user or the framework."
"380",1789105563724,"The executor with id 380 was deleted by a user or the framework."
"381",1789105582731,"The executor with id 381 was deleted by a user or the framework."
"382",1789105579727,"The executor with id 382 was deleted by a user or the framework."
"383",1789105582731,"The executor with id 383 was deleted by a user or the framework."
"384",1789105582732,"The executor with id 384 was deleted by a user or the framework."
"385",1789105580729,"The executor with id 385 was deleted by a user or the framework."
"386",1789105583732,"The executor with id 386 was deleted by a user or the framework."
"387",1789105580729,"The executor with id 387 was deleted by a user or the framework."
"388",1789105580729,"The executor with id 388 was deleted by a user or the framework."
"389",1789105584733,"The executor with id 389 was deleted by a user or the framework."
"39",1789105065539,"\nThe executor with id 39 exited with exit code -1(unexpected).\n\n\n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"390",1789105582731,"The executor with id 390 was deleted by a user or the framework."
"391",1789105579727,"The executor with id 391 was deleted by a user or the framework."
"392",1789105582731,"The executor with id 392 was deleted by a user or the framework."
"393",1789105582731,"The executor with id 393 was deleted by a user or the framework."
"394",1789105579727,"The executor with id 394 was deleted by a user or the framework."
"395",1789105583732,"The executor with id 395 was deleted by a user or the framework."
"396",1789105580729,"The executor with id 396 was deleted by a user or the framework."
"397",1789105580729,"The executor with id 397 was deleted by a user or the framework."
"398",1789105584733,"The executor with id 398 was deleted by a user or the framework."
"399",1789105580729,"The executor with id 399 was deleted by a user or the framework."
"40",1789105132605,"The executor with id 40 was deleted by a user or the framework."
"400",1789105579727,"The executor with id 400 was deleted by a user or the framework."
"401",1789105582731,"The executor with id 401 was deleted by a user or the framework."
"402",1789105582731,"The executor with id 402 was deleted by a user or the framework."
"403",1789105579727,"The executor with id 403 was deleted by a user or the framework."
"404",1789105583732,"The executor with id 404 was deleted by a user or the framework."
"405",1789105580729,"The executor with id 405 was deleted by a user or the framework."
"406",1789105579727,"The executor with id 406 was deleted by a user or the framework."
"407",1789105584733,"The executor with id 407 was deleted by a user or the framework."
"408",1789105582731,"The executor with id 408 was deleted by a user or the framework."
"409",1789105579727,"The executor with id 409 was deleted by a user or the framework."
"410",1789105583732,"The executor with id 410 was deleted by a user or the framework."
"411",1789105582731,"The executor with id 411 was deleted by a user or the framework."
"412",1789105580729,"The executor with id 412 was deleted by a user or the framework."
"413",1789105583733,"The executor with id 413 was deleted by a user or the framework."
"414",1789105580729,"The executor with id 414 was deleted by a user or the framework."
"415",1789105579726,"The executor with id 415 was deleted by a user or the framework."
"416",1789105583733,"The executor with id 416 was deleted by a user or the framework."
"417",1789105582732,"The executor with id 417 was deleted by a user or the framework."
"418",1789105579727,"The executor with id 418 was deleted by a user or the framework."
"419",1789105582731,"The executor with id 419 was deleted by a user or the framework."
"420",1789105580729,"The executor with id 420 was deleted by a user or the framework."
"421",1789105579727,"The executor with id 421 was deleted by a user or the framework."
"422",1789105583732,"The executor with id 422 was deleted by a user or the framework."
"423",1789105580729,"The executor with id 423 was deleted by a user or the framework."
"424",1789105579727,"The executor with id 424 was deleted by a user or the framework."
"425",1789105584733,"The executor with id 425 was deleted by a user or the framework."
"426",1789105580729,"The executor with id 426 was deleted by a user or the framework."
"427",1789105579727,"The executor with id 427 was deleted by a user or the framework."
"428",1789105582731,"The executor with id 428 was deleted by a user or the framework."
"429",1789105580729,"The executor with id 429 was deleted by a user or the framework."
"430",1789105579727,"The executor with id 430 was deleted by a user or the framework."
"431",1789105583732,"The executor with id 431 was deleted by a user or the framework."
"432",1789105580729,"The executor with id 432 was deleted by a user or the framework."
"433",1789105579727,"The executor with id 433 was deleted by a user or the framework."
"434",1789105583732,"The executor with id 434 was deleted by a user or the framework."
"435",1789105582731,"The executor with id 435 was deleted by a user or the framework."
"436",1789105580729,"The executor with id 436 was deleted by a user or the framework."
"437",1789105582731,"The executor with id 437 was deleted by a user or the framework."
"438",1789105580729,"The executor with id 438 was deleted by a user or the framework."
"439",1789105580730,"The executor with id 439 was deleted by a user or the framework."
"440",1789105583733,"The executor with id 440 was deleted by a user or the framework."
"441",1789105583732,"The executor with id 441 was deleted by a user or the framework."
"442",1789105583733,"The executor with id 442 was deleted by a user or the framework."
