sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,8,8,0,242977,"Exchange(155),Filter(157),ColumnarToRow(158),WholeStageCodegen (9)(156),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(159)"
1,7,7,0,241290,"Exchange(147),Filter(149),ColumnarToRow(150),WholeStageCodegen (8)(148),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(151)"
1,9,9,0,240121,"Exchange(163),Filter(165),ColumnarToRow(166),WholeStageCodegen (10)(164),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(167)"
1,6,6,0,225919,"Exchange(140),Filter(142),ColumnarToRow(143),WholeStageCodegen (7)(141),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(144)"
1,10,10,0,225040,"Exchange(171),Filter(173),ColumnarToRow(174),WholeStageCodegen (11)(172),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(175)"
1,11,11,0,220536,"Exchange(179),Filter(181),ColumnarToRow(182),WholeStageCodegen (12)(180),Scan parquet spark_catalog.demo_pauldefusco.calendar(183)"
1,2,2,0,209385,"Exchange(72),Filter(74),ColumnarToRow(75),WholeStageCodegen (3)(73),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(76)"
1,1,1,0,209053,"Exchange(65),Filter(67),ColumnarToRow(68),WholeStageCodegen (2)(66),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(69)"
1,12,14,0,203871,"Exchange(52),SortMergeJoin(55),WholeStageCodegen (15)(53),Sort(57),Exchange(58),Sort(64),WholeStageCodegen (14)(63),Exchange(65)"
1,4,4,0,203531,"Exchange(88),Filter(90),ColumnarToRow(91),WholeStageCodegen (5)(89),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(92)"
1,3,3,0,203352,"Exchange(80),Filter(82),ColumnarToRow(83),WholeStageCodegen (4)(81),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(84)"
1,0,0,0,195758,"Exchange(58),Filter(60),ColumnarToRow(61),WholeStageCodegen (1)(59),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(62)"
1,5,5,0,192979,"Exchange(96),Filter(98),ColumnarToRow(99),WholeStageCodegen (6)(97),Scan parquet spark_catalog.demo_pauldefusco.calendar(100)"
1,13,17,0,159966,"Exchange(134),SortMergeJoin(137),WholeStageCodegen (18)(135),Sort(139),Exchange(140),Sort(146),WholeStageCodegen (17)(145),Exchange(147)"
2,26,178,0,57605,"Exchange(47),Filter(49),ColumnarToRow(50),WholeStageCodegen (1)(48),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(51)"
2,38,192,0,52117,"Exchange(121),SortMergeJoin(124),WholeStageCodegen (15)(122),Sort(126),Exchange(127),Sort(133),WholeStageCodegen (14)(132),Exchange(134)"
1,25,177,0,44991,"Execute InsertIntoHadoopFsRelationCommand(1),Sort(4),WholeStageCodegen (48)(3),Exchange(6)"
2,35,187,0,42060,"Exchange(149),Filter(151),ColumnarToRow(152),WholeStageCodegen (10)(150),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(153)"
2,34,186,0,41465,"Exchange(141),Filter(143),ColumnarToRow(144),WholeStageCodegen (9)(142),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(145)"
2,33,185,0,41128,"Exchange(134),Filter(136),ColumnarToRow(137),WholeStageCodegen (8)(135),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(138)"
