sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",59755,"number of written files",23,23,23,23,"sum","531"
1,1,"Execute InsertIntoHadoopFsRelationCommand",59756,"written output",12069420,12069420,12069420,12069420,"size","531"
1,1,"Execute InsertIntoHadoopFsRelationCommand",59757,"number of output rows",70364,70364,70364,70364,"sum","531"
1,1,"Execute InsertIntoHadoopFsRelationCommand",59758,"number of dynamic part",0,0,0,0,"sum","531"
1,1,"Execute InsertIntoHadoopFsRelationCommand",59759,"task commit time",382,415,542,9665,"timing","531"
1,1,"Execute InsertIntoHadoopFsRelationCommand",59760,"job commit time",1343,1343,1343,1343,"timing","531"
1,3,"WholeStageCodegen (386)",59761,"duration",580,2620,44672,60393,"timing","531"
1,4,"Sort",59762,"sort time",1,2,22,161,"timing","531"
1,4,"Sort",59763,"peak memory",67239936,67239936,67239936,1546518528,"size","531"
1,4,"Sort",59764,"spill size",0,0,0,0,"size","531"
1,5,"AQEShuffleRead",59765,"number of partitions",23,23,23,23,"sum",""
1,5,"AQEShuffleRead",59766,"partition data size",1052543,1061939,1569699,24953089,"size",""
1,5,"AQEShuffleRead",59767,"number of coalesced partitions",23,23,23,23,"sum",""
1,6,"Exchange",59589,"data size",2432,48991,220792,25149736,"size","468,531"
1,6,"Exchange",59590,"number of partitions",800,800,800,800,"sum","468,531"
1,6,"Exchange",59591,"remote blocks read",2000,2430,3816,55984,"sum","468,531"
1,6,"Exchange",59592,"local blocks read",149,248,427,5795,"sum","468,531"
1,6,"Exchange",59593,"remote bytes read",902457,938332,1347922,21581742,"size","468,531"
1,6,"Exchange",59595,"local bytes read",57525,97318,151030,2238460,"size","468,531"
1,6,"Exchange",59596,"fetch wait time",0,0,0,0,"timing","468,531"
1,6,"Exchange",59597,"records read",2901,3055,4750,70364,"sum","468,531"
1,6,"Exchange",59606,"remote reqs duration",246,351,500,8229,"timing","468,531"
1,6,"Exchange",59608,"shuffle bytes written",2145,46392,192872,23820202,"size","468,531"
1,6,"Exchange",59609,"shuffle records written",7,50,613,70364,"sum","468,531"
1,6,"Exchange",59610,"shuffle write time",52551,600739,1988000,307642576,"nsTiming","468,531"
1,7,"WholeStageCodegen (385)",59611,"duration",8,15,814,216989,"timing","406,468,344"
1,8,"HashAggregate",59612,"number of output rows",7,67,613,233980,"sum","406,468,344"
1,8,"HashAggregate",59613,"peak memory",262144,44140823,67371008,107885363200,"size","406,468,344"
1,8,"HashAggregate",59615,"time in aggregation build",5,12,718,197089,"timing","406,468,344"
1,8,"HashAggregate",59616,"avg hash probes per key",10,10,10,15980,"average","406,468,344"
1,9,"HashAggregate",59618,"number of output rows",7,67,613,233980,"sum","406,468,344"
1,9,"HashAggregate",59619,"peak memory",262144,262144,262144,645398528,"size","406,468,344"
1,9,"HashAggregate",59621,"time in aggregation build",0,6,632,171435,"timing","406,468,344"
1,11,"SortMergeJoin",59624,"number of output rows",8,2519,19598,4083333,"sum","406,468,344"
1,11,"SortMergeJoin",59625,"spill size",0,0,0,0,"size","406,468,344"
1,12,"WholeStageCodegen (383)",59627,"duration",10,19,1388,247680,"timing","406,468,344"
1,13,"Sort",59628,"sort time",0,0,37,1698,"timing","406,468,344"
1,13,"Sort",59629,"peak memory",65536,43974858,67633152,107472093184,"size","406,468,344"
1,13,"Sort",59630,"spill size",0,0,0,0,"size","406,468,344"
1,14,"Exchange",59289,"remote blocks read",4,367,800,796818,"sum","406,468,344"
1,14,"Exchange",59290,"local blocks read",2,5,118,85251,"sum","406,468,344"
1,14,"Exchange",59291,"remote bytes read",1012,384314,2331148,594237163,"size","406,468,344"
1,14,"Exchange",59293,"local bytes read",515,41678,286229,63430324,"size","406,468,344"
1,14,"Exchange",59294,"fetch wait time",0,0,63,2682,"timing","406,468,344"
1,14,"Exchange",59295,"records read",8,2519,19598,4083333,"sum","406,468,344"
1,14,"Exchange",59304,"remote reqs duration",6,81,17549,221958,"timing","406,468,344"
1,20,"Exchange",58899,"data size",292424,420010,586264,336166536,"size","240"
1,20,"Exchange",58900,"number of partitions",800,800,800,800,"sum","240"
1,20,"Exchange",58918,"shuffle bytes written",240500,329089,436991,263432485,"size","240"
1,20,"Exchange",58919,"shuffle records written",1064,1355,2135,1222040,"sum","240"
1,20,"Exchange",58920,"shuffle write time",2192189,3180683,51013382,2544707132,"nsTiming","240"
1,21,"WholeStageCodegen (370)",58921,"duration",31,31,160,40475,"timing","240"
1,23,"SortMergeJoin",58922,"number of output rows",1064,1355,2135,1222040,"sum","240"
1,23,"SortMergeJoin",58923,"spill size",0,0,0,0,"size","240"
1,24,"WholeStageCodegen (368)",58925,"duration",35,35,168,46716,"timing","240"
1,25,"Sort",58926,"sort time",0,0,4,211,"timing","240"
1,25,"Sort",58927,"peak memory",67174400,67174400,67174400,53739520000,"size","240"
1,25,"Sort",58928,"spill size",0,0,0,0,"size","240"
1,26,"Exchange",57954,"data size",7761512,7960728,8575392,326390216,"size","191,240"
