sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,7,7,0,129235,"Exchange(181),Filter(183),ColumnarToRow(184),WholeStageCodegen (10)(182),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(185)"
1,1,1,0,107885,"Exchange(89),Filter(91),ColumnarToRow(92),WholeStageCodegen (2)(90),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(93)"
1,13,13,0,98070,"Exchange(574),Filter(577),ColumnarToRow(578),WholeStageCodegen (91)(575),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(579)"
1,11,11,0,94558,"Exchange(306),Filter(309),ColumnarToRow(310),WholeStageCodegen (20)(307),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(311)"
1,12,12,0,92172,"Exchange(370),Filter(372),ColumnarToRow(373),WholeStageCodegen (29)(371),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(374)"
1,10,10,0,87589,"Exchange(297),Filter(300),ColumnarToRow(301),WholeStageCodegen (19)(298),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(302)"
1,8,8,0,84050,"Exchange(189),Filter(191),ColumnarToRow(192),WholeStageCodegen (11)(190),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(193)"
1,6,6,0,81449,"Exchange(173),Filter(175),ColumnarToRow(176),WholeStageCodegen (9)(174),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(177)"
1,9,9,0,79570,"Exchange(197),Filter(199),ColumnarToRow(200),WholeStageCodegen (12)(198),Scan parquet spark_catalog.demo_pauldefusco.calendar(201)"
1,4,4,0,75707,"Exchange(113),Filter(115),ColumnarToRow(116),WholeStageCodegen (5)(114),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(117)"
1,3,3,0,75385,"Exchange(105),Filter(107),ColumnarToRow(108),WholeStageCodegen (4)(106),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(109)"
1,0,0,0,74654,"Exchange(80),Filter(83),ColumnarToRow(84),WholeStageCodegen (1)(81),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(85)"
1,5,5,0,71424,"Exchange(121),Filter(123),ColumnarToRow(124),WholeStageCodegen (6)(122),Scan parquet spark_catalog.demo_pauldefusco.calendar(125)"
1,2,2,0,71086,"Exchange(97),Filter(99),ColumnarToRow(100),WholeStageCodegen (3)(98),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(101)"
2,65,532,0,57070,"Exchange(66),Filter(69),ColumnarToRow(70),WholeStageCodegen (1)(67),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(71)"
1,64,531,0,46027,"Execute InsertIntoHadoopFsRelationCommand(1),Sort(4),WholeStageCodegen (386)(3),Exchange(6)"
2,93,639,0,16285,"Exchange(196),Exchange(245),SortMergeJoin(248),WholeStageCodegen (349)(246),Sort(250),WholeStageCodegen (347)(249),Exchange(251),Sort(308),WholeStageCodegen (348)(307)"
2,68,535,0,15603,"Exchange(92),Filter(94),ColumnarToRow(95),WholeStageCodegen (4)(93),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(96)"
2,70,537,0,14777,"Exchange(108),Filter(110),ColumnarToRow(111),WholeStageCodegen (6)(109),Scan parquet spark_catalog.demo_pauldefusco.calendar(112)"
2,69,536,0,14558,"Exchange(100),Filter(102),ColumnarToRow(103),WholeStageCodegen (5)(101),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(104)"
2,96,671,0,12094,"Exchange(245),Exchange(314),SortMergeJoin(317),WholeStageCodegen (361)(315),Sort(319),WholeStageCodegen (359)(318),Exchange(320),Sort(340),HashAggregate(341),HashAggregate(342),WholeStageCodegen (360)(339)"
2,67,534,0,12009,"Exchange(84),Filter(86),ColumnarToRow(87),WholeStageCodegen (3)(85),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(88)"
2,104,803,0,10677,"Exchange(3),HashAggregate(5),HashAggregate(6),HashAggregate(7),SortMergeJoin(9),WholeStageCodegen (385)(4),Sort(11),WholeStageCodegen (383)(10),Exchange(12),Sort(310),HashAggregate(311),HashAggregate(312),Sort(313),WholeStageCodegen (384)(309),Exchange(314)"
1,54,206,0,10185,"Exchange(384),HashAggregate(386),HashAggregate(387),WholeStageCodegen (363)(385),Exchange(388)"
2,66,533,0,8695,"Exchange(75),Filter(78),ColumnarToRow(79),WholeStageCodegen (2)(76),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(80)"
1,56,240,0,8016,"Exchange(20),SortMergeJoin(23),WholeStageCodegen (370)(21),Sort(25),WholeStageCodegen (368)(24),Exchange(26),Sort(203),WholeStageCodegen (369)(202),Exchange(204)"
1,55,222,0,7921,"Exchange(463),SortMergeJoin(466),WholeStageCodegen (367)(464),Sort(468),WholeStageCodegen (365)(467),Exchange(469),Sort(521),WholeStageCodegen (366)(520),Exchange(522)"
2,94,641,0,7469,"Exchange(196),Exchange(320),SortMergeJoin(323),WholeStageCodegen (352)(321),Sort(325),WholeStageCodegen (350)(324),Exchange(326),Sort(338),WholeStageCodegen (351)(337)"
2,92,613,0,7402,"Exchange(196),HashAggregate(198),HashAggregate(199),WholeStageCodegen (343)(197),Exchange(200)"
2,91,608,0,7079,"Exchange(117),Exchange(258),Exchange(326),SortMergeJoin(329),WholeStageCodegen (339)(327),Sort(331),WholeStageCodegen (337)(330),Sort(334),HashAggregate(335),WholeStageCodegen (338)(333)"
2,95,643,0,6388,"Exchange(59),SortMergeJoin(62),WholeStageCodegen (358)(60),Sort(64),Exchange(66),Sort(73),WholeStageCodegen (357)(72),Exchange(75)"
1,53,204,0,6048,"Exchange(204),HashAggregate(206),HashAggregate(207),Sort(208),WholeStageCodegen (362)(205),Exchange(209)"
1,51,191,0,5431,"Exchange(26),SortMergeJoin(29),WholeStageCodegen (360)(27),Sort(31),WholeStageCodegen (358)(30),Exchange(33),Sort(127),HashAggregate(128),WholeStageCodegen (359)(126),Exchange(130)"
1,52,199,0,5381,"Exchange(522),HashAggregate(524),HashAggregate(525),WholeStageCodegen (361)(523),Exchange(526)"
1,49,179,0,5088,"Exchange(261),Exchange(342),Exchange(446),SortMergeJoin(449),WholeStageCodegen (351)(447),Sort(451),WholeStageCodegen (349)(450),Sort(454),HashAggregate(455),WholeStageCodegen (350)(453)"
2,101,699,0,5031,"Exchange(24),SortMergeJoin(27),WholeStageCodegen (376)(25),Sort(29),WholeStageCodegen (374)(28),Exchange(31),Sort(114),HashAggregate(115),WholeStageCodegen (375)(113),Exchange(117)"
1,47,177,0,4984,"Exchange(261),Exchange(335),SortMergeJoin(338),WholeStageCodegen (345)(336),Sort(340),WholeStageCodegen (343)(339),Exchange(342),Sort(379),HashAggregate(380),WholeStageCodegen (344)(378)"
1,50,184,0,4566,"Exchange(261),Exchange(469),SortMergeJoin(472),WholeStageCodegen (357)(470),Sort(474),WholeStageCodegen (355)(473),Exchange(476),Sort(517),HashAggregate(518),WholeStageCodegen (356)(516)"
1,14,16,0,4482,"Exchange(290),SortMergeJoin(293),WholeStageCodegen (99)(291),Sort(295),Exchange(297),Sort(304),WholeStageCodegen (98)(303),Exchange(306)"
2,100,691,0,4178,"Exchange(31),SortMergeJoin(34),WholeStageCodegen (373)(32),Sort(36),WholeStageCodegen (371)(35),Exchange(38),Sort(106),WholeStageCodegen (372)(105),Exchange(108)"
2,90,607,0,4133,"Exchange(117),Exchange(251),SortMergeJoin(254),WholeStageCodegen (336)(252),Sort(256),WholeStageCodegen (334)(255),Exchange(258),Sort(304),HashAggregate(305),WholeStageCodegen (335)(303)"
1,16,23,0,4080,"Exchange(97),Exchange(290),Exchange(497),SortMergeJoin(500),WholeStageCodegen (150)(498),Sort(502),WholeStageCodegen (148)(501),Sort(505)"
1,26,62,0,3926,"Exchange(73),Exchange(163),SortMergeJoin(166),WholeStageCodegen (216)(164),Sort(168),WholeStageCodegen (214)(167),Sort(171),Exchange(173)"
2,89,600,0,3696,"Exchange(117),Exchange(200),SortMergeJoin(203),WholeStageCodegen (324)(201),Sort(205),WholeStageCodegen (322)(204),Exchange(207),Sort(238),HashAggregate(239),WholeStageCodegen (323)(237)"
1,35,97,0,3546,"Exchange(121),Exchange(216),SortMergeJoin(230),WholeStageCodegen (264)(217),Sort(232),WholeStageCodegen (262)(231),Exchange(234),Sort(255),WholeStageCodegen (263)(254)"
1,34,91,0,3453,"Exchange(121),Exchange(342),SortMergeJoin(356),WholeStageCodegen (258)(343),Sort(358),WholeStageCodegen (256)(357),Exchange(360),Sort(376),WholeStageCodegen (257)(375)"
1,33,88,0,3281,"Exchange(33),SortMergeJoin(48),WholeStageCodegen (255)(34),Sort(50),WholeStageCodegen (253)(49),Exchange(52),Sort(119),WholeStageCodegen (254)(118),Exchange(121)"
1,48,178,0,3077,"Exchange(261),Exchange(388),SortMergeJoin(391),WholeStageCodegen (348)(389),Sort(393),WholeStageCodegen (346)(392),Exchange(395),Sort(426),HashAggregate(427),WholeStageCodegen (347)(425)"
1,31,79,0,2971,"Exchange(59),Exchange(360),SortMergeJoin(363),WholeStageCodegen (246)(361),Sort(365),WholeStageCodegen (244)(364),Sort(368),WholeStageCodegen (245)(367),Exchange(370)"
1,28,69,0,2792,"Exchange(59),SortMergeJoin(62),WholeStageCodegen (231)(60),Sort(64),WholeStageCodegen (229)(63),Exchange(66),Sort(103),WholeStageCodegen (230)(102),Exchange(105)"
1,32,84,0,2776,"Exchange(189),Exchange(234),SortMergeJoin(237),WholeStageCodegen (252)(235),Sort(239),WholeStageCodegen (250)(238),Exchange(241),Sort(252),WholeStageCodegen (251)(251)"
1,45,163,0,2624,"Exchange(395),Exchange(526),SortMergeJoin(529),WholeStageCodegen (339)(527),Sort(531),WholeStageCodegen (337)(530),Sort(534),HashAggregate(535),WholeStageCodegen (338)(533),Exchange(537)"
1,17,27,0,2604,"Exchange(105),Exchange(283),Exchange(409),SortMergeJoin(412),WholeStageCodegen (159)(410),Sort(414),WholeStageCodegen (157)(413),Sort(417),WholeStageCodegen (158)(416)"
1,63,468,0,2550,"Exchange(6),HashAggregate(8),HashAggregate(9),SortMergeJoin(11),WholeStageCodegen (385)(7),Sort(13),WholeStageCodegen (383)(12),Exchange(14),Sort(430),HashAggregate(431),HashAggregate(432),Sort(433),WholeStageCodegen (384)(429),Exchange(434)"
1,46,170,0,2429,"Exchange(209),SortMergeJoin(212),WholeStageCodegen (342)(210),Sort(214),WholeStageCodegen (340)(213),Exchange(216),Sort(258),HashAggregate(259),WholeStageCodegen (341)(257),Exchange(261)"
1,24,58,0,2337,"Exchange(121),Exchange(476),SortMergeJoin(479),WholeStageCodegen (210)(477),Sort(481),WholeStageCodegen (208)(480),Exchange(483),Sort(514),WholeStageCodegen (209)(513)"
1,29,72,0,2331,"Exchange(105),Exchange(163),Exchange(241),SortMergeJoin(244),WholeStageCodegen (240)(242),Sort(246),WholeStageCodegen (238)(245),Sort(249),WholeStageCodegen (239)(248)"
1,23,52,0,2255,"Exchange(121),Exchange(395),SortMergeJoin(398),WholeStageCodegen (201)(396),Sort(400),WholeStageCodegen (199)(399),Exchange(402),Sort(423),WholeStageCodegen (200)(422)"
1,15,21,0,2254,"Exchange(173),Exchange(283),SortMergeJoin(286),WholeStageCodegen (129)(284),Sort(288),WholeStageCodegen (127)(287),Exchange(290),Sort(313)"
1,25,61,0,2191,"Exchange(66),SortMergeJoin(69),WholeStageCodegen (213)(67),Sort(71),WholeStageCodegen (211)(70),Exchange(73),Sort(95),Exchange(97)"
1,18,30,0,2176,"Exchange(105),Exchange(490),SortMergeJoin(493),WholeStageCodegen (168)(491),Sort(495),WholeStageCodegen (166)(494),Exchange(497),Sort(508),WholeStageCodegen (167)(507)"
1,22,45,0,2163,"Exchange(89),Exchange(567),SortMergeJoin(570),WholeStageCodegen (198)(568),Sort(572),Exchange(574),Sort(581),WholeStageCodegen (197)(580)"
