stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
7,25,129235,0,337162,53078,5579,13486.5,20667,1479,10618,326092,5557007,500000,1020,0,0,0,67633152,13,2984,0,0,0,0,0,0,0,4423585,500000,91
1,25,107885,0,370434,54305,6922,14817.4,29452,1495,8322,361742,9111616,2000000,1756,0,0,0,69206016,6,2983,0,0,0,0,0,0,0,36672659,1996276,158
13,1044,98070,0,161592,3345,112,154.8,56770,1508,1108,156658,1050360469,12510500,585,0,0,0,268435456,0,2940,0,0,0,0,0,0,0,399907192,12378203,200
11,25,94558,0,168206,7093,6459,6728.2,12379,63,100,167998,9111616,2000000,825,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,29609363,1996276,99
12,2,92172,0,9225,4689,4536,4612.5,779,6,15,9203,377770,5000,0,0,0,0,67174400,0,2898,0,0,0,0,0,0,0,204542,5000,5
10,1044,87589,0,168742,3330,118,161.6,60920,1731,1334,163291,1050360469,12510500,767,0,0,0,201326592,8,2940,0,0,0,0,0,0,0,291704857,12378203,171
8,2,84050,0,9215,4793,4422,4607.5,700,6,12,9195,381702,5000,17,0,0,0,67174400,0,2939,0,0,0,0,0,0,0,147387,5000,6
6,25,81449,0,146809,7024,5607,5872.4,12568,78,122,146558,5861590,3000000,186,0,0,0,69206016,0,2939,0,0,0,0,0,0,0,20497380,3000000,96
9,1,79570,0,309,309,309,309.0,131,4,8,295,7680,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,45136,731,1
4,2,75707,0,10160,5493,4667,5080.0,1558,14,25,10100,378370,5000,0,0,0,0,67174400,0,2897,0,0,0,0,0,0,0,243848,5000,9
3,25,75385,0,168433,7398,6249,6737.3,14658,89,174,168072,7500963,500000,276,0,0,0,67633152,0,2939,0,0,0,0,0,0,0,12149531,500000,99
0,1044,74654,0,1064576,41277,119,1019.7,122013,13639,32812,1024407,1050370932,12510500,9688,0,0,0,268435456,84,2982,0,0,0,0,0,0,0,414775664,12378203,242
5,1,71424,0,382,382,382,382.0,134,4,11,365,10433,731,0,0,0,0,67141632,0,2896,0,0,0,0,0,0,0,47807,731,2
2,25,71086,0,151467,6762,5620,6058.7,16695,84,172,151117,5861590,3000000,0,0,0,0,69206016,3,2939,0,0,0,0,0,0,0,23515992,3000000,125
532,1044,57070,0,1386105,57066,109,1327.7,98197,10088,64593,1315136,1050360469,12510500,6227,0,0,0,268435456,42,2941,0,0,0,0,0,0,0,399907192,12378203,218
531,23,46027,0,81783,45964,1518,3555.8,18081,1273,1794,79414,0,0,619,0,12069420,70364,67239936,54,126660,0,5795,2238460,55984,21581742,0,23820202,0,0,0
639,800,16285,0,139084,5069,92,173.9,95228,8777,18374,114494,0,0,3119,0,0,0,201523200,13,51645,4317,94899,34111310,345472,85583608,0,119694918,84284237,1222040,2167
535,67,15603,0,163638,2712,1724,2442.4,13146,105,113,162975,7500963,500000,297,0,0,0,67239936,0,2941,0,0,0,0,0,0,0,16752475,500000,212
