App ID,SQL ID,Operator,Count,Stage Task Exec Duration(s),Total SQL Task Duration(s),% of Total SQL Task Duration,Supported
spark-9ace2e52775145128b44734c7cf2c280,1,AQEShuffleRead,77,634.38,4036.86,15.71,True
spark-9ace2e52775145128b44734c7cf2c280,1,AdaptiveSparkPlan,1,81.78,4036.86,2.03,False
spark-9ace2e52775145128b44734c7cf2c280,1,ColumnarToRow,14,2766.71,4036.86,68.54,False
spark-9ace2e52775145128b44734c7cf2c280,1,Exchange,62,3946.66,4036.86,97.77,True
spark-9ace2e52775145128b44734c7cf2c280,1,Execute InsertIntoHadoopFsRelationCommand parquet,1,81.78,4036.86,2.03,True
spark-9ace2e52775145128b44734c7cf2c280,1,Filter,14,2766.71,4036.86,68.54,True
spark-9ace2e52775145128b44734c7cf2c280,1,HashAggregate,32,637.43,4036.86,15.79,True
spark-9ace2e52775145128b44734c7cf2c280,1,Project,97,2529.01,4036.86,62.65,True
spark-9ace2e52775145128b44734c7cf2c280,1,Scan parquet,2,0.69,4036.86,0.02,False
spark-9ace2e52775145128b44734c7cf2c280,1,Scan parquet,12,2766.02,4036.86,68.52,True
spark-9ace2e52775145128b44734c7cf2c280,1,Sort,100,1111.17,4036.86,27.53,True
spark-9ace2e52775145128b44734c7cf2c280,1,SortMergeJoin,47,965.89,4036.86,23.93,True
spark-9ace2e52775145128b44734c7cf2c280,1,WriteFiles,1,81.78,4036.86,2.03,True
spark-9ace2e52775145128b44734c7cf2c280,2,AQEShuffleRead,42,376.41,3237.93,11.63,True
spark-9ace2e52775145128b44734c7cf2c280,2,AdaptiveSparkPlan,1,0.14,3237.93,0.00,False
spark-9ace2e52775145128b44734c7cf2c280,2,ColumnarToRow,7,1995.24,3237.93,61.62,False
spark-9ace2e52775145128b44734c7cf2c280,2,Exchange,35,3237.79,3237.93,100.00,True
spark-9ace2e52775145128b44734c7cf2c280,2,Filter,7,1995.24,3237.93,61.62,True
spark-9ace2e52775145128b44734c7cf2c280,2,HashAggregate,17,662.20,3237.93,20.45,True
spark-9ace2e52775145128b44734c7cf2c280,2,Project,30,2838.01,3237.93,87.65,True
spark-9ace2e52775145128b44734c7cf2c280,2,Scan parquet,1,0.29,3237.93,0.01,False
spark-9ace2e52775145128b44734c7cf2c280,2,Scan parquet,6,1994.96,3237.93,61.61,True
spark-9ace2e52775145128b44734c7cf2c280,2,Sort,55,1284.46,3237.93,39.67,True
spark-9ace2e52775145128b44734c7cf2c280,2,SortMergeJoin,27,1284.46,3237.93,39.67,True
