sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",67362,"number of written files",38,38,38,38,"sum","510"
1,1,"Execute InsertIntoHadoopFsRelationCommand",67363,"written output",16749146,16749146,16749146,16749146,"size","510"
1,1,"Execute InsertIntoHadoopFsRelationCommand",67364,"number of output rows",136306,136306,136306,136306,"sum","510"
1,1,"Execute InsertIntoHadoopFsRelationCommand",67365,"number of dynamic part",0,0,0,0,"sum","510"
1,1,"Execute InsertIntoHadoopFsRelationCommand",67366,"task commit time",450,490,731,19012,"timing","510"
1,1,"Execute InsertIntoHadoopFsRelationCommand",67367,"job commit time",1956,1956,1956,1956,"timing","510"
1,3,"WholeStageCodegen (386)",67368,"duration",673,3375,4466,128636,"timing","510"
1,4,"Sort",67369,"sort time",2,4,10,259,"timing","510"
1,4,"Sort",67370,"peak memory",67239936,67243385,67371008,2555248640,"size","510"
1,4,"Sort",67371,"spill size",0,0,0,0,"size","510"
1,5,"AQEShuffleRead",67372,"number of partitions",38,38,38,38,"sum",""
1,5,"AQEShuffleRead",67373,"partition data size",1049758,1067313,1931813,41465512,"size",""
1,5,"AQEShuffleRead",67374,"number of coalesced partitions",38,38,38,38,"sum",""
1,6,"Exchange",67196,"data size",26208,80508,349752,41287880,"size","444,510"
1,6,"Exchange",67197,"number of partitions",800,800,800,800,"sum","444,510"
1,6,"Exchange",67198,"remote blocks read",2038,2756,5344,105098,"sum","444,510"
1,6,"Exchange",67199,"local blocks read",3,9,49,625,"sum","444,510"
1,6,"Exchange",67200,"remote bytes read",995180,1039771,1835678,39511615,"size","444,510"
1,6,"Exchange",67202,"local bytes read",1002,6416,17512,244141,"size","444,510"
1,6,"Exchange",67203,"fetch wait time",0,0,0,0,"timing","444,510"
1,6,"Exchange",67204,"records read",3367,3576,6640,136306,"sum","444,510"
1,6,"Exchange",67213,"remote reqs duration",1230,1982,4791,75629,"timing","444,510"
1,6,"Exchange",67215,"shuffle bytes written",26064,77520,303058,39755756,"size","444,510"
1,6,"Exchange",67216,"shuffle records written",90,148,1147,136306,"sum","444,510"
1,6,"Exchange",67217,"shuffle write time",339370,993904,25902410,508944174,"nsTiming","444,510"
1,7,"WholeStageCodegen (385)",67218,"duration",14,1085,9757,4145280,"timing","379,444,314"
1,8,"HashAggregate",67219,"number of output rows",90,168,1147,603012,"sum","379,444,314"
1,8,"HashAggregate",67220,"peak memory",262144,43901075,67371008,144610689024,"size","379,444,314"
1,8,"HashAggregate",67222,"time in aggregation build",8,1050,9737,3988914,"timing","379,444,314"
1,8,"HashAggregate",67223,"avg hash probes per key",10,10,10,21420,"average","379,444,314"
1,9,"HashAggregate",67225,"number of output rows",90,168,1147,603012,"sum","379,444,314"
1,9,"HashAggregate",67226,"peak memory",262144,262144,262144,863502336,"size","379,444,314"
1,9,"HashAggregate",67228,"time in aggregation build",0,1026,9720,3899964,"timing","379,444,314"
1,11,"SortMergeJoin",67231,"number of output rows",2383,501153,3912051,1073725780,"sum","379,444,314"
1,11,"SortMergeJoin",67232,"spill size",0,0,0,0,"size","379,444,314"
1,12,"WholeStageCodegen (383)",67234,"duration",20,1289,10135,5108810,"timing","379,444,314"
1,13,"Sort",67235,"sort time",0,12,1016,310850,"timing","379,444,314"
1,13,"Sort",67236,"peak memory",65536,115718663,1073741824,381177823232,"size","379,444,314"
1,13,"Sort",67237,"spill size",0,0,0,0,"size","379,444,314"
1,14,"Exchange",66894,"data size",69545864,71785896,74697272,57428878760,"size","233,379,444,314"
1,14,"Exchange",66895,"number of partitions",800,800,800,800,"sum","233,379,444,314"
1,14,"Exchange",66896,"remote blocks read",754,784,796,1703297,"sum","233,379,444,314"
1,14,"Exchange",66897,"local blocks read",3,3,8,9575,"sum","233,379,444,314"
1,14,"Exchange",66898,"remote bytes read",356633,45549462,337637310,97568858512,"size","233,379,444,314"
1,14,"Exchange",66900,"local bytes read",1245,256848,2546070,548784090,"size","233,379,444,314"
1,14,"Exchange",66901,"fetch wait time",0,0,768,63836,"timing","233,379,444,314"
1,14,"Exchange",66902,"records read",2383,501153,3912051,1073725780,"sum","233,379,444,314"
1,14,"Exchange",66911,"remote reqs duration",3003,38947,125306,73649085,"timing","233,379,444,314"
