jobID,stageIds,sqlID,startTime,endTime
0,"[0]",1,1789105744850,1789105938841
1,"[1]",1,1789105745075,1789105903873
2,"[2]",1,1789105745091,1789105909021
3,"[3]",1,1789105745103,1789105914760
4,"[4]",1,1789105745112,1789105912619
5,"[5]",1,1789105745122,1789105908363
6,"[6]",1,1789105745179,1789106028731
7,"[7]",1,1789105745223,1789105993994
8,"[8]",1,1789105745263,1789105996923
9,"[9]",1,1789105745300,1789105979850
10,"[10]",1,1789105745372,1789105995340
11,"[12,13,11]",1,1789105939089,1789106095060
12,"[15,14,11]",1,1789105995480,1789106315075
13,"[12,16,17]",1,1789106028819,1789106286153
14,"[12,19,20,18,11]",1,1789106095156,1789106342305
15,"[12,21,18,22,23]",1,1789106286244,1789106314870
16,"[12,27,24,18,28,25,26]",1,1789106314985,1789106342911
17,"[30,31,18,29,11]",1,1789106315154,1789106343026
18,"[33,12,34,35,32,18,11]",1,1789106342421,1789106353958
19,"[12,37,38,42,39,36,18,40,41]",1,1789106343027,1789106352397
20,"[33,45,46,18,43,11,44]",1,1789106343379,1789106354586
21,"[51,48,12,52,49,53,50,18,54,55,47]",1,1789106352740,1789106360269
22,"[33,12,60,56,57,18,58,11,59]",1,1789106354089,1789106370562
23,"[33,63,52,64,18,61,11,62,65]",1,1789106354681,1789106362783
24,"[33,66,70,67,71,68,18,69,72,73,11]",1,1789106362932,1789106369548
25,"[84,81,78,82,74,83,75,79,76,80,77]",1,1789106370648,1789106378571
26,"[102,96,88,103,89,104,90,105,97,91,98,92,99,85,100,86,101,93,87,94,95]",1,1789106378678,1789106383105
27,"[132,133,125,126,127,106,128,129,121,122,123,124,116,117,118,119,111,120,112,113,114,115,107,108,130,109,131,110]",1,1789106383234,1789106387737
28,"[161,153,154,155,156,148,149,150,151,152,144,145,146,147,139,140,162,141,142,134,143,135,157,136,158,137,159,138,160]",1,1789106387927,1789106389021
29,"[183,184,176,177,178,179,171,180,172,173,174,175,167,168,190,169,191,170,163,185,164,186,165,187,166,188,189,181,182]",1,1789106389098,1789106390033
30,"[212,204,205,206,207,199,200,201,202,194,203,195,217,196,218,197,219,198,220,221,213,192,214,193,215,216,208,209,210,211]",1,1789106390518,1789106392401
31,"[222]",2,1789106394140,1789106405423
32,"[223]",2,1789106394175,1789106400114
33,"[224]",2,1789106394216,1789106400838
34,"[225]",2,1789106394242,1789106401457
35,"[226]",2,1789106394263,1789106401179
36,"[227]",2,1789106394291,1789106401143
37,"[228]",2,1789106394324,1789106411406
38,"[229]",2,1789106394346,1789106407064
39,"[230]",2,1789106394366,1789106406362
40,"[231]",2,1789106394384,1789106405895
41,"[232]",2,1789106394404,1789106407495
42,"[233,234,235]",2,1789106405504,1789106418002
43,"[237,234,236]",2,1789106411474,1789106422757
44,"[238,239,236]",2,1789106411684,1789106426963
45,"[234,241,242,243,240]",2,1789106418066,1789106428122
46,"[234,245,242,244,236]",2,1789106422829,1789106430355
47,"[248,242,246,247,236]",2,1789106427036,1789106431959
48,"[251,234,249,252,253,242,250]",2,1789106428194,1789106433920
49,"[236,255,234,256,242,257,254]",2,1789106430429,1789106434712
50,"[252,259,260,242,261,258,236]",2,1789106432095,1789106435627
51,"[266,263,234,252,267,242,264,265,262]",2,1789106434023,1789106440890
52,"[269,273,234,270,271,242,272,268,236]",2,1789106434798,1789106439835
53,"[252,277,274,271,242,275,278,276,236]",2,1789106435701,1789106440862
54,"[284,281,234,285,271,242,282,279,283,280,236]",2,1789106439900,1789106447281
55,"[287,284,291,288,292,289,286,271,242,290,236]",2,1789106440925,1789106447680
56,"[299,234,300,289,242,293,296,297,294,298,295]",2,1789106441075,1789106449953
57,"[305,320,306,321,307,314,308,315,309,301,316,302,317,303,318,310,304,311,312,319,313]",2,1789106450028,1789106453872
58,"[335,336,328,329,330,331,332,324,325,347,326,348,327,349,342,343,322,344,323,345,337,346,338,339,340,341,333,334]",2,1789106453973,1789106457515
59,"[356,357,358,359,351,360,352,374,353,375,354,376,355,377,378,370,371,350,372,373,365,366,367,368,369,361,362,363,364]",2,1789106457577,1789106458464
60,"[407,386,408,387,379,380,402,381,403,382,404,383,405,397,406,398,399,400,401,393,394,395,396,388,389,390,391,392,384,385]",2,1789106458509,1789106458562
