jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
12,1149,319595,0,16764985,90685,2607,14590.9,3574699,57550,565709,16183739,278443150,646146800,149782,0,0,0,637665280,86,8039,10367357,35037,3342754570,894399,85102243931,0,88444998501,54809544162,1903925245,34662
6,1044,283552,0,4031358,53360,138,3861.5,2691427,7056,24279,4000326,1076033199,2500000000,40460,0,0,0,402653184,18,2983,0,0,0,0,0,0,0,83812106870,2500000000,59850
13,992,257334,0,35588417,97338,2730,35875.4,3488837,191454,1121650,33829741,156742264,365893300,246505,0,0,0,704774144,284,8040,19216957,10520,1042461461,864805,85407269000,0,86449730461,52477482988,1551567208,31115
8,2,251660,0,22033,17448,4585,11016.5,957,12,56,21968,381702,5000,11,0,0,0,67174400,0,2939,0,0,0,0,0,0,0,147387,5000,5
10,25,249968,0,176773,15637,5702,7070.9,15453,85,191,176444,5568496,2000000,329,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,12642851,2000000,102
7,25,248771,0,158669,14672,5641,6346.8,14840,104,254,158268,5557007,500000,128,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,4423585,500000,83
14,1220,247149,0,23758748,64766,26,19474.4,2394617,25761,487160,21983188,280488076,647146799,124202,0,0,0,704774144,67,11680,17564085,6344,379672478,761995,46970693334,0,47350365812,33467473603,1038844948,21616
9,1,234550,0,281,281,281,281.0,89,3,10,267,7749,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,37994,731,2
0,1044,193991,0,5086373,57005,153,4872.0,2427463,21684,81745,4994763,1074108889,2500000000,62062,0,0,0,335544320,37,2984,0,0,0,0,0,0,0,80800839341,2500000000,44141
3,25,169657,0,167348,7289,6200,6693.9,13619,79,171,167043,7500963,500000,348,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,12149531,500000,90
4,2,167507,0,9083,4615,4468,4541.5,871,7,20,9052,381102,5000,43,0,0,0,67174400,0,2939,0,0,0,0,0,0,0,243848,5000,6
2,25,163930,0,146949,6294,5626,5878.0,12984,73,167,146660,5861590,3000000,74,0,0,0,69206016,0,2940,0,0,0,0,0,0,0,20497380,3000000,93
5,1,163241,0,260,260,260,260.0,90,4,7,248,7737,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,47807,731,1
1,25,158798,0,153270,6537,5627,6130.8,16451,99,208,152925,5358172,2000000,156,0,0,0,69206016,0,2940,0,0,0,0,0,0,0,29648300,2000000,101
11,1075,155971,0,8356275,38767,2607,7773.3,3767008,14971,228254,8118711,278846830,646306800,148340,0,0,0,704774144,27,8039,2997719,48169,4589765809,800631,76240721832,0,80830487641,57989594432,1796324584,39623
15,812,28626,0,14699130,28197,6702,18102.4,1290830,7196,161789,14517702,2712926,1239999,44578,0,0,0,411172864,103,11680,12459970,3785,222223515,656215,38806988480,0,39029211995,8833895777,248403782,7836
16,813,27926,0,4818069,22833,515,5926.3,634514,7774,101421,4711737,3379494,1299973,14728,0,0,0,251723776,77,15319,3920636,3688,48663375,656312,8777985113,0,8826648488,7421059668,248463756,7542
17,1077,27872,0,10405511,32566,1058,9661.6,1961685,9423,82884,10293212,279416396,646746799,80746,0,0,0,344064000,13,11678,7259080,3792,178924375,656208,30866509873,0,31045434248,26120658159,893910582,17683
37,1044,17082,0,3684075,6634,172,3528.8,2649715,2391,3375,3671615,1072059065,2500000000,69487,0,0,0,335544320,59,2984,0,0,0,0,0,0,0,58888670214,2500000000,52255
22,720,16473,0,2591436,32566,234,3599.2,1550838,6698,68234,2509919,282178839,647249288,56815,0,0,0,1342242816,12,18917,36,3672,48339905,633871,8540644198,0,8588984103,32266907508,894413071,18835
44,800,15279,0,3472432,5693,2458,4340.5,2775188,3757,13619,3447503,0,0,141779,0,0,0,570556416,204,8040,4172,6436,329817822,1141736,58594199359,0,58924017181,21075658739,1150017784,24951
41,400,13091,0,296283,1705,455,740.7,65968,1027,1576,291366,5568496,2000000,5727,0,0,0,67239936,10,2942,0,0,0,0,0,0,0,35346967,2000000,2446
38,400,12718,0,254294,1781,418,635.7,55883,1089,1758,250155,5557007,500000,2325,0,0,0,67141632,48,2983,0,0,0,0,0,0,0,20983593,500000,1281
42,800,12498,0,4416032,7514,2947,5520.0,3397908,3777,13169,4388243,0,0,197117,0,0,0,704774144,39,8040,4578,6442,457720453,1141730,80408981777,0,80866702230,37107735880,1150017784,38836
39,50,11996,0,15919,860,226,318.4,3270,189,444,15235,381702,5000,251,0,0,0,67141632,0,2942,0,0,0,0,0,0,0,355272,5000,22
18,1085,11537,0,3303163,32566,683,3044.4,1823034,10204,91108,3166237,281988285,647246788,74433,0,0,0,318832640,54,15320,229349,3697,44446565,656303,7885191319,0,7929637884,29478806394,894410571,25061
40,1,11511,0,392,392,392,392.0,124,4,9,379,7749,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,37994,731,2
31,1044,11283,0,4373611,11179,165,4189.3,3029735,2587,12688,4332457,1074108889,2500000000,80765,0,0,0,335544320,3,2985,0,0,0,0,0,0,0,80800839341,2500000000,55500
43,800,11283,0,3829004,6189,2680,4786.3,3040140,3843,13314,3803595,0,0,173323,0,0,0,637665280,33,8040,3595,6373,328507210,1141799,58626025893,0,58954533103,26995128414,1150017784,32062
20,1080,11207,0,2584957,32566,404,2393.5,1569826,9783,67105,2506656,280916605,646846788,65700,0,0,0,268435456,118,15320,347,3729,29558466,656271,5221545667,0,5251104133,26153223845,894010571,19004
45,800,10056,0,1857041,3172,1326,2321.3,1487399,4417,14737,1832542,0,0,67477,0,0,0,411172864,56,11680,7101,5480,205226575,954503,36948743834,0,37153970409,7917597172,247163783,13246
19,426,9370,0,649423,22833,213,1524.5,440301,4537,18710,615976,2712926,1239999,6082,0,0,0,939589632,4,18917,444,3614,42145458,633929,7366860179,0,7409005637,6146815983,248403782,4118
56,480,8878,0,804971,4742,788,1677.0,690521,4650,11549,789441,0,0,12758,0,0,0,906035200,0,22557,8487,1075,61626738,206765,11313621196,0,11375247934,12760591699,247163783,8720
23,735,8102,0,2374751,32566,279,3231.0,1404465,7324,66942,2300477,280916605,646846788,55488,0,0,0,939589632,9,18917,1882,3685,29331933,633858,5239908984,0,5269240917,27198327624,894010571,15691
25,480,7923,0,882342,4650,776,1838.2,679022,6995,16459,853740,0,0,10105,0,0,0,906035200,0,22557,43556,1157,61985377,206683,11314782297,0,11376767674,14441549975,247163783,9057
21,492,7529,0,966169,22833,466,1963.8,608709,17790,44763,908298,2712926,1239999,11060,0,0,0,494993408,10,22987,34392,1122,36527057,198078,6098656046,0,6135183103,1896208215,77657834,4262
46,800,7526,0,1728419,2853,1265,2160.5,1406799,4408,9935,1709525,0,0,49039,0,0,0,344064000,67,11680,3375,5386,152939666,954597,26888423277,0,27041362943,6405548508,247163783,12511
54,480,7381,0,565425,3362,386,1178.0,467605,4097,13530,537183,0,0,6112,0,0,0,427884544,1,22987,29,1092,19002974,199548,3507581822,0,3526584796,1059090173,76417835,3691
34,400,7215,0,249815,1018,453,624.5,57919,1075,1680,245746,7500963,500000,1621,0,0,0,67141632,0,2942,0,0,0,0,0,0,0,36026534,500000,1151
35,50,6916,0,15891,462,207,317.8,3299,180,332,14893,381102,5000,28,0,0,0,67141632,1,2941,0,0,0,0,0,0,0,508484,5000,25
51,432,6867,0,698237,6408,298,1616.3,608410,3426,8052,683935,0,0,14445,0,0,0,1342242816,0,18917,448,3771,47232203,636941,8542019948,0,8589252151,11375200127,247163783,7779
36,1,6852,0,337,337,337,337.0,127,3,7,326,7737,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,47807,731,2
55,480,6755,0,744649,2898,631,1551.4,565510,4225,15542,723287,0,0,15856,0,0,0,494993408,3,22987,59,1269,25972641,232971,4536643391,0,4562616032,1698781801,92857964,4235
33,400,6622,0,281107,1133,422,702.8,65374,1093,1943,277079,5861590,3000000,3118,0,0,0,67239936,39,2984,0,0,0,0,0,0,0,46234529,3000000,1510
24,762,6616,0,2463944,32566,456,3233.5,1473097,8350,68081,2380527,280916605,646846788,55630,0,0,0,494993408,8,22987,208,1204,34879458,216716,6279355845,0,6314235303,23410652682,739704752,14548
32,400,5939,0,295557,1384,463,738.9,75329,1188,2421,290855,5358172,2000000,3184,0,0,0,67239936,0,2942,0,0,0,0,0,0,0,65862889,2000000,1573
48,798,5726,0,997172,2287,546,1249.6,776003,5553,10772,926798,0,0,22338,0,0,0,318832640,29,15320,2001,4828,43080796,888101,7910542910,0,7953623706,8588743667,247163783,12517
53,487,5161,0,423904,4077,159,870.4,383712,3296,6482,412868,0,0,4693,0,0,0,805371904,0,18917,228,3903,17866681,638403,3138383889,0,3156250570,4562578038,247163783,3819
52,417,5037,0,489880,4650,214,1174.8,415275,3027,7507,475611,0,0,7905,0,0,0,805371904,1,18917,188,3676,25709322,637833,4562541012,0,4588250334,3526546802,247163783,3540
47,800,4923,0,1473063,2531,1030,1841.3,1169189,4317,8720,1392328,0,0,35399,0,0,0,344064000,21,11679,3311,5409,119269090,954574,21002624178,0,21121893268,3146490613,247163783,8374
27,800,4503,0,2015266,3525,659,2519.1,1319237,18683,42258,1943343,0,0,54226,0,0,0,420544512,6,55901,1223,5743,95580560,1018257,16885515529,0,16981096089,1034427603,11174168,4303
26,800,4427,0,2045703,3360,999,2557.1,1467413,12477,36743,1980820,0,0,39218,0,0,0,428146688,6,41734,58240,4301,91390538,763699,16234696778,0,16326087316,14454573722,247163783,13778
49,799,4283,0,900951,1881,501,1127.6,692933,5859,26057,864238,0,0,18182,0,0,0,251723776,40,15319,552,5089,36442779,887840,6390089322,0,6426532101,4587895062,247163783,10115
57,800,3844,0,1701854,2952,904,2127.3,1237034,11522,41929,1628027,0,0,19394,0,0,0,293928960,1,41732,119223,4276,75754376,763724,13743927496,0,13819681872,11000334584,247163783,11454
58,800,3542,0,1456675,2490,583,1820.8,1024041,14395,40604,1389450,0,0,20576,0,0,0,420282368,12,55902,653,5769,71808182,1018231,12627308203,0,12699116385,595381040,11174168,4061
50,800,3532,0,726938,1671,388,908.7,591468,5315,10534,706021,0,0,14029,0,0,0,251723776,37,15320,321,4991,17923607,887938,3164593540,0,3182517147,3155895298,247163783,8045
30,5,1883,0,8748,1789,1697,1749.6,4781,297,353,8314,0,0,12,0,1040690,30312,67633152,15,59012,0,179,35146,29382,5815063,0,5850209,0,0,0
28,725,1094,0,457037,750,176,630.4,124902,60929,144939,251676,0,0,5253,0,0,0,67371008,38,59261,167,3586,5832616,636414,1028594987,0,1034427603,0,0,0
29,725,935,0,301823,535,183,416.3,102522,25838,65492,174361,0,0,4141,0,0,0,134512640,2,57483,8000,3609,5822380,636391,1028605223,0,1034427603,5850209,30312,176
59,402,887,0,164870,542,291,410.1,86836,8016,19216,135617,0,0,1006,0,0,0,262144,0,57014,1,3589,3333934,636411,592047106,0,595381040,30150,402,2613
60,1,53,0,50,50,50,50.0,30,8,12,32,0,0,0,0,0,0,0,0,3995,0,2,150,400,30000,0,30150,0,0,0
