sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (71)","Sort",4
1,7,"WholeStageCodegen (70)","HashAggregate",8
1,11,"WholeStageCodegen (69)","HashAggregate",12
1,11,"WholeStageCodegen (69)","Project",13
1,11,"WholeStageCodegen (69)","SortMergeJoin",14
1,15,"WholeStageCodegen (67)","Sort",16
1,18,"WholeStageCodegen (66)","Project",19
1,18,"WholeStageCodegen (66)","SortMergeJoin",20
1,21,"WholeStageCodegen (64)","Sort",22
1,24,"WholeStageCodegen (63)","Project",25
1,24,"WholeStageCodegen (63)","SortMergeJoin",26
1,27,"WholeStageCodegen (61)","Sort",28
1,31,"WholeStageCodegen (54)","Project",32
1,31,"WholeStageCodegen (54)","SortMergeJoin",33
1,34,"WholeStageCodegen (52)","Sort",35
1,38,"WholeStageCodegen (42)","Project",39
1,38,"WholeStageCodegen (42)","SortMergeJoin",40
1,41,"WholeStageCodegen (40)","Sort",42
1,45,"WholeStageCodegen (30)","Project",46
1,45,"WholeStageCodegen (30)","SortMergeJoin",47
1,48,"WholeStageCodegen (28)","Sort",49
1,51,"WholeStageCodegen (21)","Project",52
1,51,"WholeStageCodegen (21)","SortMergeJoin",53
1,54,"WholeStageCodegen (19)","Sort",55
1,57,"WholeStageCodegen (1)","Filter",58
1,57,"WholeStageCodegen (1)","ColumnarToRow",59
1,61,"WholeStageCodegen (20)","Sort",62
1,64,"WholeStageCodegen (2)","Filter",65
1,64,"WholeStageCodegen (2)","ColumnarToRow",66
1,68,"WholeStageCodegen (29)","Sort",69
1,71,"WholeStageCodegen (3)","Filter",72
1,71,"WholeStageCodegen (3)","ColumnarToRow",73
1,75,"WholeStageCodegen (41)","Sort",76
1,79,"WholeStageCodegen (4)","Filter",80
1,79,"WholeStageCodegen (4)","ColumnarToRow",81
1,83,"WholeStageCodegen (53)","Sort",84
1,87,"WholeStageCodegen (5)","Filter",88
1,87,"WholeStageCodegen (5)","ColumnarToRow",89
1,91,"WholeStageCodegen (62)","Sort",92
1,95,"WholeStageCodegen (6)","Filter",96
1,95,"WholeStageCodegen (6)","ColumnarToRow",97
1,99,"WholeStageCodegen (65)","Sort",100
1,99,"WholeStageCodegen (65)","HashAggregate",101
1,103,"WholeStageCodegen (51)","HashAggregate",104
1,103,"WholeStageCodegen (51)","Project",105
1,103,"WholeStageCodegen (51)","SortMergeJoin",106
1,107,"WholeStageCodegen (49)","Sort",108
1,111,"WholeStageCodegen (45)","Project",112
1,111,"WholeStageCodegen (45)","SortMergeJoin",113
1,114,"WholeStageCodegen (43)","Sort",115
1,118,"WholeStageCodegen (36)","Project",119
1,118,"WholeStageCodegen (36)","SortMergeJoin",120
1,121,"WholeStageCodegen (34)","Sort",122
1,125,"WholeStageCodegen (33)","Project",126
1,125,"WholeStageCodegen (33)","SortMergeJoin",127
1,128,"WholeStageCodegen (31)","Sort",129
1,131,"WholeStageCodegen (27)","Project",132
1,131,"WholeStageCodegen (27)","SortMergeJoin",133
1,134,"WholeStageCodegen (25)","Sort",135
1,137,"WholeStageCodegen (7)","Filter",138
1,137,"WholeStageCodegen (7)","ColumnarToRow",139
1,141,"WholeStageCodegen (26)","Sort",142
1,143,"WholeStageCodegen (32)","Sort",144
1,145,"WholeStageCodegen (35)","Sort",146
1,149,"WholeStageCodegen (10)","Filter",150
1,149,"WholeStageCodegen (10)","ColumnarToRow",151
1,153,"WholeStageCodegen (44)","Sort",154
1,157,"WholeStageCodegen (11)","Filter",158
1,157,"WholeStageCodegen (11)","ColumnarToRow",159
1,161,"WholeStageCodegen (50)","Sort",162
1,165,"WholeStageCodegen (12)","Filter",166
1,165,"WholeStageCodegen (12)","ColumnarToRow",167
1,169,"WholeStageCodegen (68)","Sort",170
1,169,"WholeStageCodegen (68)","HashAggregate",171
1,173,"WholeStageCodegen (60)","HashAggregate",174
1,173,"WholeStageCodegen (60)","Project",175
1,173,"WholeStageCodegen (60)","SortMergeJoin",176
1,177,"WholeStageCodegen (58)","Sort",178
1,181,"WholeStageCodegen (57)","Project",182
1,181,"WholeStageCodegen (57)","SortMergeJoin",183
1,184,"WholeStageCodegen (55)","Sort",185
1,188,"WholeStageCodegen (48)","Project",189
1,188,"WholeStageCodegen (48)","SortMergeJoin",190
1,191,"WholeStageCodegen (46)","Sort",192
1,195,"WholeStageCodegen (39)","Project",196
1,195,"WholeStageCodegen (39)","SortMergeJoin",197
1,198,"WholeStageCodegen (37)","Sort",199
1,201,"WholeStageCodegen (24)","Project",202
1,201,"WholeStageCodegen (24)","SortMergeJoin",203
1,204,"WholeStageCodegen (22)","Sort",205
1,206,"WholeStageCodegen (23)","Sort",207
1,209,"WholeStageCodegen (14)","Filter",210
1,209,"WholeStageCodegen (14)","ColumnarToRow",211
1,213,"WholeStageCodegen (38)","Sort",214
1,215,"WholeStageCodegen (47)","Sort",216
1,218,"WholeStageCodegen (56)","Sort",219
1,221,"WholeStageCodegen (59)","Sort",222
2,1,"WholeStageCodegen (71)","HashAggregate",2
2,4,"WholeStageCodegen (70)","HashAggregate",5
2,4,"WholeStageCodegen (70)","HashAggregate",6
2,9,"WholeStageCodegen (69)","HashAggregate",10
2,9,"WholeStageCodegen (69)","Project",11
2,9,"WholeStageCodegen (69)","SortMergeJoin",12
2,13,"WholeStageCodegen (67)","Sort",14
2,16,"WholeStageCodegen (66)","Project",17
2,16,"WholeStageCodegen (66)","SortMergeJoin",18
2,19,"WholeStageCodegen (64)","Sort",20
2,22,"WholeStageCodegen (63)","Project",23
2,22,"WholeStageCodegen (63)","SortMergeJoin",24
2,25,"WholeStageCodegen (61)","Sort",26
2,29,"WholeStageCodegen (48)","Project",30
2,29,"WholeStageCodegen (48)","SortMergeJoin",31
2,32,"WholeStageCodegen (46)","Sort",33
2,36,"WholeStageCodegen (39)","Project",37
2,36,"WholeStageCodegen (39)","SortMergeJoin",38
2,39,"WholeStageCodegen (37)","Sort",40
2,43,"WholeStageCodegen (30)","Project",44
2,43,"WholeStageCodegen (30)","SortMergeJoin",45
2,46,"WholeStageCodegen (28)","Sort",47
2,49,"WholeStageCodegen (21)","Project",50
2,49,"WholeStageCodegen (21)","SortMergeJoin",51
2,52,"WholeStageCodegen (19)","Sort",53
2,55,"WholeStageCodegen (1)","Filter",56
2,55,"WholeStageCodegen (1)","ColumnarToRow",57
2,59,"WholeStageCodegen (20)","Sort",60
2,62,"WholeStageCodegen (2)","Filter",63
2,62,"WholeStageCodegen (2)","ColumnarToRow",64
2,66,"WholeStageCodegen (29)","Sort",67
2,69,"WholeStageCodegen (3)","Filter",70
2,69,"WholeStageCodegen (3)","ColumnarToRow",71
2,73,"WholeStageCodegen (38)","Sort",74
2,77,"WholeStageCodegen (4)","Filter",78
2,77,"WholeStageCodegen (4)","ColumnarToRow",79
2,81,"WholeStageCodegen (47)","Sort",82
2,85,"WholeStageCodegen (5)","Filter",86
2,85,"WholeStageCodegen (5)","ColumnarToRow",87
2,89,"WholeStageCodegen (62)","Sort",90
2,93,"WholeStageCodegen (6)","Filter",94
2,93,"WholeStageCodegen (6)","ColumnarToRow",95
2,97,"WholeStageCodegen (65)","Sort",98
2,97,"WholeStageCodegen (65)","HashAggregate",99
2,101,"WholeStageCodegen (57)","HashAggregate",102
2,101,"WholeStageCodegen (57)","Project",103
2,101,"WholeStageCodegen (57)","SortMergeJoin",104
2,105,"WholeStageCodegen (55)","Sort",106
2,109,"WholeStageCodegen (51)","Project",110
2,109,"WholeStageCodegen (51)","SortMergeJoin",111
2,112,"WholeStageCodegen (49)","Sort",113
2,116,"WholeStageCodegen (42)","Project",117
2,116,"WholeStageCodegen (42)","SortMergeJoin",118
2,119,"WholeStageCodegen (40)","Sort",120
2,123,"WholeStageCodegen (33)","Project",124
2,123,"WholeStageCodegen (33)","SortMergeJoin",125
2,126,"WholeStageCodegen (31)","Sort",127
2,129,"WholeStageCodegen (24)","Project",130
2,129,"WholeStageCodegen (24)","SortMergeJoin",131
2,132,"WholeStageCodegen (22)","Sort",133
2,135,"WholeStageCodegen (7)","Filter",136
2,135,"WholeStageCodegen (7)","ColumnarToRow",137
2,139,"WholeStageCodegen (23)","Sort",140
2,141,"WholeStageCodegen (32)","Sort",142
2,143,"WholeStageCodegen (41)","Sort",144
2,147,"WholeStageCodegen (10)","Filter",148
2,147,"WholeStageCodegen (10)","ColumnarToRow",149
2,151,"WholeStageCodegen (50)","Sort",152
2,155,"WholeStageCodegen (11)","Filter",156
2,155,"WholeStageCodegen (11)","ColumnarToRow",157
2,159,"WholeStageCodegen (56)","Sort",160
2,163,"WholeStageCodegen (12)","Filter",164
2,163,"WholeStageCodegen (12)","ColumnarToRow",165
2,167,"WholeStageCodegen (68)","Sort",168
2,167,"WholeStageCodegen (68)","HashAggregate",169
2,171,"WholeStageCodegen (60)","HashAggregate",172
2,171,"WholeStageCodegen (60)","Project",173
2,171,"WholeStageCodegen (60)","SortMergeJoin",174
2,175,"WholeStageCodegen (58)","Sort",176
2,179,"WholeStageCodegen (54)","Project",180
2,179,"WholeStageCodegen (54)","SortMergeJoin",181
2,182,"WholeStageCodegen (52)","Sort",183
2,186,"WholeStageCodegen (45)","Project",187
2,186,"WholeStageCodegen (45)","SortMergeJoin",188
2,189,"WholeStageCodegen (43)","Sort",190
2,192,"WholeStageCodegen (36)","Project",193
2,192,"WholeStageCodegen (36)","SortMergeJoin",194
2,195,"WholeStageCodegen (34)","Sort",196
2,198,"WholeStageCodegen (27)","Project",199
2,198,"WholeStageCodegen (27)","SortMergeJoin",200
2,201,"WholeStageCodegen (25)","Sort",202
2,203,"WholeStageCodegen (26)","Sort",204
2,206,"WholeStageCodegen (14)","Filter",207
2,206,"WholeStageCodegen (14)","ColumnarToRow",208
2,210,"WholeStageCodegen (35)","Sort",211
2,212,"WholeStageCodegen (44)","Sort",213
2,214,"WholeStageCodegen (53)","Sort",215
2,217,"WholeStageCodegen (59)","Sort",218
