sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,2,2,0,102936,"Exchange(99),Filter(101),ColumnarToRow(102),WholeStageCodegen (3)(100),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(103)"
1,9,9,0,88625,"Exchange(326),ObjectHashAggregate(327),Filter(330),ColumnarToRow(331),WholeStageCodegen (1)(328),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(332)"
1,0,0,0,82687,"Exchange(82),Filter(85),ColumnarToRow(86),WholeStageCodegen (1)(83),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(87)"
1,8,8,0,82629,"Exchange(257),Filter(259),ColumnarToRow(260),WholeStageCodegen (14)(258),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(261)"
1,7,7,0,75870,"Exchange(193),Filter(195),ColumnarToRow(196),WholeStageCodegen (10)(194),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(197)"
2,81,604,0,70570,"Exchange(292),ObjectHashAggregate(293),Filter(296),ColumnarToRow(297),WholeStageCodegen (1)(294),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(298)"
2,80,603,0,69935,"Exchange(222),Filter(225),ColumnarToRow(226),WholeStageCodegen (14)(223),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(227)"
1,6,6,0,69932,"Exchange(178),Filter(181),ColumnarToRow(182),WholeStageCodegen (7)(179),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(183)"
1,3,3,0,66330,"Exchange(107),Filter(109),ColumnarToRow(110),WholeStageCodegen (4)(108),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(111)"
1,4,4,0,64644,"Exchange(115),Filter(117),ColumnarToRow(118),WholeStageCodegen (5)(116),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(119)"
1,5,5,0,60287,"Exchange(123),Filter(125),ColumnarToRow(126),WholeStageCodegen (6)(124),Scan parquet spark_catalog.demo_pauldefusco.calendar(127)"
1,1,1,0,56685,"Exchange(91),Filter(93),ColumnarToRow(94),WholeStageCodegen (2)(92),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(95)"
2,73,596,0,53562,"Exchange(80),Filter(83),ColumnarToRow(84),WholeStageCodegen (1)(81),Scan parquet spark_catalog.demo_pauldefusco.trs_v25(85)"
1,16,19,0,25240,"Exchange(75),SortMergeJoin(78),WholeStageCodegen (75)(76),Sort(80),Exchange(82),Sort(89),WholeStageCodegen (74)(88),Exchange(91)"
1,18,23,0,20627,"Exchange(178),Exchange(247),SortMergeJoin(250),WholeStageCodegen (81)(248),Sort(252),Sort(255),WholeStageCodegen (80)(254),Exchange(257)"
1,14,15,0,20545,"Exchange(353),Filter(355),ColumnarToRow(356),WholeStageCodegen (22)(354),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(357)"
1,17,21,0,20202,"Exchange(91),Exchange(171),SortMergeJoin(174),WholeStageCodegen (78)(172),Sort(176),Exchange(178),Sort(185),WholeStageCodegen (77)(184)"
