SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Exec","Sort",143,true,"88:142:174:185:42:24:37:52:125:357:157:46:152:289:57:29:475:121:634:221:133:74:248:60:85:28:70:137:92:197:53:77:96:129:41:32:34:180:819:191:22:44:118:204:54:49:335:181:318:39:271:726:108:299:241:209:48:409:50:67:386:43:99:203:104:26:55:114:58:82:36:168:262:146:30:51:79:47:163:62:227"
1,"Exec","Exchange",92,true,"0:88:5:10:142:174:185:24:37:14:125:357:542:157:46:152:289:29:475:121:221:133:1:74:6:248:60:85:28:70:137:92:197:9:53:77:96:13:129:41:2:32:34:180:17:191:22:118:204:12:335:181:7:318:271:726:108:299:3:241:209:48:18:409:50:67:16:11:386:43:99:203:104:26:55:114:8:58:82:36:168:262:146:30:51:19:4:79:15:163:62:227"
1,"Exec","AQEShuffleRead",77,true,"142:174:185:125:157:152:289:121:634:133:74:85:70:137:92:197:77:96:129:180:819:191:118:204:335:181:318:726:108:299:209:67:203:104:114:82:168:146:79:163"
1,"Exec","Project",71,true,"88:142:174:185:42:24:37:52:125:357:157:46:152:289:57:29:475:121:634:221:133:74:248:60:85:28:70:137:92:197:53:77:96:129:41:32:34:180:191:22:44:118:204:54:49:335:181:318:39:271:726:108:299:241:209:48:409:50:67:386:43:99:203:104:26:55:114:58:82:36:168:262:146:30:51:79:47:163:62:227"
1,"Exec","SortMergeJoin",71,true,"88:142:174:185:42:24:37:52:125:357:157:46:152:289:57:29:475:121:634:221:133:74:248:60:85:28:70:137:92:197:53:77:96:129:41:32:34:180:191:22:44:118:204:54:49:335:181:318:39:271:726:108:299:241:209:48:409:50:67:386:43:99:203:104:26:55:114:58:82:36:168:262:146:30:51:79:47:163:62:227"
1,"Expr","sum",52,true,"185:542:157:152:475:634:221:248:180:191:335:181:271:726:241:386:203:168:262:227"
1,"Expr","isnotnull",51,true,"0:5:10:25:14:1:6:38:21:65:9:13:2:45:17:27:12:81:7:3:35:18:16:31:11:40:23:8:19:4:15"
1,"Expr","And",31,true,"0:5:14:1:6:38:21:65:13:2:17:27:81:7:3:35:18:16:31:40:23:4:15"
1,"Exec","HashAggregate",29,true,"185:542:157:152:289:475:634:221:248:197:180:191:204:335:181:318:271:726:299:241:209:386:203:168:262:227"
1,"Exec","ColumnarToRow",20,false,"0:5:10:25:14:1:6:38:21:65:9:13:2:45:17:27:12:81:7:3:35:18:16:31:11:40:23:8:19:4:15"
1,"Exec","Filter",20,true,"0:5:10:25:14:1:6:38:21:65:9:13:2:45:17:27:12:81:7:3:35:18:16:31:11:40:23:8:19:4:15"
1,"Exec","Scan parquet",16,true,"0:10:25:14:1:6:38:21:65:9:13:2:45:17:27:12:81:7:3:35:16:31:40:23:8:19:4"
1,"Expr","avg",12,true,"542:475:634:726:386"
1,"Expr","max",8,true,"542:475:634:204:726:386:203"
1,"Exec","Scan parquet",4,false,"5:11:15:18"
1,"Expr","count",4,true,"542:475:634:726:386"
1,"Exec","AdaptiveSparkPlan",1,false,"819"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"819"
1,"Exec","WriteFiles",1,true,"819"
2,"Exec","Sort",104,true,"892:846:1031:878:913:841:917:853:1247:870:937:1119:942:1067:862:1106:874:1017:857:1082:901:1039:921:953:926:856:843:875:990:996:959:883:872:971:954:907:1094:845:931:976:903:1010:896:899:950:854:867:1056:886:839:860:850"
2,"Exec","Exchange",70,true,"892:846:1031:878:913:829:841:917:853:1247:870:834:937:821:1119:942:1067:825:862:820:830:1106:874:1017:857:1082:901:1039:921:953:926:824:856:843:875:826:831:990:996:1177:959:827:883:823:836:872:971:954:907:1094:845:931:976:903:1010:896:899:832:833:950:835:854:867:1056:828:886:839:860:822:850"
2,"Exec","AQEShuffleRead",52,true,"892:1031:913:917:1247:870:937:942:1067:901:1039:921:953:926:959:872:954:907:931:903:896:899:950:867:1056:886"
2,"Exec","Project",52,true,"892:846:1031:878:913:841:917:853:1247:870:937:1119:942:1067:862:1106:874:1017:857:1082:901:1039:921:953:926:856:843:875:990:996:959:883:872:971:954:907:1094:845:931:976:903:1010:896:899:950:854:867:1056:886:839:860:850"
2,"Exec","SortMergeJoin",52,true,"892:846:1031:878:913:841:917:853:1247:870:937:1119:942:1067:862:1106:874:1017:857:1082:901:1039:921:953:926:856:843:875:990:996:959:883:872:971:954:907:1094:845:931:976:903:1010:896:899:950:854:867:1056:886:839:860:850"
2,"Expr","isnotnull",42,true,"829:834:821:825:820:830:824:826:831:827:823:836:832:833:835:828:822"
2,"Exec","HashAggregate",26,true,"1031:1247:1119:942:1067:1106:1017:1039:1318:921:953:926:990:996:1177:959:971:954:976:1010:950:1056"
2,"Expr","And",25,true,"834:821:825:820:824:826:823:836:832:833:835:822"
2,"Exec","ColumnarToRow",17,false,"829:834:821:825:820:830:824:826:831:827:823:836:832:833:835:828:822"
2,"Exec","Filter",17,true,"829:834:821:825:820:830:824:826:831:827:823:836:832:833:835:828:822"
2,"Exec","Scan parquet",13,true,"829:834:821:820:824:826:831:827:823:832:835:828:822"
2,"Exec","Scan parquet",4,false,"825:830:833:836"
2,"Expr","count",2,true,"1318:1247"
2,"Exec","AdaptiveSparkPlan",1,false,"1318"
