stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
34,800,407837,0,39312442,110205,2838,49140.6,2169996,3663,5125,39302844,0,0,70647,0,0,0,637665280,0,7997,37014893,15849,1538471717,832951,79285570508,0,80824042225,33933537725,1150017784,20958
37,1378,393680,0,71411007,147916,2077,45021.049999999996,2159583,3489,14998,5617972,0,0,75825,0,0,0,570556416,71,8039,3376180,4800,331733229,871586,60472734243,0,60804467472,24236622360,1186564987,18234
36,926,387547,0,22648719,177337,10,15001.25,2066700,4045,223126,19133843,0,0,64741,0,0,0,570556416,0,7997,16973196,6850,468771122,897122,62237348701,0,62706119823,22424142323,1223565374,15572
32,800,381205,0,52616848,137929,5146,65771.1,2252698,5155,239502,52371516,0,0,105372,0,0,0,637665280,0,7997,49918869,6266,601520941,842534,80219222627,0,80820743568,32924410859,1150017784,20227
30,800,313055,0,12428055,85660,3442,15535.1,2687315,58883,231445,12183422,0,0,156198,0,0,0,637665280,86,8040,8173418,6514,641113142,842286,83183636579,0,83824749721,35442427105,1150017784,23569
41,859,307300,0,7002591,129216,11,50306.950000000004,1108546,3307,130500,1145726,0,0,25757,0,0,0,411172864,33,11679,3545,2759,160994257,658066,37585876632,0,37746870889,10182158408,247482158,9241
17,25,289253,0,488879,49018,5709,19555.2,32956,3245,15285,472877,5501807,500000,2518,0,0,0,67633152,16,2983,0,0,0,0,0,0,0,8037970,500000,127
14,1044,282283,0,4235155,49563,146,4056.7,2255043,13993,70902,4157068,1072059065,2500000000,38668,0,0,0,335544320,26,2984,0,0,0,0,0,0,0,58888670214,2500000000,40734
43,808,272703,0,1107591,2689,11,871.95,1076764,3220,3208,1097528,0,0,13159,0,0,0,411172864,1,11678,2474,3090,178025704,656910,36953215090,0,37131240794,8782860935,247163783,8567
19,25,249397,0,159729,8513,5641,6389.2,16507,104,240,159262,5558096,2000000,772,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,23202884,2000000,162
16,25,247896,0,159282,8059,5715,6371.3,17006,124,289,158825,5386972,2000000,429,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,19904227,2000000,152
29,800,246840,0,13578267,36085,2918,16972.8,2648876,101125,360671,13199859,0,0,158476,0,0,0,637665280,165,8040,7804527,7370,726025960,841430,83098723761,0,83824749721,32419533170,1150017784,21820
6,1044,245834,0,4212848,48730,149,4035.3,2575601,13677,29995,4175311,1076033199,2500000000,48638,0,0,0,402653184,20,2984,0,0,0,0,0,0,0,83812106870,2500000000,48801
18,1,241044,0,284,284,284,284.0,93,4,7,272,7680,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,45136,731,1
46,810,240864,0,982606,2681,13,755.1,955207,3120,3149,972664,0,0,10512,0,0,0,344064000,13,11678,2241,2605,134882905,657395,34313168821,0,34448051726,6436596745,247163783,7129
15,1,240012,0,340,340,340,340.0,117,4,7,328,7714,731,38,0,0,0,67141632,0,2940,0,0,0,0,0,0,0,44970,731,2
26,800,226077,0,16901545,57486,3041,21126.9,2254579,3533,207407,16690198,0,0,87052,0,0,0,637665280,0,7996,14329817,13452,1285890847,835348,79527591345,0,80813482192,34427536971,1150017784,21557
28,800,223822,0,13171689,39760,3029,16464.6,2556041,6636,75204,13092045,0,0,110767,0,0,0,704774144,5,8040,10318831,10291,1014391335,838509,82827363835,0,83841755170,39008677820,1150017784,25039
51,811,222291,0,980797,1899,12,628.6999999999999,958030,3122,3192,973287,0,0,7819,0,0,0,344064000,41,11680,3334,2728,137727533,657272,32305322211,0,32443049744,6250757447,247163783,7151
48,811,217877,0,1111595,2219,12,704.6,1080591,3078,3301,1104108,0,0,11889,0,0,0,411172864,0,11637,3788,2653,156656599,657347,38872528014,0,39029184613,8822180355,247163783,8492
50,815,216734,0,1199921,7948,13,763.0500000000001,939945,5032,6814,1188121,0,0,19901,0,0,0,344064000,5,11680,202136,2867,141075081,657133,32298956051,0,32440031132,5489531123,247163783,6984
13,25,215468,0,147226,6352,5607,5889.0,13983,89,182,146919,5532207,500000,408,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,7932249,500000,90
12,25,214646,0,148731,6277,5569,5949.2,15968,116,266,148312,5568496,2000000,219,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,12642851,2000000,98
9,25,211197,0,149549,6331,5431,5982.0,14133,113,247,149159,5557007,500000,93,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,4423585,500000,80
8,25,210506,0,146553,6480,5571,5862.1,15351,113,225,146170,5861590,3000000,194,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,20497380,3000000,100
10,2,209917,0,9649,4934,4715,4824.5,1456,15,30,9607,381702,5000,0,0,0,0,67174400,0,2898,0,0,0,0,0,0,0,147387,5000,6
7,25,209771,0,153745,6391,5777,6149.8,14746,112,269,153353,5358172,2000000,257,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,29648300,2000000,107
11,1,205284,0,314,314,314,314.0,131,6,14,293,7749,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,37994,731,2
22,800,196740,0,19136317,89801,3528,23920.4,2834334,93948,639151,18480043,0,0,183923,0,0,0,704774144,119,8039,12213536,21348,2040346468,827452,78797216370,0,80837562838,37675799552,1150017784,25463
24,800,192562,0,17123782,52508,3102,21404.7,2426223,4774,306218,16813323,0,0,124888,0,0,0,704774144,1,8037,14249826,18661,1785311808,830139,79045175833,0,80830487641,37107718623,1150017784,23830
3,25,167218,0,178850,7401,6683,7154.0,20113,125,302,178410,7500963,500000,648,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,12149531,500000,92
4,2,166505,0,10750,5382,5368,5375.0,1846,16,28,10695,379320,5000,119,0,0,0,67174400,0,2940,0,0,0,0,0,0,0,243848,5000,6
2,25,165417,0,158611,6713,5949,6344.4,19712,134,269,158205,5861590,3000000,272,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,23515992,3000000,106
1,25,164621,0,161138,6955,5970,6445.5,20487,153,346,160648,5368572,2000000,248,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,36723497,2000000,108
0,1044,161814,0,5444355,35553,145,5214.9,2560598,32622,109951,5323096,1074108889,2500000000,71454,0,0,0,335544320,71,2984,0,0,0,0,0,0,0,80800839341,2500000000,44798
53,816,161668,0,1022383,2165,15,654.3000000000001,988495,3071,3089,1015111,0,0,8126,0,0,0,344064000,0,11637,3233,3488,190283813,656512,35272640376,0,35462924189,6711637174,247163783,7376
5,1,161506,0,356,356,356,356.0,144,7,14,335,7714,731,0,0,0,0,67141632,0,2897,0,0,0,0,0,0,0,47807,731,2
62,800,82695,0,899307,1667,882,1124.1,881415,2945,2895,892290,0,0,6223,0,0,0,344064000,0,11637,290,11402,414851769,648598,23094638022,0,23509489791,3919312696,247163783,5713
57,88,80386,0,689716,12690,3602,7837.7,244972,362,19899,669453,0,0,2913,0,0,0,570556416,0,7997,409655,805,77861805,92563,8796473542,0,8874335347,3719439140,126059762,2247
54,11,79740,0,79474,12763,2568,7224.9,32723,55,169,79259,0,0,311,0,0,0,637665280,0,7997,45339,32,3264444,11639,1132657426,0,1135921870,474607617,16580106,275
60,800,74019,0,1316691,10634,805,1645.9,791885,2877,2725,1310274,0,0,5978,0,0,0,344064000,0,11637,509611,4561,147985018,655439,20948183927,0,21096168945,3146480906,247163783,5224
