sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",1887,"number of written files",800,800,800,800,"sum","146"
1,1,"Execute InsertIntoHadoopFsRelationCommand",1888,"written output",5266996,5266996,5266996,5266996,"size","146"
1,1,"Execute InsertIntoHadoopFsRelationCommand",1889,"number of output rows",30312,30312,30312,30312,"sum","146"
1,1,"Execute InsertIntoHadoopFsRelationCommand",1890,"number of dynamic part",0,0,0,0,"sum","146"
1,1,"Execute InsertIntoHadoopFsRelationCommand",1891,"task commit time",182,189,610,200852,"timing","146"
1,1,"Execute InsertIntoHadoopFsRelationCommand",1892,"job commit time",17332,17332,17332,17332,"timing","146"
1,3,"InMemoryTableScan",16,"number of output rows",36,36,39,30312,"sum","146"
1,5,"WholeStageCodegen (10)",1848,"duration",5,5,64,11033,"timing","128"
1,6,"Sort",1849,"sort time",0,0,0,0,"timing","128"
1,6,"Sort",1850,"peak memory",67174400,67174400,67174400,53739520000,"size","128"
1,6,"Sort",1851,"spill size",0,0,0,0,"size","128"
1,7,"Exchange",1747,"data size",25752,108179,118888,5409560,"size","110,128"
1,7,"Exchange",1748,"number of partitions",800,800,800,800,"sum","110,128"
1,7,"Exchange",1749,"remote blocks read",18,18,30,19504,"sum","110,128"
1,7,"Exchange",1750,"local blocks read",1,1,5,1825,"sum","110,128"
1,7,"Exchange",1751,"remote bytes read",4508,6022,7108,4977924,"size","110,128"
1,7,"Exchange",1753,"local bytes read",194,433,1864,484754,"size","110,128"
1,7,"Exchange",1754,"fetch wait time",0,0,28,1552,"timing","110,128"
1,7,"Exchange",1755,"records read",36,36,39,30312,"sum","110,128"
1,7,"Exchange",1764,"remote reqs duration",6,6,44,11652,"timing","110,128"
1,7,"Exchange",1766,"shuffle bytes written",28986,109241,119370,5462678,"size","110,128"
1,7,"Exchange",1767,"shuffle records written",144,595,666,30312,"sum","110,128"
