stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
8,89,102648,71798041695,4201080,53961,16058,47203.1,3766297,1295,1916,4198709,0,0,368540,217187352576,0,0,5101322240,0,8082,36378,38024,6992796604,417937,76772997595,0,83765794199,40944805100,1150017784,24237
13,50,81478,38702600421,2048461,43872,38316,40969.2,1760063,248,502,2047591,0,0,166232,97983135744,0,0,4901044224,0,11722,4952,9183,3426867538,100408,37544908594,0,40971776132,12180877962,247163783,16338
3,48,77817,0,148942,3494,267,3103.0,14493,126,238,148435,5547407,500000,659,0,0,0,67371008,0,2941,0,0,0,0,0,0,0,14703435,500000,169
4,25,75957,0,9887,463,341,395.5,1242,59,85,9685,381102,5000,26,0,0,0,67141632,0,2939,0,0,0,0,0,0,0,485531,5000,17
5,1,75791,0,268,268,268,268.0,83,3,7,257,7737,731,0,0,0,0,67141632,0,2896,0,0,0,0,0,0,0,47807,731,1
2,48,74684,0,148600,3449,259,3095.8,15652,134,250,148056,5861590,3000000,268,0,0,0,68157440,0,2940,0,0,0,0,0,0,0,26971032,3000000,163
1,48,71664,0,154832,3564,249,3225.7,19120,159,285,154270,5515696,2000000,287,0,0,0,68157440,0,2940,0,0,0,0,0,0,0,54022238,2000000,180
0,522,69961,0,3209478,17149,2815,6148.4,2305163,19006,38574,3158690,550940349,2500000000,71157,0,0,0,536870912,30,2984,0,0,0,0,0,0,0,83711771961,2500000000,38973
54,800,58883,0,160613,632,7,200.8,777,3742,3996,152743,11608465798,0,3345,0,0,0,0,0,22243,0,0,0,0,0,0,0,0,0,0
53,800,55667,0,158104,889,7,197.6,870,3841,3775,150457,11463069802,0,5827,0,0,0,0,1,22243,0,0,0,0,0,0,0,0,0,0
52,800,54057,0,2500176,5477,2275,3125.2,2383026,7610,17100,2478754,0,0,63691,0,0,0,150994944,62,23017,1607,3403,2197112930,37397,24173008014,0,26370120944,0,0,0
40,51,45858,6042370475,1278326,28616,5874,25065.2,1210955,1399,7868,1270060,0,0,34019,58522009600,0,0,3221291008,0,22642,4990,2277,1348543292,25083,14835325986,0,16183869278,26370120944,247163783,21634
60,50,30890,5941020535,863169,18783,9244,17263.4,767434,341,1677,861219,0,0,59858,50650415104,0,0,2349858816,0,28521,7106,101706,1225562001,1121528,13670772807,0,14896334808,16860907294,247163783,20693
76,50,28813,0,833904,18002,9877,16678.1,745074,866,2962,830455,0,0,17461,0,0,0,1478754304,0,32747,57180,56608,1662680677,623392,18163628042,0,19826308719,292358293,1134242,357
