App ID,SQL ID,Operator,Count,Stage Task Exec Duration(s),Total SQL Task Duration(s),% of Total SQL Task Duration,Supported
spark-eece07b5af704cc8a9beb729b9aff2c8,1,AQEShuffleRead,16,10392.33,17854.25,58.21,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,AdaptiveSparkPlan,5,2968.20,17854.25,16.62,False
spark-eece07b5af704cc8a9beb729b9aff2c8,1,ColumnarToRow,6,3672.01,17854.25,20.57,False
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Exchange,17,14865.71,17854.25,83.26,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Execute InsertIntoHadoopFsRelationCommand parquet,1,447.99,17854.25,2.51,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Filter,9,4493.72,17854.25,25.17,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,HashAggregate,7,1258.74,17854.25,7.05,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,InMemoryTableScan,4,1269.70,17854.25,7.11,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Project,1,1278.33,17854.25,7.16,False
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Project,7,10357.90,17854.25,58.01,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Scan parquet,1,0.27,17854.25,0.00,False
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Scan parquet,5,3671.74,17854.25,20.57,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Sort,18,12878.12,17854.25,72.13,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,SortMergeJoin,7,10357.90,17854.25,58.01,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,Window,3,2500.18,17854.25,14.00,True
spark-eece07b5af704cc8a9beb729b9aff2c8,1,WriteFiles,1,447.99,17854.25,2.51,True
spark-eece07b5af704cc8a9beb729b9aff2c8,3,AQEShuffleRead,10,8660.83,15152.88,57.16,True
spark-eece07b5af704cc8a9beb729b9aff2c8,3,AdaptiveSparkPlan,3,2716.22,15152.88,17.93,False
spark-eece07b5af704cc8a9beb729b9aff2c8,3,ColumnarToRow,6,3672.01,15152.88,24.23,False
spark-eece07b5af704cc8a9beb729b9aff2c8,3,Exchange,12,12436.66,15152.88,82.07,True
spark-eece07b5af704cc8a9beb729b9aff2c8,3,Execute InsertIntoHadoopFsRelationCommand parquet,1,204.46,15152.88,1.35,True
