SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Expr","sum",108,true,"436:489:105:176:118:278:383:94:90"
1,"Expr","isnotnull",98,true,"0:5:10:24:37:25:14:20:29:1:6:60:28:38:21:65:9:13:2:32:17:22:27:12:76:7:39:3:18:16:31:11:72:43:87:26:23:8:36:30:19:4:15:62"
1,"Exec","Project",80,true,"0:42:24:37:52:184:46:57:29:60:38:70:65:141:176:49:81:76:7:39:330:130:278:241:35:162:31:72:43:87:207:36:62:83"
1,"Expr","And",57,true,"0:10:24:37:25:14:20:29:6:38:21:32:17:22:27:12:7:39:3:16:31:11:43:23:36:30"
1,"Exec","Sort",56,true,"42:436:52:184:46:57:60:70:65:141:489:105:176:118:49:81:76:330:130:278:241:35:162:72:87:207:383:94:62:90:83:543"
1,"Exec","Exchange",53,true,"0:42:24:37:25:52:184:110:46:57:29:1:60:28:38:70:65:141:489:105:2:32:176:22:118:27:49:113:81:76:7:39:330:130:278:241:35:162:145:31:72:43:87:26:23:207:36:30:94:62:90:83:100"
1,"Exec","ColumnarToRow",38,false,"0:5:10:24:37:25:14:20:29:1:6:28:38:21:9:13:2:32:17:22:27:12:7:39:3:18:16:31:11:43:26:23:8:36:30:19:4:15"
1,"Exec","Filter",38,true,"0:5:10:24:37:25:14:20:29:1:6:28:38:21:9:13:2:32:17:22:27:12:7:39:3:18:16:31:11:43:26:23:8:36:30:19:4:15"
1,"Exec","BroadcastHashJoin",35,true,"37:57:60:38:70:65:81:76:39:72:43:87:36:62:83"
1,"Exec","Scan parquet",33,true,"0:5:10:24:37:25:20:29:1:6:28:38:21:9:13:2:32:22:27:7:39:18:16:31:11:43:26:23:8:36:30:4:15"
1,"Exec","SortMergeJoin",24,true,"42:52:184:46:57:60:70:65:141:176:49:81:76:330:130:278:241:35:162:72:87:207:62:83"
1,"Exec","AQEShuffleRead",23,true,"42:52:110:46:70:65:49:81:76:87:62:83"
1,"Exec","HashAggregate",20,true,"436:110:70:489:105:176:118:113:81:278:383:94:90:83"
1,"Expr","avg",20,true,"436:489:105:118:278:383:94:90"
1,"Exec","BroadcastExchange",18,true,"5:10:14:20:6:21:9:13:17:12:3:18:16:11:8:19:4:15"
1,"Expr","count",14,true,"436:489:105:176:118:278:383:94:90"
1,"Expr","LessThan",10,true,"0:24:37:29:38:7:39:31:43:36"
1,"Expr","isnull",6,true,"60:65:76:72:87:62"
1,"Expr","max",6,true,"436:489:383:94:90"
1,"Exec","Scan parquet",5,false,"14:17:12:3:19"
1,"Exec","AdaptiveSparkPlan",1,false,"543"
1,"Expr","EqualTo",1,true,"39"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"543"
1,"Exec","WriteFiles",1,true,"543"
