Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
118,3077474,0,false
145,5990280,0,false
15,246761,0,false
6,9170,0,false
35,25429855,0,false
20,157110,0,false
87,3677732,0,false
28,156525,0,false
38,3382431,0,false
22,182267,0,false
57,11088057,0,false
46,5913067,0,false
176,1041089,0,false
83,6041823,0,false
543,12869236,0,false
13,10630,0,false
17,250,83,false
32,377726,0,false
12,415,138,false
42,10468874,0,false
100,693042,0,false
7,3097151,0,false
49,5234808,0,false
24,2450557,0,false
10,321951,0,false
130,4400479,0,false
5,154321,0,false
70,1689506,0,false
383,20665969,0,false
113,5932718,0,false
0,3668219,0,false
43,3337996,0,false
72,5930422,0,false
436,20926,0,false
52,5410322,0,false
207,47096262,0,false
39,754743,0,false
30,184479,0,false
141,1110891,0,false
278,16957046,0,false
26,156805,0,false
62,540748,0,false
18,156513,0,false
11,10753,0,false
489,18398437,0,false
37,2251484,0,false
81,2209649,0,false
14,287,95,false
94,1100919,0,false
31,1991477,0,false
9,154326,0,false
105,3308097,0,false
1,160701,0,false
29,1899376,0,false
25,185063,0,false
8,229750,0,false
330,20610576,0,false
60,10405128,0,false
2,171807,0,false
27,164453,0,false
76,4338557,0,false
65,6190816,0,false
36,3445389,0,false
90,8282330,0,false
241,25281584,0,false
23,157818,0,false
162,2434626,0,false
4,9411,0,false
21,239687,0,false
16,151559,0,false
19,249,83,false
3,382,127,false
184,6606503,0,false
110,1524702,0,false
