SQL ID,Stage ID,ExecId,Unsupported Type,Unsupported Operator,Details,Stage Duration,App Duration,Action
0,-1,0,Exec,"Execute CreateDataSourceTableAsSelectCommand","Unsupported",0,1130628,IgnorePerf
1,543,1,Exec,"AdaptiveSparkPlan","Unsupported",22081,1130628,IgnoreNoPerf
1,0,2,Exec,"ColumnarToRow","Unsupported",137215,1130628,IgnoreNoPerf
1,1,3,Exec,"ColumnarToRow","Unsupported",140981,1130628,IgnoreNoPerf
1,2,4,Exec,"ColumnarToRow","Unsupported",145907,1130628,IgnoreNoPerf
1,15,5,Exec,"ColumnarToRow","Unsupported",201548,1130628,IgnoreNoPerf
1,13,6,Exec,"ColumnarToRow","Unsupported",180977,1130628,IgnoreNoPerf
1,19,7,Exec,"ColumnarToRow","Unsupported",180137,1130628,IgnoreNoPerf
1,19,8,ReadExec,"Scan parquet","Unsupported IO format",180137,1130628,Triage
1,7,9,Exec,"ColumnarToRow","Unsupported",195106,1130628,IgnoreNoPerf
1,22,10,Exec,"ColumnarToRow","Unsupported",192420,1130628,IgnoreNoPerf
1,23,11,Exec,"ColumnarToRow","Unsupported",191522,1130628,IgnoreNoPerf
1,18,12,Exec,"ColumnarToRow","Unsupported",186069,1130628,IgnoreNoPerf
1,4,13,Exec,"ColumnarToRow","Unsupported",144161,1130628,IgnoreNoPerf
1,17,14,Exec,"ColumnarToRow","Unsupported",179193,1130628,IgnoreNoPerf
1,17,15,ReadExec,"Scan parquet","Unsupported IO format",179193,1130628,Triage
1,24,16,Exec,"ColumnarToRow","Unsupported",228761,1130628,IgnoreNoPerf
1,25,17,Exec,"ColumnarToRow","Unsupported",205009,1130628,IgnoreNoPerf
1,26,18,Exec,"ColumnarToRow","Unsupported",204180,1130628,IgnoreNoPerf
1,5,19,Exec,"ColumnarToRow","Unsupported",149518,1130628,IgnoreNoPerf
1,3,20,Exec,"ColumnarToRow","Unsupported",139475,1130628,IgnoreNoPerf
1,3,21,ReadExec,"Scan parquet","Unsupported IO format",139475,1130628,Triage
1,36,22,Exec,"ColumnarToRow","Unsupported",204141,1130628,IgnoreNoPerf
1,9,23,Exec,"ColumnarToRow","Unsupported",181301,1130628,IgnoreNoPerf
1,27,24,Exec,"ColumnarToRow","Unsupported",205301,1130628,IgnoreNoPerf
1,43,25,Exec,"ColumnarToRow","Unsupported",263136,1130628,IgnoreNoPerf
1,8,26,Exec,"ColumnarToRow","Unsupported",196477,1130628,IgnoreNoPerf
1,28,27,Exec,"ColumnarToRow","Unsupported",205361,1130628,IgnoreNoPerf
1,20,28,Exec,"ColumnarToRow","Unsupported",187811,1130628,IgnoreNoPerf
1,12,29,Exec,"ColumnarToRow","Unsupported",175965,1130628,IgnoreNoPerf
1,12,30,ReadExec,"Scan parquet","Unsupported IO format",175965,1130628,Triage
1,37,31,Exec,"ColumnarToRow","Unsupported",172118,1130628,IgnoreNoPerf
1,21,32,Exec,"ColumnarToRow","Unsupported",206659,1130628,IgnoreNoPerf
1,14,33,Exec,"ColumnarToRow","Unsupported",176218,1130628,IgnoreNoPerf
1,14,34,ReadExec,"Scan parquet","Unsupported IO format",176218,1130628,Triage
1,38,35,Exec,"ColumnarToRow","Unsupported",227601,1130628,IgnoreNoPerf
1,29,36,Exec,"ColumnarToRow","Unsupported",254538,1130628,IgnoreNoPerf
1,30,37,Exec,"ColumnarToRow","Unsupported",216929,1130628,IgnoreNoPerf
1,16,38,Exec,"ColumnarToRow","Unsupported",185360,1130628,IgnoreNoPerf
1,6,39,Exec,"ColumnarToRow","Unsupported",148331,1130628,IgnoreNoPerf
1,31,40,Exec,"ColumnarToRow","Unsupported",259513,1130628,IgnoreNoPerf
1,32,41,Exec,"ColumnarToRow","Unsupported",276611,1130628,IgnoreNoPerf
1,11,42,Exec,"ColumnarToRow","Unsupported",181009,1130628,IgnoreNoPerf
1,39,43,Exec,"ColumnarToRow","Unsupported",174918,1130628,IgnoreNoPerf
1,10,44,Exec,"ColumnarToRow","Unsupported",201466,1130628,IgnoreNoPerf
