stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
118,0,20339,0,5.53,3.1,174.51,20.53,832.53,true,"Success"
118,0,20352,0,10.02,3.1,323.47,20.53,1344.53,true,"Success"
118,0,20363,0,7.55,3.1,111.53,20.53,576.53,true,"Success"
118,0,20373,0,9.49,3.1,198.97,20.53,896.53,true,"Success"
118,0,20402,0,9.00,3.1,259.97,20.53,1024.53,true,"Success"
118,0,20421,0,7.18,3.1,125.63,20.53,704.53,true,"Success"
118,0,20430,0,13.96,3.1,258.02,20.53,1024.53,true,"Success"
118,0,20459,0,10.14,3.1,253.94,20.53,1024.53,true,"Success"
118,0,20461,0,7.33,3.1,134.27,20.53,704.53,true,"Success"
118,0,20482,0,7.99,3.1,155.23,20.53,768.53,true,"Success"
118,0,20508,0,7.16,3.1,105.65,20.53,576.53,true,"Success"
118,0,20535,0,8.64,3.1,179.89,20.53,896.53,true,"Success"
118,0,20540,0,8.45,3.1,159.14,20.53,768.53,true,"Success"
118,0,20549,0,8.37,3.1,114.54,20.53,576.53,true,"Success"
118,0,20556,0,8.72,3.1,180.41,20.53,896.53,true,"Success"
118,0,20559,0,8.87,3.1,203.01,20.53,896.53,true,"Success"
118,0,20582,0,7.49,3.1,174.46,20.53,832.53,true,"Success"
118,0,20586,0,8.72,3.1,131.44,20.53,640.53,true,"Success"
118,0,20617,0,5.40,3.1,134.17,20.53,704.53,true,"Success"
118,0,20639,0,8.75,3.1,129.66,20.53,704.53,true,"Success"
118,0,20641,0,11.21,3.1,236.47,20.53,1024.53,true,"Success"
118,0,20665,0,9.46,3.1,171.43,20.53,768.53,true,"Success"
118,0,20687,0,8.70,3.1,179.73,20.53,896.53,true,"Success"
118,0,20694,0,8.85,3.1,121.20,20.53,640.53,true,"Success"
118,0,20703,0,7.17,3.1,188.56,20.53,896.53,true,"Success"
118,0,20706,0,8.73,3.1,129.71,20.53,704.53,true,"Success"
118,0,20722,0,10.41,3.1,141.43,20.53,768.53,true,"Success"
118,0,20723,0,8.66,3.1,124.03,20.53,640.53,true,"Success"
118,0,20735,0,9.08,3.1,174.46,20.53,832.53,true,"Success"
118,0,20751,0,7.39,3.1,180.09,20.53,896.53,true,"Success"
118,0,20764,0,10.70,3.1,250.91,20.53,1024.53,true,"Success"
118,0,20778,0,8.42,3.1,103.54,20.53,512.53,true,"Success"
118,0,20782,0,9.57,3.1,180.23,20.53,896.53,true,"Success"
118,0,20800,0,6.88,3.1,134.12,20.53,704.53,true,"Success"
118,0,20846,0,7.01,3.1,103.58,20.53,512.53,true,"Success"
118,0,20862,0,10.63,3.1,214.60,20.53,960.53,true,"Success"
118,0,20867,0,8.20,3.1,129.69,20.53,704.53,true,"Success"
118,0,20884,0,6.68,3.1,140.91,20.53,768.53,true,"Success"
118,0,20888,0,8.10,3.1,187.14,20.53,832.53,true,"Success"
118,0,20925,0,8.85,3.1,174.11,20.53,832.53,true,"Success"
118,0,20931,0,7.94,3.1,134.41,20.53,704.53,true,"Success"
118,0,20952,0,7.29,3.1,168.79,20.53,832.53,true,"Success"
118,0,20955,0,9.64,3.1,114.53,20.53,640.53,true,"Success"
118,0,20968,0,9.49,3.1,161.89,20.53,768.53,true,"Success"
118,0,20979,0,7.36,3.1,163.51,20.53,768.53,true,"Success"
118,0,20986,0,7.29,3.1,133.95,20.53,704.53,true,"Success"
118,0,20990,0,6.06,3.1,101.88,20.53,576.53,true,"Success"
118,0,21031,0,9.07,3.1,134.33,20.53,704.53,true,"Success"
118,0,21049,0,5.69,3.1,129.80,20.53,704.53,true,"Success"
118,0,21051,0,8.66,3.1,206.27,20.53,896.53,true,"Success"
118,0,21064,0,8.03,3.1,162.53,20.53,832.53,true,"Success"
118,0,21077,0,9.00,3.1,129.65,20.53,704.53,true,"Success"
