sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",27550,"number of written files",1000,1000,1000,1000,"sum","543"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27551,"written output",15455002807,15455002807,15455002807,15455002807,"size","543"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27552,"number of output rows",66811334,66811334,66811334,66811334,"sum","543"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27553,"number of dynamic part",0,0,0,0,"sum","543"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27554,"task commit time",208,3348,10002,3609702,"timing","543"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27555,"job commit time",19952,19952,19952,19952,"timing","543"
1,3,"WholeStageCodegen (140)",27556,"duration",1428,7283,10917,7545259,"timing","543"
1,4,"Sort",27557,"sort time",111,163,628,272730,"timing","543"
1,4,"Sort",27558,"peak memory",69206016,69206016,69206016,69206016000,"size","543"
1,4,"Sort",27559,"spill size",0,0,0,0,"size","543"
1,5,"Exchange",27407,"data size",1178840,53897284,182500544,53628046880,"size","489,543"
1,5,"Exchange",27408,"number of partitions",1000,1000,1000,1000,"sum","489,543"
1,5,"Exchange",27409,"remote blocks read",5,5,58,16457,"sum","489,543"
1,5,"Exchange",27410,"local blocks read",1,1,2,57,"sum","489,543"
1,5,"Exchange",27411,"remote bytes read",11398921,20069278,31850058,20069528350,"size","489,543"
1,5,"Exchange",27413,"local bytes read",10225,1338279,4066191,74944425,"size","489,543"
1,5,"Exchange",27414,"fetch wait time",0,0,0,0,"timing","489,543"
1,5,"Exchange",27415,"records read",53288,66560,81369,66811334,"sum","489,543"
1,5,"Exchange",27424,"remote reqs duration",203,1948,10751,2198121,"timing","489,543"
1,5,"Exchange",27426,"shuffle bytes written",551449,20245449,62531068,20144472775,"size","489,543"
1,5,"Exchange",27427,"shuffle records written",1439,66891,228018,66811334,"sum","489,543"
1,5,"Exchange",27428,"shuffle write time",540310,9792838,42105827,9744122871,"nsTiming","489,543"
1,6,"WholeStageCodegen (139)",27429,"duration",60,18458,80679,76475699,"timing","436,489,383"
1,7,"HashAggregate",27430,"number of output rows",1439,67059,228018,268143340,"sum","436,489,383"
1,7,"HashAggregate",27431,"peak memory",262144,96055492,276824064,384607191040,"size","436,489,383"
1,7,"HashAggregate",27433,"time in aggregation build",39,17724,80435,72882465,"timing","436,489,383"
1,7,"HashAggregate",27434,"avg hash probes per key",10,10,16,62432,"average","436,489,383"
1,8,"HashAggregate",27436,"number of output rows",1439,67059,228018,268143340,"sum","436,489,383"
1,8,"HashAggregate",27437,"peak memory",262144,81101497,209715200,324731404288,"size","436,489,383"
1,8,"HashAggregate",27439,"time in aggregation build",0,17414,80130,71544207,"timing","436,489,383"
1,8,"HashAggregate",27440,"avg hash probes per key",10,10,19,55816,"average","436,489,383"
1,9,"Sort",27442,"sort time",0,88,2238,1238552,"timing","436,489,383"
1,9,"Sort",27443,"peak memory",65536,820571756,4026531840,3284026785792,"size","436,489,383"
1,9,"Sort",27444,"spill size",0,57923965,3019898880,237431160832,"size","436,489,383"
1,10,"Exchange",27329,"data size",349894072,762409930,1495531040,762410186248,"size","330,436,489,383"
1,10,"Exchange",27330,"number of partitions",1000,1000,1000,1000,"sum","330,436,489,383"
1,10,"Exchange",27331,"remote blocks read",41,322,887,2083012,"sum","330,436,489,383"
1,10,"Exchange",27332,"local blocks read",1,1,5,8366,"sum","330,436,489,383"
1,10,"Exchange",27333,"remote bytes read",668508,143861387,621775633,573201698040,"size","330,436,489,383"
1,10,"Exchange",27335,"local bytes read",551,624949,26521097,2203671816,"size","330,436,489,383"
1,10,"Exchange",27336,"fetch wait time",0,83,2302,679923,"timing","330,436,489,383"
1,10,"Exchange",27337,"records read",1870,1006426,5153083,4010574476,"sum","330,436,489,383"
1,10,"Exchange",27346,"remote reqs duration",3679,74839,214003,249615391,"timing","330,436,489,383"
1,10,"Exchange",27348,"shuffle bytes written",66671096,143482557,265413301,143482800409,"size","330,436,489,383"
1,10,"Exchange",27349,"shuffle records written",457424,999749,1984208,1000000000,"sum","330,436,489,383"
1,10,"Exchange",27350,"shuffle write time",33063939,101125165,1759314525,101125412958,"nsTiming","330,436,489,383"
1,11,"WholeStageCodegen (138)",27351,"duration",6843,17576,25154,17825463,"timing","330"
1,13,"SortMergeJoin",27352,"number of output rows",457424,999749,1984208,1000000000,"sum","330"
1,13,"SortMergeJoin",27353,"spill size",0,0,0,0,"size","330"
1,14,"WholeStageCodegen (136)",27355,"duration",7102,17967,25536,18226839,"timing","330"
1,15,"Sort",27356,"sort time",472,728,2160,964616,"timing","330"
1,15,"Sort",27357,"peak memory",352321536,729976413,1409286144,729976668160,"size","330"
1,15,"Sort",27358,"spill size",0,0,0,0,"size","330"
1,16,"Exchange",27196,"data size",417019688,1110303712,4556671776,658410186248,"size","278,330"
1,16,"Exchange",27197,"number of partitions",1000,1000,1000,1000,"sum","278,330"
1,16,"Exchange",27198,"remote blocks read",589,589,593,590620,"sum","278,330"
1,16,"Exchange",27199,"local blocks read",1,1,4,2380,"sum","278,330"
1,16,"Exchange",27200,"remote bytes read",78950889,169988883,309569199,169989124913,"size","278,330"
1,16,"Exchange",27202,"local bytes read",6855,741215,3426168,717731969,"size","278,330"
1,16,"Exchange",27203,"fetch wait time",2185,8983,14091,9228696,"timing","278,330"
1,16,"Exchange",27204,"records read",457424,999749,1984208,1000000000,"sum","278,330"
1,16,"Exchange",27213,"remote reqs duration",30082,191164,288200,191409400,"timing","278,330"
1,16,"Exchange",27215,"shuffle bytes written",108383538,287869769,1181320793,170706856882,"size","278,330"
1,16,"Exchange",27216,"shuffle records written",638021,1686189,6917768,1000000000,"sum","278,330"
1,16,"Exchange",27217,"shuffle write time",49759015,182935536,4243142412,108480863198,"nsTiming","278,330"
1,17,"WholeStageCodegen (135)",27218,"duration",2,13795,53681,14013062,"timing","278"
1,19,"SortMergeJoin",27219,"number of output rows",638021,1686189,6917768,1000000000,"sum","278"
