sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,32,32,0,276611,"Exchange(496),Filter(498),ColumnarToRow(499),WholeStageCodegen (46)(497),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(500)"
1,39,43,0,263136,"Exchange(294),BroadcastHashJoin(297),Filter(299),ColumnarToRow(300),WholeStageCodegen (66)(295),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(301)"
1,31,31,0,259513,"Exchange(487),Filter(490),ColumnarToRow(491),WholeStageCodegen (45)(488),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(492)"
1,29,29,0,254538,"Exchange(432),Filter(435),ColumnarToRow(436),WholeStageCodegen (39)(433),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(437)"
1,24,24,0,228761,"Exchange(193),Filter(196),ColumnarToRow(197),WholeStageCodegen (13)(194),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(198)"
1,36,38,0,227601,"Exchange(383),BroadcastHashJoin(386),Filter(388),ColumnarToRow(389),WholeStageCodegen (61)(384),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(390)"
1,40,46,0,218399,"Exchange(186),SortMergeJoin(189),WholeStageCodegen (69)(187),Sort(191),Exchange(193),Sort(200),WholeStageCodegen (68)(199),Exchange(202)"
1,30,30,0,216929,"Exchange(441),Filter(443),ColumnarToRow(444),WholeStageCodegen (40)(442),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(445)"
1,38,42,0,211845,"Exchange(120),SortMergeJoin(123),WholeStageCodegen (65)(121),Sort(125),Exchange(127),Sort(134),WholeStageCodegen (64)(133),Exchange(136)"
1,21,21,0,206659,"Filter(357),ColumnarToRow(358),WholeStageCodegen (31)(356),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(359)"
1,28,28,0,205361,"Exchange(310),Filter(312),ColumnarToRow(313),WholeStageCodegen (25)(311),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(314)"
1,27,27,0,205301,"Exchange(263),Filter(265),ColumnarToRow(266),WholeStageCodegen (20)(264),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(267)"
1,25,25,0,205009,"Exchange(202),Filter(204),ColumnarToRow(205),WholeStageCodegen (14)(203),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(206)"
1,26,26,0,204180,"Exchange(210),Filter(212),ColumnarToRow(213),WholeStageCodegen (15)(211),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(214)"
1,34,36,0,204141,"Exchange(247),BroadcastHashJoin(250),Filter(252),ColumnarToRow(253),WholeStageCodegen (59)(248),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(254)"
1,15,15,0,201548,"Filter(77),ColumnarToRow(78),WholeStageCodegen (4)(76),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(79)"
1,10,10,0,201466,"Filter(541),ColumnarToRow(542),WholeStageCodegen (53)(540),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(543)"
1,41,49,0,196783,"Exchange(425),SortMergeJoin(428),WholeStageCodegen (72)(426),Sort(430),Exchange(432),Sort(439),WholeStageCodegen (71)(438),Exchange(441)"
1,8,8,0,196477,"Filter(304),ColumnarToRow(305),WholeStageCodegen (24)(303),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(306)"
1,7,7,0,195106,"Exchange(127),Filter(130),ColumnarToRow(131),WholeStageCodegen (7)(128),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(132)"
1,42,52,0,194748,"Exchange(480),SortMergeJoin(483),WholeStageCodegen (75)(481),Sort(485),Exchange(487),Sort(494),WholeStageCodegen (74)(493),Exchange(496)"
1,22,22,0,192420,"Exchange(136),Filter(138),ColumnarToRow(139),WholeStageCodegen (8)(137),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(140)"
1,23,23,0,191522,"Exchange(144),Filter(146),ColumnarToRow(147),WholeStageCodegen (9)(145),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(148)"
1,33,35,0,189114,"Exchange(49),SortMergeJoin(52),WholeStageCodegen (58)(50),Sort(54),WholeStageCodegen (56)(53),Exchange(55),Sort(62),WholeStageCodegen (57)(61),Exchange(63)"
1,43,57,0,188245,"Exchange(34),BroadcastHashJoin(40),BroadcastHashJoin(42),BroadcastHashJoin(44),SortMergeJoin(46),WholeStageCodegen (78)(35),Sort(48),WholeStageCodegen (76)(47),Exchange(49),Sort(69),Exchange(70)"
1,20,20,0,187811,"Filter(317),ColumnarToRow(318),WholeStageCodegen (26)(316),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(319)"
1,18,18,0,186069,"Filter(151),ColumnarToRow(152),WholeStageCodegen (10)(150),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(153)"
1,16,16,0,185360,"Filter(451),ColumnarToRow(452),WholeStageCodegen (42)(450),Scan parquet spark_catalog.demo_pauldefusco.merchants_skewed(453)"
1,9,9,0,181301,"Filter(257),ColumnarToRow(258),WholeStageCodegen (19)(256),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(259)"
1,11,11,0,181009,"Filter(506),ColumnarToRow(507),WholeStageCodegen (49)(505),Scan parquet spark_catalog.demo_pauldefusco.branches_skewed(508)"
