stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
32,25,276611,0,377726,57847,6439,15109.0,28961,1945,7718,369464,7331620,2000000,1214,0,0,0,69206016,12,3187,0,0,0,0,0,0,0,39765496,2000000,133
43,418,263136,0,3337996,61288,168,7985.6,1436414,5377,226159,3107921,177223091,1000000000,36261,0,0,0,332435456,27,3245,0,0,0,0,0,0,0,31001525256,1000000000,24546
31,418,259513,0,1991477,47104,143,4764.3,1284038,4647,15446,1972512,174993737,1000000000,26424,0,0,0,268435456,16,3188,0,0,0,0,0,0,0,33477276268,1000000000,24415
29,418,254538,0,1899376,46435,111,4544.0,1365638,3352,11719,1884352,175202371,1000000000,32910,0,0,0,268435456,5,3189,0,0,0,0,0,0,0,30963931068,1000000000,23394
24,418,228761,0,2450557,32827,127,5862.6,1387058,12807,29338,2415594,176004097,1000000000,47150,0,0,0,268435456,32,3189,0,0,0,0,0,0,0,33477276268,1000000000,25529
38,418,227601,0,3382431,68264,137,8091.9,2244532,5722,40544,3337817,179776069,1000000000,80684,0,0,0,482653184,20,3245,0,0,0,0,0,0,0,46631496314,1000000000,36686
46,971,218399,0,5913067,25556,1097,6089.7,1371847,12638,70222,5834305,0,0,39656,0,0,0,419692544,21,8244,4005689,6553,498516787,434447,33028590407,0,33527107194,18257280963,460012429,18656
30,25,216929,0,184479,7831,6756,7379.2,24901,162,421,183863,7321220,2000000,1407,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,30935037,2000000,161
42,500,211845,0,10468874,46950,7796,20937.7,1006635,5422,171659,10293544,0,0,28615,0,0,0,503578624,3,8244,8981535,7292,389913709,433708,23174450676,0,23564364385,13245264382,460012429,9991
21,25,206659,0,239687,24595,6305,9587.5,28279,2338,7445,231481,5431699,500000,888,0,0,0,0,12,513599,0,0,0,0,0,0,0,0,0,0
28,25,205361,0,156525,6982,5778,6261.0,22710,151,473,155867,5861522,3000000,900,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,21409879,3000000,147
27,25,205301,0,164453,7356,5841,6578.1,26251,151,562,163714,5814322,3000000,663,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,87771820,3000000,207
25,25,205009,0,185063,8069,6756,7402.5,24890,151,457,184409,7258020,2000000,913,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,49830926,2000000,178
26,25,204180,0,156805,6837,5792,6272.2,21816,141,311,156336,5799161,3000000,598,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,59107636,3000000,165
36,418,204141,0,3445389,63372,151,8242.6,1464662,1476,2106,3440519,176004097,1000000000,37362,0,0,0,348435456,0,3202,0,0,0,0,0,0,0,33158321376,1000000000,25082
15,25,201548,0,246761,25540,6482,9870.4,33283,3395,6553,239429,5517782,500000,1045,0,0,0,0,12,308626,0,0,0,0,0,0,0,0,0,0
10,25,201466,0,321951,26413,5581,12878.0,39185,4606,10354,309011,5512982,500000,2315,0,0,0,0,15,259311,0,0,0,0,0,0,0,0,0,0
49,545,196783,0,5234808,26854,3433,9605.2,1160330,7493,184889,5046367,0,0,35313,0,0,0,486801408,8,8244,3711531,6342,445237235,434658,30549628870,0,30994866105,16567920374,460012429,12601
8,25,196477,0,229750,24162,5510,9190.0,26373,2416,5010,224128,5568496,2000000,968,0,0,0,0,13,426789,0,0,0,0,0,0,0,0,0,0
7,418,195106,0,3097151,25618,144,7409.5,1402597,56626,138709,2945482,175462043,1000000000,67572,0,0,0,268435456,161,3189,0,0,0,0,0,0,0,23521809614,1000000000,19762
52,971,194748,0,5410322,14703,1376,5571.9,1205747,4784,35615,5369446,0,0,28782,0,0,0,419692544,16,8243,4028449,6064,458409044,434936,33058632720,0,33517041764,16339469270,460012429,15473
22,25,192420,0,182267,8294,6312,7290.7,25574,125,301,181765,7247620,2000000,62,0,0,0,69206016,0,3143,0,0,0,0,0,0,0,42554771,2000000,202
23,25,191522,0,157818,7126,5788,6312.7,21753,107,186,157434,5851922,3000000,394,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,25820036,3000000,190
35,1000,189114,0,25429855,61547,6521,25429.9,2753331,22930,211668,25211054,0,0,90470,0,0,0,637665280,18,8243,19693276,7755,1056911908,433245,59131010281,0,60187922189,69516024056,1000000000,41030
57,1000,188245,0,11088057,29910,5585,11088.1,7480864,14219,332781,10740761,0,0,350098,0,0,0,1015590368,50,14461,2293933,12869,878271443,1012131,68725524433,0,69603795876,157972090941,1000000000,125189
20,25,187811,0,157110,6844,5646,6284.4,17465,118,234,156621,5502582,500000,136,0,0,0,0,0,308540,0,0,0,0,0,0,0,0,0,0
18,25,186069,0,156513,6856,5596,6260.5,19251,672,1414,154818,5556982,500000,101,0,0,0,0,1,110860,0,0,0,0,0,0,0,0,0,0
16,25,185360,0,151559,6913,5479,6062.4,17357,563,873,150435,5532182,500000,12,0,0,0,0,1,219713,0,0,0,0,0,0,0,0,0,0
9,25,181301,0,154326,7170,5579,6173.0,17622,402,628,153334,5558096,2000000,28,0,0,0,0,2,795508,0,0,0,0,0,0,0,0,0,0
11,2,181009,0,10753,5468,5285,5376.5,1922,82,110,10630,377170,5000,15,0,0,0,0,0,76240,0,0,0,0,0,0,0,0,0,0
13,2,180977,0,10630,5332,5298,5315.0,1866,52,69,10546,380502,5000,15,0,0,0,0,0,36573,0,0,0,0,0,0,0,0,0,0
60,1000,180436,0,10405128,23383,4085,10405.1,2724387,4997,14508,10385474,0,0,50728,0,0,0,616749184,0,11618,7205774,5514,498664681,435486,39283047759,0,39781712440,55912721578,1000000000,83369
19,1,180137,0,249,249,249,249.0,51,5,7,237,7678,731,0,0,0,0,0,0,6808,0,0,0,0,0,0,0,0,0,0
