stageId,accumulatorId,name,min,median,max,total
0,241,"number of output rows",1109300,2403838,2410100,1000000000
0,242,"scan time",158,1522,11347,677843
0,2424,"data size",153081680,331725425,332605488,137997820240
0,2443,"shuffle bytes written",66784272,144528547,144939918,60123921006
0,2444,"shuffle records written",1109300,2403838,2410100,1000000000
0,2445,"shuffle write time",76751181,2068933781,6397449454,860676496198
0,2446,"duration",160,3494,13912,1503646
0,2447,"number of output rows",1109300,2403838,2410100,1000000000
0,2448,"number of output rows",1109300,2403838,2410100,1000000000
0,2449,"number of input batches",271,587,589,244388
0,3996,"internal.metrics.executorDeserializeTime",1,1,1024,34576
0,3997,"internal.metrics.executorDeserializeCpuTime",1760547,39455496,645181856,16492439484
0,3998,"internal.metrics.executorRunTime",164,8569,18220,3626117
0,3999,"internal.metrics.executorCpuTime",48974915,5364559544,9610059579,2242385933377
0,4000,"internal.metrics.resultSize",2928,3135,3186,1313903
0,4001,"internal.metrics.jvmGCTime",10,54,874,74624
0,4002,"internal.metrics.resultSerializationTime",1,1,6,52
0,4005,"internal.metrics.peakExecutionMemory",32768,466390605,469762048,194951315456
0,4024,"internal.metrics.shuffle.write.bytesWritten",66784272,144528547,144939918,60123921006
0,4025,"internal.metrics.shuffle.write.recordsWritten",1109300,2403838,2410100,1000000000
0,4026,"internal.metrics.shuffle.write.writeTime",76751181,2068933781,6397449454,860676496198
0,4027,"internal.metrics.input.bytesRead",401015,425840,427037,178047943
0,4028,"internal.metrics.input.recordsRead",1109300,2403838,2410100,1000000000
1,272,"number of output rows",80000,80000,80000,2000000
1,273,"scan time",5833,6192,6452,154970
1,2453,"data size",6400000,6400000,6400000,160000000
1,2472,"shuffle bytes written",2554008,2560040,2562637,64001183
1,2473,"shuffle records written",80000,80000,80000,2000000
1,2474,"shuffle write time",5519935,6669307,8307833,166732839
1,2475,"duration",5888,6261,6542,156707
1,2476,"number of output rows",80000,80000,80000,2000000
1,2477,"number of output rows",80000,80000,80000,2000000
1,2478,"number of input batches",32,32,32,800
1,4031,"internal.metrics.executorDeserializeTime",1,1,45,201
1,4032,"internal.metrics.executorDeserializeCpuTime",1742761,4277482,11015687,106937199
1,4033,"internal.metrics.executorRunTime",6015,6405,6705,160268
1,4034,"internal.metrics.executorCpuTime",847027726,1032655635,1232222253,25816391047
1,4035,"internal.metrics.resultSize",3100,3122,3143,78231
1,4036,"internal.metrics.jvmGCTime",16,19,37,369
1,4040,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,4059,"internal.metrics.shuffle.write.bytesWritten",2554008,2560040,2562637,64001183
1,4060,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,4061,"internal.metrics.shuffle.write.writeTime",5519935,6669307,8307833,166732839
1,4062,"internal.metrics.input.bytesRead",220832,221075,221088,5526896
1,4063,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,303,"number of output rows",119985,119994,120014,3000000
2,304,"scan time",6368,6634,6983,166000
2,2482,"data size",8638920,8639995,8641008,216000000
2,2501,"shuffle bytes written",3508327,3510868,3513180,87771820
2,2502,"shuffle records written",119985,119994,120014,3000000
2,2503,"shuffle write time",6004963,7058325,9341046,176458195
2,2504,"duration",6435,6702,7048,167658
2,2505,"number of output rows",119985,119994,120014,3000000
2,2506,"number of output rows",119985,119994,120014,3000000
2,2507,"number of input batches",32,32,32,800
2,4066,"internal.metrics.executorDeserializeTime",1,1,22,177
2,4067,"internal.metrics.executorDeserializeCpuTime",1750831,3934141,8607957,98353662
2,4068,"internal.metrics.executorRunTime",6589,6854,7212,171476
2,4069,"internal.metrics.executorCpuTime",778285514,862205356,951033863,21555134016
2,4070,"internal.metrics.resultSize",3100,3100,3143,77715
2,4071,"internal.metrics.jvmGCTime",11,13,19,71
2,4075,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,4094,"internal.metrics.shuffle.write.bytesWritten",3508327,3510868,3513180,87771820
2,4095,"internal.metrics.shuffle.write.recordsWritten",119985,119994,120014,3000000
2,4096,"internal.metrics.shuffle.write.writeTime",6004963,7058325,9341046,176458195
2,4097,"internal.metrics.input.bytesRead",233236,233241,233248,5831122
2,4098,"internal.metrics.input.recordsRead",119985,119994,120014,3000000
3,833,"number of output rows",731,731,731,731
3,834,"scan time",212,212,212,212
3,2995,"duration",215,215,215,215
3,2996,"number of output rows",731,731,731,731
3,2997,"number of output rows",731,731,731,731
3,2998,"number of input batches",1,1,1,1
3,4101,"internal.metrics.executorDeserializeTime",136,136,136,136
3,4102,"internal.metrics.executorDeserializeCpuTime",117619735,117619735,117619735,117619735
3,4103,"internal.metrics.executorRunTime",238,238,238,238
3,4104,"internal.metrics.executorCpuTime",61886209,61886209,61886209,61886209
3,4105,"internal.metrics.resultSize",6693,6693,6693,6693
3,4132,"internal.metrics.input.bytesRead",7621,7621,7621,7621
3,4133,"internal.metrics.input.recordsRead",731,731,731,731
4,600,"number of output rows",2500,2500,2500,5000
4,601,"scan time",4568,4595,4622,9190
4,2785,"duration",4586,4611,4637,9223
4,2786,"number of output rows",2500,2500,2500,5000
4,2787,"number of output rows",2500,2500,2500,5000
4,2788,"number of input batches",25,25,25,50
4,4136,"internal.metrics.executorDeserializeTime",18,70,123,141
4,4137,"internal.metrics.executorDeserializeCpuTime",8029423,55835482,103641541,111670964
4,4138,"internal.metrics.executorRunTime",4602,4629,4656,9258
4,4139,"internal.metrics.executorCpuTime",481124185,484230988,487337792,968461977
4,4140,"internal.metrics.resultSize",15101,15236,15371,30472
4,4167,"internal.metrics.input.bytesRead",190848,190851,190854,381702
4,4168,"internal.metrics.input.recordsRead",2500,2500,2500,5000
5,811,"number of output rows",19983,19992,20012,500000
5,812,"scan time",5871,6081,6461,152183
5,2986,"duration",5897,6107,6487,152828
5,2987,"number of output rows",19983,19992,20012,500000
5,2988,"number of output rows",19983,19992,20012,500000
5,2989,"number of input batches",32,32,32,800
5,4171,"internal.metrics.executorDeserializeTime",1,40,226,1129
