SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Expr","sum",108,true,"384:185:279:118:91:108:490:437:94"
1,"Expr","isnotnull",98,true,"0:5:10:24:37:25:14:20:29:1:6:60:28:38:70:21:65:9:13:2:32:17:22:27:12:7:39:3:63:18:16:31:11:87:40:26:23:8:36:30:19:4:79:15"
1,"Exec","Project",80,true,"0:185:24:37:52:46:57:29:60:38:160:70:21:65:134:279:49:39:208:35:63:331:31:143:43:87:40:171:75:36:242:79:68:83"
1,"Expr","And",57,true,"0:5:24:37:25:29:38:21:9:13:32:22:27:12:39:18:16:31:11:40:23:8:36:30:19:4"
1,"Exec","Sort",56,true,"384:185:52:46:57:60:160:70:65:134:279:118:49:208:91:108:35:490:63:331:544:143:43:87:171:75:242:79:437:94:68:83"
1,"Exec","Exchange",53,true,"0:185:24:37:25:52:46:57:29:1:60:28:38:160:70:21:65:97:134:2:32:279:22:118:27:49:113:39:208:103:91:108:35:490:63:331:31:143:43:87:40:26:171:23:75:36:30:242:79:94:68:122:83"
1,"Exec","ColumnarToRow",38,false,"0:5:10:24:37:25:14:20:29:1:6:28:38:21:9:13:2:32:17:22:27:12:7:39:3:18:16:31:11:40:26:23:8:36:30:19:4:15"
1,"Exec","Filter",38,true,"0:5:10:24:37:25:14:20:29:1:6:28:38:21:9:13:2:32:17:22:27:12:7:39:3:18:16:31:11:40:26:23:8:36:30:19:4:15"
1,"Exec","BroadcastHashJoin",35,true,"37:57:60:38:70:65:39:63:87:40:75:36:79:68:83"
1,"Exec","Scan parquet",33,true,"0:10:24:37:25:20:29:1:6:28:38:21:9:2:32:17:22:27:12:7:39:3:18:16:31:40:26:23:8:36:30:4:15"
1,"Exec","SortMergeJoin",24,true,"185:52:46:57:60:160:70:65:134:279:49:208:35:63:331:143:43:87:171:75:242:79:68:83"
1,"Exec","AQEShuffleRead",22,true,"52:46:60:49:63:43:87:75:79:68:83"
1,"Exec","HashAggregate",20,true,"384:185:97:279:118:113:91:108:490:75:437:94:68:83"
1,"Expr","avg",20,true,"384:279:118:91:108:490:437:94"
1,"Exec","BroadcastExchange",18,true,"5:10:14:20:6:9:13:17:12:7:3:18:16:11:8:19:4:15"
1,"Expr","count",14,true,"384:185:279:118:91:108:490:437:94"
1,"Expr","LessThan",10,true,"0:24:37:29:38:21:39:31:40:36"
1,"Expr","isnull",6,true,"60:70:65:63:87:79"
1,"Expr","max",6,true,"384:91:490:437:94"
1,"Exec","Scan parquet",5,false,"5:14:13:11:19"
1,"Exec","AdaptiveSparkPlan",1,false,"544"
1,"Expr","EqualTo",1,true,"40"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"544"
1,"Exec","WriteFiles",1,true,"544"
