Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
13,6551,2183,false
6,143723,0,false
37,3707004,0,false
87,3494049,0,false
11,6327,2109,false
208,29506747,0,false
27,159227,0,false
94,14935176,0,false
25,180110,0,false
43,7658988,0,false
31,2038680,0,false
30,180364,0,false
7,143441,0,false
35,24486539,0,false
160,1900687,0,false
108,4709387,0,false
40,804730,0,false
17,22362,0,false
171,297468,0,false
10,148471,0,false
32,183168,0,false
279,17986076,0,false
4,148771,0,false
9,141495,0,false
437,21385,0,false
1,162040,0,false
331,15784025,0,false
21,3493234,0,false
38,2364938,0,false
28,152495,0,false
24,2688196,0,false
384,20524555,0,false
23,159681,0,false
8,144764,0,false
16,16446,0,false
544,9699032,0,false
12,252053,0,false
490,18704644,0,false
83,2745733,0,false
143,6135267,0,false
65,6924363,0,false
18,22449,0,false
5,236,78,false
3,154149,0,false
134,1989136,0,false
185,18048193,0,false
68,8201695,0,false
70,8763376,0,false
49,6210913,0,false
57,14914351,0,false
103,1761000,0,false
60,2017562,0,false
52,5758410,0,false
2,164420,0,false
91,5252793,0,false
29,2114225,0,false
46,9246744,0,false
75,3093113,0,false
97,11559099,0,false
113,1062331,0,false
36,5817387,0,false
20,24091,0,false
22,197312,0,false
0,3598314,0,false
14,6551,2183,false
15,314988,0,false
63,5234158,0,false
79,4501720,0,false
118,1760749,0,false
242,34531567,0,false
39,2803077,0,false
19,6781,2260,false
122,4940976,0,false
26,159193,0,false
