jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
31,418,284593,0,2038680,60188,187,4877.2,1240079,4399,18490,2003917,174993737,1000000000,20576,0,0,0,268435456,15,3189,0,0,0,0,0,0,0,33477276268,1000000000,24883
37,418,274222,0,2803077,61031,238,6705.9,2163248,2643,14886,2784774,179776069,1000000000,73165,0,0,0,482653184,4,3245,0,0,0,0,0,0,0,46631496314,1000000000,36064
29,418,270594,0,2114225,60473,138,5058.0,1322900,4066,17209,2093867,175202371,1000000000,24984,0,0,0,268435456,7,3188,0,0,0,0,0,0,0,30963931068,1000000000,24745
34,418,266983,0,5817387,73533,134,13917.2,1530346,12369,114732,5698426,177223091,1000000000,49299,0,0,0,332435456,31,3244,0,0,0,0,0,0,0,31001525256,1000000000,24450
36,418,261998,0,2364938,60856,130,5657.7,1762540,2717,13071,2348818,177765145,1000000000,44820,0,0,0,415544320,2,3243,0,0,0,0,0,0,0,39722604804,1000000000,30179
35,418,260121,0,3707004,64074,138,8868.4,1504424,5791,39826,3663806,176004097,1000000000,38660,0,0,0,348435456,13,3245,0,0,0,0,0,0,0,33158321376,1000000000,25403
24,418,251656,0,2688196,56606,139,6431.1,1317020,8466,43588,2639972,176004097,1000000000,29671,0,0,0,268435456,37,3188,0,0,0,0,0,0,0,33477276268,1000000000,25565
32,25,240730,0,183168,12006,6461,7326.7,20483,156,1117,181886,7331620,2000000,466,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,39765496,2000000,128
38,418,230599,0,804730,5191,176,1925.2,296047,1230,1623,798746,177375156,1000000000,20339,0,0,0,148157440,31,3245,0,0,0,0,0,0,0,783061134,17914436,3584
21,418,227945,0,3493234,47465,201,8357.0,1339012,34575,87909,3395998,175462043,1000000000,60985,0,0,0,268435456,142,3189,0,0,0,0,0,0,0,23521809614,1000000000,20387
30,25,225412,0,180364,8014,6658,7214.6,24038,159,341,179825,7321220,2000000,1629,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,30935037,2000000,160
39,500,218179,0,7658988,38863,3309,15318.0,997468,3992,312652,7342750,0,0,28715,0,0,0,503578624,0,8201,5963646,7574,402623142,433426,23161741243,0,23564364385,13245240232,460012429,9659
33,1000,213100,0,24486539,66006,4626,24486.5,2805050,35535,359378,24118433,0,0,85896,0,0,0,637665280,41,8244,17656376,8612,1173554468,432388,59014367721,0,60187922189,69516263803,1000000000,41940
40,971,210984,0,9246744,26511,3952,9522.9,1171048,7488,147575,9093966,0,0,29407,0,0,0,419692544,83,8243,7320042,6280,477961208,434720,33049145986,0,33527107194,18257249498,460012429,15164
28,25,210712,0,152495,6531,5525,6099.8,20323,119,233,152111,5861522,3000000,588,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,21409879,3000000,186
27,25,210390,0,159227,6751,5935,6369.1,23100,133,252,158821,5814322,3000000,729,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,87771820,3000000,209
25,25,209831,0,180110,7592,6655,7204.4,24462,175,491,179430,7258020,2000000,399,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,49830926,2000000,184
26,25,209429,0,159193,6743,5743,6367.7,21430,141,302,158715,5799161,3000000,455,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,59107636,3000000,175
42,971,208629,0,5758410,15122,1577,5930.4,1174719,4168,168076,5585220,0,0,26176,0,0,0,419692544,1,8243,4344184,5769,436932750,435231,33080109014,0,33517041764,16339412620,460012429,15233
48,1000,207572,0,8763376,29449,3348,8763.4,3289226,26924,148750,8604121,0,0,81572,0,0,0,661858048,53,11660,4686040,4745,500976220,436255,46189627730,0,46690603950,26917357495,1000000000,21105
41,545,201972,0,6210913,22552,5576,11396.2,1113033,2262,299151,5909214,0,0,27624,0,0,0,486801408,0,8201,4712300,5677,397437379,435323,30597428726,0,30994866105,16567825831,460012429,11747
49,334,195522,0,3093113,19614,5905,9260.8,857396,15640,238918,2850039,0,0,38300,0,0,0,662639872,49,15226,1381327,4952,123628358,520048,13147431910,0,13271060268,3392303480,98844707,4839
22,25,194706,0,197312,8806,6672,7892.5,31373,195,524,196507,7247620,2000000,1383,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,42554771,2000000,204
23,25,194254,0,159681,7331,5681,6387.2,25797,138,248,159255,5851922,3000000,847,0,0,0,69206016,0,3146,0,0,0,0,0,0,0,25820036,3000000,164
43,1000,193445,0,14914351,31630,5645,14914.4,6805431,13434,300824,14602336,0,0,282461,0,0,0,1015590368,15,14461,7011952,12640,861554990,1012360,68742480633,0,69604035623,157972372793,1000000000,123729
