sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",27514,"number of written files",1000,1000,1000,1000,"sum","544"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27515,"written output",15454853643,15454853643,15454853643,15454853643,"size","544"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27516,"number of output rows",66811334,66811334,66811334,66811334,"sum","544"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27517,"number of dynamic part",0,0,0,0,"sum","544"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27518,"task commit time",191,568,1759,790131,"timing","544"
1,1,"Execute InsertIntoHadoopFsRelationCommand",27519,"job commit time",20404,20404,20404,20404,"timing","544"
1,3,"WholeStageCodegen (140)",27520,"duration",1172,7029,12452,7269512,"timing","544"
1,4,"Sort",27521,"sort time",110,170,591,276825,"timing","544"
1,4,"Sort",27522,"peak memory",69206016,69206016,69206016,69206016000,"size","544"
1,4,"Sort",27523,"spill size",0,0,0,0,"size","544"
1,5,"Exchange",27371,"data size",1178840,53897280,182500544,53628046880,"size","490,544"
1,5,"Exchange",27372,"number of partitions",1000,1000,1000,1000,"sum","490,544"
1,5,"Exchange",27373,"remote blocks read",5,5,57,16491,"sum","490,544"
1,5,"Exchange",27374,"local blocks read",1,1,2,64,"sum","490,544"
1,5,"Exchange",27375,"remote bytes read",12212200,20065701,30624880,20065951533,"size","490,544"
1,5,"Exchange",27377,"local bytes read",41913,1311468,4371872,78688943,"size","490,544"
1,5,"Exchange",27378,"fetch wait time",0,0,0,0,"timing","490,544"
1,5,"Exchange",27379,"records read",54316,66563,82669,66811334,"sum","490,544"
1,5,"Exchange",27388,"remote reqs duration",531,1848,8432,2093628,"timing","490,544"
1,5,"Exchange",27390,"shuffle bytes written",551284,20245621,62639329,20144640476,"size","490,544"
1,5,"Exchange",27391,"shuffle records written",1439,66903,228018,66811334,"sum","490,544"
1,5,"Exchange",27392,"shuffle write time",507318,9882316,59215494,9833150967,"nsTiming","490,544"
1,6,"WholeStageCodegen (139)",27393,"duration",38,18592,77622,76639898,"timing","490,384,437"
1,7,"HashAggregate",27394,"number of output rows",1439,67064,228018,268143340,"sum","490,384,437"
1,7,"HashAggregate",27395,"peak memory",262144,96055486,276824064,384607191040,"size","490,384,437"
1,7,"HashAggregate",27397,"time in aggregation build",23,17854,77218,73031722,"timing","490,384,437"
1,7,"HashAggregate",27398,"avg hash probes per key",10,10,16,62408,"average","490,384,437"
1,8,"HashAggregate",27400,"number of output rows",1439,67064,228018,268143340,"sum","490,384,437"
1,8,"HashAggregate",27401,"peak memory",262144,81101499,209715200,324731404288,"size","490,384,437"
1,8,"HashAggregate",27403,"time in aggregation build",0,17552,76925,71716719,"timing","490,384,437"
1,8,"HashAggregate",27404,"avg hash probes per key",10,10,18,55951,"average","490,384,437"
1,9,"Sort",27406,"sort time",0,87,2037,1211976,"timing","490,384,437"
1,9,"Sort",27407,"peak memory",65536,820303584,3221225472,3282013519872,"size","490,384,437"
1,9,"Sort",27408,"spill size",0,57119458,3019898880,247497490432,"size","490,384,437"
1,10,"Exchange",27293,"data size",349894072,762409933,1495531040,762410186248,"size","331,490,384,437"
1,10,"Exchange",27294,"number of partitions",1000,1000,1000,1000,"sum","331,490,384,437"
1,10,"Exchange",27295,"remote blocks read",42,322,885,2082856,"sum","331,490,384,437"
1,10,"Exchange",27296,"local blocks read",1,1,5,8522,"sum","331,490,384,437"
1,10,"Exchange",27297,"remote bytes read",668956,143879080,621833164,573201304090,"size","331,490,384,437"
1,10,"Exchange",27299,"local bytes read",556,603208,25961536,2208010204,"size","331,490,384,437"
1,10,"Exchange",27300,"fetch wait time",0,312,2899,1054883,"timing","331,490,384,437"
1,10,"Exchange",27301,"records read",1870,1006423,5153083,4010574476,"sum","331,490,384,437"
1,10,"Exchange",27310,"remote reqs duration",3819,76485,213803,246983597,"timing","331,490,384,437"
1,10,"Exchange",27312,"shuffle bytes written",66672685,143483546,265383407,143483800351,"size","331,490,384,437"
1,10,"Exchange",27313,"shuffle records written",457424,999753,1984208,1000000000,"sum","331,490,384,437"
1,10,"Exchange",27314,"shuffle write time",31760219,130623868,2986042970,130624115777,"nsTiming","331,490,384,437"
1,11,"WholeStageCodegen (138)",27315,"duration",5334,12726,19718,12974401,"timing","331"
1,13,"SortMergeJoin",27316,"number of output rows",457424,999753,1984208,1000000000,"sum","331"
1,13,"SortMergeJoin",27317,"spill size",0,0,0,0,"size","331"
1,14,"WholeStageCodegen (136)",27319,"duration",5795,13142,20083,13387874,"timing","331"
1,15,"Sort",27320,"sort time",381,819,2282,1062327,"timing","331"
1,15,"Sort",27321,"peak memory",352321536,729976416,1409286144,729976668160,"size","331"
1,15,"Sort",27322,"spill size",0,0,0,0,"size","331"
1,16,"Exchange",27160,"data size",417019688,1110303707,4556671776,658410186248,"size","279,331"
1,16,"Exchange",27161,"number of partitions",1000,1000,1000,1000,"sum","279,331"
1,16,"Exchange",27162,"remote blocks read",589,589,593,590618,"sum","279,331"
1,16,"Exchange",27163,"local blocks read",1,1,4,2382,"sum","279,331"
1,16,"Exchange",27164,"remote bytes read",79783082,170019526,309639233,170019771553,"size","279,331"
1,16,"Exchange",27166,"local bytes read",7211,714466,5044862,691832034,"size","279,331"
1,16,"Exchange",27167,"fetch wait time",0,2418,6349,2662211,"timing","279,331"
1,16,"Exchange",27168,"records read",457424,999753,1984208,1000000000,"sum","279,331"
1,16,"Exchange",27177,"remote reqs duration",6942,141375,204799,141628449,"timing","279,331"
1,16,"Exchange",27179,"shuffle bytes written",108379030,287877767,1181756940,170711603587,"size","279,331"
1,16,"Exchange",27180,"shuffle records written",638021,1686195,6917768,1000000000,"sum","279,331"
1,16,"Exchange",27181,"shuffle write time",50015014,210533705,4569940036,124846577306,"nsTiming","279,331"
1,17,"WholeStageCodegen (135)",27182,"duration",5,14884,49105,15103791,"timing","279"
1,19,"SortMergeJoin",27183,"number of output rows",638021,1686195,6917768,1000000000,"sum","279"
1,19,"SortMergeJoin",27184,"spill size",0,0,0,0,"size","279"
