sqlID,jobID,stageId,stageAttemptId,Stage Duration,SQL Nodes(IDs)
1,31,31,0,284549,"Exchange(486),Filter(489),ColumnarToRow(490),WholeStageCodegen (45)(487),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(491)"
1,37,39,0,274177,"Exchange(383),BroadcastHashJoin(386),Filter(388),ColumnarToRow(389),WholeStageCodegen (62)(384),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(390)"
1,29,29,0,270550,"Exchange(431),Filter(434),ColumnarToRow(435),WholeStageCodegen (39)(432),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(436)"
1,34,36,0,266938,"Exchange(294),BroadcastHashJoin(297),Filter(299),ColumnarToRow(300),WholeStageCodegen (59)(295),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(301)"
1,36,38,0,261951,"Exchange(345),BroadcastHashJoin(348),Filter(350),ColumnarToRow(351),WholeStageCodegen (61)(346),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(352)"
1,35,37,0,260076,"Exchange(247),BroadcastHashJoin(250),Filter(252),ColumnarToRow(253),WholeStageCodegen (60)(248),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(254)"
1,24,24,0,251605,"Exchange(193),Filter(196),ColumnarToRow(197),WholeStageCodegen (13)(194),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(198)"
1,32,32,0,240726,"Exchange(495),Filter(497),ColumnarToRow(498),WholeStageCodegen (46)(496),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(499)"
1,38,40,0,230555,"Exchange(527),BroadcastHashJoin(530),Filter(532),ColumnarToRow(533),WholeStageCodegen (63)(528),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(534)"
1,21,21,0,227899,"Exchange(127),Filter(130),ColumnarToRow(131),WholeStageCodegen (7)(128),Scan parquet spark_catalog.demo_pauldefusco.trs_v26(132)"
1,30,30,0,225407,"Exchange(440),Filter(442),ColumnarToRow(443),WholeStageCodegen (40)(441),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(444)"
1,39,43,0,218128,"Exchange(120),SortMergeJoin(123),WholeStageCodegen (66)(121),Sort(125),Exchange(127),Sort(134),WholeStageCodegen (65)(133),Exchange(136)"
1,33,35,0,212981,"Exchange(49),SortMergeJoin(52),WholeStageCodegen (58)(50),Sort(54),WholeStageCodegen (56)(53),Exchange(55),Sort(62),WholeStageCodegen (57)(61),Exchange(63)"
1,40,46,0,210889,"Exchange(186),SortMergeJoin(189),WholeStageCodegen (69)(187),Sort(191),Exchange(193),Sort(200),WholeStageCodegen (68)(199),Exchange(202)"
1,28,28,0,210709,"Exchange(310),Filter(312),ColumnarToRow(313),WholeStageCodegen (25)(311),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(314)"
1,27,27,0,210386,"Exchange(263),Filter(265),ColumnarToRow(266),WholeStageCodegen (20)(264),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(267)"
1,25,25,0,209827,"Exchange(202),Filter(204),ColumnarToRow(205),WholeStageCodegen (14)(203),Scan parquet spark_catalog.demo_pauldefusco.customers_skewed(206)"
1,26,26,0,209425,"Exchange(210),Filter(212),ColumnarToRow(213),WholeStageCodegen (15)(211),Scan parquet spark_catalog.demo_pauldefusco.accounts_skewed(214)"
1,42,52,0,208536,"Exchange(479),SortMergeJoin(482),WholeStageCodegen (75)(480),Sort(484),Exchange(486),Sort(493),WholeStageCodegen (74)(492),Exchange(495)"
