stageId,accumulatorId,name,min,median,max,total
0,241,"number of output rows",1109300,2403838,2410100,1000000000
0,242,"scan time",121,1468,7155,661174
0,2424,"data size",153081680,331725423,332605488,137997820240
0,2443,"shuffle bytes written",66784272,144528549,144939918,60123921006
0,2444,"shuffle records written",1109300,2403838,2410100,1000000000
0,2445,"shuffle write time",73318613,1965908152,6764191797,817817832704
0,2446,"duration",123,3463,10796,1491585
0,2447,"number of output rows",1109300,2403838,2410100,1000000000
0,2448,"number of output rows",1109300,2403838,2410100,1000000000
0,2449,"number of input batches",271,587,589,244388
0,3996,"internal.metrics.executorDeserializeTime",1,1,1129,33953
0,3997,"internal.metrics.executorDeserializeCpuTime",1739283,40165560,687145906,16789247756
0,3998,"internal.metrics.executorRunTime",128,8411,15314,3557950
0,3999,"internal.metrics.executorCpuTime",47915754,5347689699,9949482527,2235334335489
0,4000,"internal.metrics.resultSize",2928,3138,3186,1313774
0,4001,"internal.metrics.jvmGCTime",18,60,870,76154
0,4002,"internal.metrics.resultSerializationTime",2,2,6,32
0,4005,"internal.metrics.peakExecutionMemory",32768,466390606,469762048,194951315456
0,4024,"internal.metrics.shuffle.write.bytesWritten",66784272,144528549,144939918,60123921006
0,4025,"internal.metrics.shuffle.write.recordsWritten",1109300,2403838,2410100,1000000000
0,4026,"internal.metrics.shuffle.write.writeTime",73318613,1965908152,6764191797,817817832704
0,4027,"internal.metrics.input.bytesRead",401015,425841,427037,178047943
0,4028,"internal.metrics.input.recordsRead",1109300,2403838,2410100,1000000000
1,272,"number of output rows",80000,80000,80000,2000000
1,273,"scan time",5915,6253,6710,156474
1,2453,"data size",6400000,6400000,6400000,160000000
1,2472,"shuffle bytes written",2554008,2560042,2562637,64001183
1,2473,"shuffle records written",80000,80000,80000,2000000
1,2474,"shuffle write time",5536006,6517245,8214031,162931289
1,2475,"duration",5979,6321,6796,158177
1,2476,"number of output rows",80000,80000,80000,2000000
1,2477,"number of output rows",80000,80000,80000,2000000
1,2478,"number of input batches",32,32,32,800
1,4031,"internal.metrics.executorDeserializeTime",1,2,44,254
1,4032,"internal.metrics.executorDeserializeCpuTime",1743280,4579014,12422771,114475472
1,4033,"internal.metrics.executorRunTime",6096,6458,6951,161627
1,4034,"internal.metrics.executorCpuTime",847937074,1010424776,1198141402,25260619569
1,4035,"internal.metrics.resultSize",3100,3116,3143,78016
1,4036,"internal.metrics.jvmGCTime",14,18,34,245
1,4040,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,4059,"internal.metrics.shuffle.write.bytesWritten",2554008,2560042,2562637,64001183
1,4060,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,4061,"internal.metrics.shuffle.write.writeTime",5536006,6517245,8214031,162931289
1,4062,"internal.metrics.input.bytesRead",220832,221075,221088,5526896
1,4063,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,303,"number of output rows",119985,119994,120014,3000000
2,304,"scan time",5970,6330,6908,158377
2,2482,"data size",8638920,8639994,8641008,216000000
2,2501,"shuffle bytes written",3508327,3510867,3513180,87771820
2,2502,"shuffle records written",119985,119994,120014,3000000
2,2503,"shuffle write time",6051373,7374668,9208072,184366841
2,2504,"duration",6033,6397,6971,160075
2,2505,"number of output rows",119985,119994,120014,3000000
2,2506,"number of output rows",119985,119994,120014,3000000
2,2507,"number of input batches",32,32,32,800
2,4066,"internal.metrics.executorDeserializeTime",1,1,42,199
2,4067,"internal.metrics.executorDeserializeCpuTime",1751912,3948391,9515934,98709898
2,4068,"internal.metrics.executorRunTime",6188,6556,7104,164066
2,4069,"internal.metrics.executorCpuTime",779874152,879828648,1008584847,21995716331
2,4070,"internal.metrics.resultSize",3100,3101,3143,77715
2,4071,"internal.metrics.jvmGCTime",14,14,16,72
2,4075,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,4094,"internal.metrics.shuffle.write.bytesWritten",3508327,3510867,3513180,87771820
2,4095,"internal.metrics.shuffle.write.recordsWritten",119985,119994,120014,3000000
2,4096,"internal.metrics.shuffle.write.writeTime",6051373,7374668,9208072,184366841
2,4097,"internal.metrics.input.bytesRead",233236,233240,233248,5831122
2,4098,"internal.metrics.input.recordsRead",119985,119994,120014,3000000
3,314,"number of output rows",19983,19993,20012,500000
3,315,"scan time",5762,6057,6650,151598
3,2513,"duration",5790,6089,6681,152355
3,2514,"number of output rows",19983,19993,20012,500000
3,2515,"number of output rows",19983,19993,20012,500000
3,2516,"number of input batches",32,32,32,800
3,4101,"internal.metrics.executorDeserializeTime",1,49,231,1381
3,4102,"internal.metrics.executorDeserializeCpuTime",1556463,42383805,138713812,1059595242
3,4103,"internal.metrics.executorRunTime",5791,6096,6709,152541
3,4104,"internal.metrics.executorCpuTime",529524963,582248390,677322189,14556209891
3,4105,"internal.metrics.resultSize",299871,304279,308583,7607092
3,4106,"internal.metrics.jvmGCTime",14,14,16,76
3,4107,"internal.metrics.resultSerializationTime",1,1,1,8
3,4132,"internal.metrics.input.bytesRead",220530,220705,221055,5517782
3,4133,"internal.metrics.input.recordsRead",19983,19993,20012,500000
4,1208,"number of output rows",19983,19993,20012,500000
4,1209,"scan time",5513,5896,6537,147576
4,3315,"duration",5540,5926,6567,148273
4,3316,"number of output rows",19983,19993,20012,500000
4,3317,"number of output rows",19983,19993,20012,500000
4,3318,"number of input batches",32,32,32,800
4,4136,"internal.metrics.executorDeserializeTime",1,1,18,114
4,4137,"internal.metrics.executorDeserializeCpuTime",1473556,2878991,7442682,71974950
4,4138,"internal.metrics.executorRunTime",5541,5931,6584,148448
4,4139,"internal.metrics.executorCpuTime",493333379,541760032,609418040,13544000934
4,4140,"internal.metrics.resultSize",299871,304263,308540,7606705
4,4141,"internal.metrics.jvmGCTime",16,19,25,80
4,4167,"internal.metrics.input.bytesRead",219922,220097,220447,5502582
4,4168,"internal.metrics.input.recordsRead",19983,19993,20012,500000
5,611,"number of output rows",731,731,731,731
5,612,"scan time",206,206,206,206
5,2794,"duration",207,207,207,207
5,2795,"number of output rows",731,731,731,731
5,2796,"number of output rows",731,731,731,731
5,2797,"number of input batches",1,1,1,1
5,4171,"internal.metrics.executorDeserializeTime",8,8,8,8
5,4172,"internal.metrics.executorDeserializeCpuTime",4375767,4375767,4375767,4375767
5,4173,"internal.metrics.executorRunTime",222,222,222,222
5,4174,"internal.metrics.executorCpuTime",45397600,45397600,45397600,45397600
5,4175,"internal.metrics.resultSize",5667,5667,5667,5667
5,4202,"internal.metrics.input.bytesRead",7680,7680,7680,7680
5,4203,"internal.metrics.input.recordsRead",731,731,731,731
6,1166,"number of output rows",80000,80000,80000,2000000
6,1167,"scan time",5414,5697,6147,142568
6,3277,"duration",5437,5722,6175,143218
6,3278,"number of output rows",80000,80000,80000,2000000
6,3279,"number of output rows",80000,80000,80000,2000000
6,3280,"number of input batches",32,32,32,800
6,4206,"internal.metrics.executorDeserializeTime",1,1,15,118
6,4207,"internal.metrics.executorDeserializeCpuTime",1501179,2950996,6750442,73775032
6,4208,"internal.metrics.executorRunTime",5438,5728,6189,143357
6,4209,"internal.metrics.executorCpuTime",466735917,496298621,532310133,12407465707
6,4210,"internal.metrics.resultSize",423142,425218,426789,10630639
6,4211,"internal.metrics.jvmGCTime",16,20,27,274
6,4237,"internal.metrics.input.bytesRead",222496,222739,222752,5568496
6,4238,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
7,944,"number of output rows",80000,80000,80000,2000000
7,945,"scan time",5412,5679,6209,142114
7,3098,"duration",5440,5707,6239,142847
7,3099,"number of output rows",80000,80000,80000,2000000
7,3100,"number of output rows",80000,80000,80000,2000000
7,3101,"number of input batches",32,32,32,800
7,4241,"internal.metrics.executorDeserializeTime",1,1,13,102
7,4242,"internal.metrics.executorDeserializeCpuTime",1542076,2908982,7460881,72724725
