SQL ID,Stage ID,ExecId,Unsupported Type,Unsupported Operator,Details,Stage Duration,App Duration,Action
0,-1,0,Exec,"Execute CreateDataSourceTableAsSelectCommand","Unsupported",0,2320500,IgnorePerf
1,547,1,Exec,"AdaptiveSparkPlan","Unsupported",10415,2320500,IgnoreNoPerf
1,69,2,Exec,"ColumnarToRow","Unsupported",56400,2320500,IgnoreNoPerf
1,0,2,Exec,"ColumnarToRow","Unsupported",295898,2320500,IgnoreNoPerf
1,38,2,Exec,"ColumnarToRow","Unsupported",71591,2320500,IgnoreNoPerf
1,256,2,Exec,"ColumnarToRow","Unsupported",38212,2320500,IgnoreNoPerf
1,162,2,Exec,"ColumnarToRow","Unsupported",9992,2320500,IgnoreNoPerf
1,1,3,Exec,"ColumnarToRow","Unsupported",263622,2320500,IgnoreNoPerf
1,39,3,Exec,"ColumnarToRow","Unsupported",24977,2320500,IgnoreNoPerf
1,16,4,Exec,"ColumnarToRow","Unsupported",291733,2320500,IgnoreNoPerf
1,72,4,Exec,"ColumnarToRow","Unsupported",138223,2320500,IgnoreNoPerf
1,20,5,Exec,"ColumnarToRow","Unsupported",294984,2320500,IgnoreNoPerf
1,10,6,Exec,"ColumnarToRow","Unsupported",274308,2320500,IgnoreNoPerf
1,6,7,Exec,"ColumnarToRow","Unsupported",270120,2320500,IgnoreNoPerf
1,6,8,ReadExec,"Scan parquet","Unsupported IO format",270120,2320500,Triage
1,173,9,Exec,"ColumnarToRow","Unsupported",10966,2320500,IgnoreNoPerf
1,41,9,Exec,"ColumnarToRow","Unsupported",42874,2320500,IgnoreNoPerf
1,64,9,Exec,"ColumnarToRow","Unsupported",164993,2320500,IgnoreNoPerf
1,21,9,Exec,"ColumnarToRow","Unsupported",393163,2320500,IgnoreNoPerf
1,22,10,Exec,"ColumnarToRow","Unsupported",362567,2320500,IgnoreNoPerf
1,42,10,Exec,"ColumnarToRow","Unsupported",47205,2320500,IgnoreNoPerf
1,23,11,Exec,"ColumnarToRow","Unsupported",342386,2320500,IgnoreNoPerf
1,175,11,Exec,"ColumnarToRow","Unsupported",6367,2320500,IgnoreNoPerf
1,66,11,Exec,"ColumnarToRow","Unsupported",39238,2320500,IgnoreNoPerf
