executorId,time,reason
"1",1789114762407,"\nThe executor with id 1 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: docker.io/cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:28Z\n\t container finished at: 2026-09-11T08:19:21Z\n\t exit code: 137\n\t termination reason: Error\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"10",1789114982883,"\nThe executor with id 10 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"11",1789114981860,"\nThe executor with id 11 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: docker.io/cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:32Z\n\t container finished at: 2026-09-11T08:22:57Z\n\t exit code: 137\n\t termination reason: Error\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:32Z\n\t container finished at: 2026-09-11T08:22:53Z\n\t exit code: 137\n\t termination reason: Error\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:31Z\n\t container finished at: 2026-09-11T08:22:51Z\n\t exit code: 0\n\t termination reason: Completed\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:32Z\n\t container finished at: 2026-09-11T08:22:51Z\n\t exit code: 2\n\t termination reason: Error\n"
"12",1789114878599,"\nThe executor with id 12 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: docker.io/cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:32Z\n\t container finished at: 2026-09-11T08:21:17Z\n\t exit code: 137\n\t termination reason: Error\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"13",1789114815498,"\nThe executor with id 13 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"14",1789114918654,"\nThe executor with id 14 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: docker.io/cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: terminated\n\t container started at: 2026-09-11T08:11:33Z\n\t container finished at: 2026-09-11T08:21:57Z\n\t exit code: 137\n\t termination reason: Error\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"15",1789115184954,"\nThe executor with id 15 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"16",1789114945848,"\nThe executor with id 16 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"17",1789114873570,"\nThe executor with id 17 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
"18",1789115558208,"\nThe executor with id 18 exited with exit code -1(unexpected).\nThe API gave the following brief reason: Evicted\nThe API gave the following message: Pod ephemeral local storage usage exceeds the total limit of containers 30Gi. \n\nThe API gave the following container statuses:\n\n\n\t container name: engine\n\t container image: cldrjkovacs/ml-runtime-vscode-python3.11-standard-community:1.4.136.1\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: eventlog-reader\n\t container image: container.repository.cloudera.com/cloudera/cdsw/eventlog-reader:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: kinit\n\t container image: container.repository.cloudera.com/cloudera/thunderhead-tgtloader:1.0.4-b1040\n\t container state: waiting\n\t pending reason: PodInitializing\n\n\n\t container name: ssh\n\t container image: container.repository.cloudera.com/cloudera/cdsw/ssh:2.0.58-h2000-b10\n\t container state: waiting\n\t pending reason: PodInitializing\n"
