stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
118,0,40912,0,9.46,3.2,198.76,51.34,960.53,true,"Success"
118,0,40921,0,6.49,3.2,165.67,51.34,896.53,true,"Success"
118,0,40930,0,12.43,3.2,436.17,51.34,1856.53,true,"Success"
118,0,40943,0,37.07,3.2,808.42,51.34,2048.53,true,"Success"
118,0,40947,0,9.13,3.2,165.63,51.34,896.53,true,"Success"
118,0,40954,0,11.56,3.2,278.75,51.34,1344.53,true,"Success"
118,0,40964,0,15.14,3.2,497.39,51.34,1920.53,true,"Success"
118,0,40989,0,9.55,3.2,192.74,51.34,960.53,true,"Success"
118,0,40993,0,28.91,3.2,649.64,51.34,2048.53,true,"Success"
118,0,40996,0,10.04,3.2,193.13,51.34,960.53,true,"Success"
118,0,41012,0,11.04,3.2,313.98,51.34,1472.53,true,"Success"
118,0,41017,0,7.02,3.2,198.97,51.34,960.53,true,"Success"
118,0,41020,0,9.16,3.2,192.34,51.34,960.53,true,"Success"
118,0,41021,0,34.28,3.2,645.05,51.34,2048.53,true,"Success"
118,0,41023,0,11.40,3.2,198.53,51.34,960.53,true,"Success"
118,0,41050,0,34.15,3.2,634.46,51.34,2048.53,true,"Success"
118,0,41052,0,10.02,3.2,335.52,51.34,1536.53,true,"Success"
118,0,41067,0,10.47,3.2,198.55,51.34,960.53,true,"Success"
118,0,41073,0,14.28,3.2,388.26,51.34,1600.53,true,"Success"
118,0,41099,0,10.69,3.2,263.99,51.34,1088.53,true,"Success"
118,0,41118,0,10.35,3.2,216.31,51.34,1024.53,true,"Success"
118,0,41126,0,13.88,3.2,449.85,51.34,1856.53,true,"Success"
118,0,41131,0,11.39,3.2,397.73,51.34,1664.53,true,"Success"
118,0,41140,0,9.33,3.2,286.32,51.34,1280.53,true,"Success"
118,0,41147,0,12.44,3.2,450.88,51.34,1856.53,true,"Success"
118,0,41150,0,14.67,3.2,507.44,51.34,1920.53,true,"Success"
118,0,41164,0,9.24,3.2,198.60,51.34,960.53,true,"Success"
118,0,41172,0,7.44,3.2,192.57,51.34,960.53,true,"Success"
118,0,41173,0,10.82,3.2,435.98,51.34,1856.53,true,"Success"
118,0,41177,0,12.47,3.2,328.50,51.34,1408.53,true,"Success"
118,0,41185,0,7.41,3.2,192.21,51.34,960.53,true,"Success"
118,0,41208,0,11.60,3.2,335.32,51.34,1536.53,true,"Success"
118,0,41230,0,11.33,3.2,324.36,51.34,1472.53,true,"Success"
118,0,41232,0,31.68,3.2,590.97,51.34,1984.53,true,"Success"
118,0,41240,0,7.96,3.2,157.99,51.34,832.53,true,"Success"
