stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
31,2225,729620,0,11465692,70241,137,6151.550000000001,4775469,29974,258471,10316865,2012031582,4706809700,102825,0,0,0,402653184,71,3189,0,0,0,0,0,0,0,157568926872,4706809700,105804
35,1560,568560,0,23645044,258092,159,15157.1,5628676,88284,1950800,20398631,1341027673,3104935100,257038,0,0,0,683979776,183,3245,0,0,0,0,0,0,0,144786469948,3104935100,95519
29,1496,563673,0,6506156,72872,131,4349.0,3113744,10694,85753,5670012,1300972875,3041430600,49940,0,0,0,402653184,20,3188,0,0,0,0,0,0,0,94172482686,3041430600,66474
32,28,509995,0,309098,26058,6127,11039.2,14227,73,134,290292,7331620,2000000,839,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,39759609,2000000,123
40,1033,474114,0,15005422,39491,11,22618.3,8435047,28597,65770,14776251,0,0,857514,0,0,0,1342308352,54,8244,4917812,4315,611932150,1065173,150951685683,0,151563617833,168081181341,2519790704,124852
30,25,454224,0,175306,12045,6344,7012.2,12584,77,168,175031,7321220,2000000,830,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,30938651,2000000,118
34,2053,448122,0,19181306,84408,136,9343.1,5254381,70088,615860,16498203,1588169247,3689747500,185463,0,0,0,549762048,162,3245,0,0,0,0,0,0,0,146564906899,3689747500,97584
37,1116,447356,0,9291639,59324,143,8325.8,3419648,39553,311436,8808009,1111567018,2586763600,125998,0,0,0,466653184,93,3245,0,0,0,0,0,0,0,80191371947,2586763600,57250
33,2298,446584,0,13846915,84971,128,6025.6,4515876,38054,297655,11264477,1711929488,3992578200,117852,0,0,0,482653184,86,3245,0,0,0,0,0,0,0,132385453431,3992578200,88825
36,1178,443606,0,9714236,67511,132,8246.4,993012,53296,486463,9059336,1140892455,2654246400,79268,0,0,0,149206016,374,3245,0,0,0,0,0,0,0,2077428568,47542293,7230
24,1044,437402,0,3574586,69391,128,3423.9,2344625,3390,13621,3555945,1071509311,2500000000,31178,0,0,0,402653184,4,3186,0,0,0,0,0,0,0,83691923549,2500000000,52809
46,1019,424020,0,14389384,145039,10,5040.825,3045206,9761,22570,13749921,0,0,150632,0,0,0,637665280,33,8244,10294117,4136,324315720,1058986,83575392541,0,83899708261,41656915175,1152045733,31604
28,25,415973,0,198938,21848,5524,7957.5,11387,73,133,198682,5861590,3000000,604,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,21416685,3000000,109
25,25,411407,0,189462,23040,6383,7578.5,13008,79,199,189146,7258020,2000000,380,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,49833972,2000000,136
26,25,410939,0,198053,22229,5645,7922.1,11377,72,144,197793,5799195,3000000,224,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,59104602,3000000,149
27,25,406793,0,163451,17045,5691,6538.0,14967,95,209,163056,5814390,3000000,284,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,87766348,3000000,171
