Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
2,288771,0,false
20,1213034,0,false
78,468413,0,false
8,26678701,0,false
5,340,113,false
13,5243587,0,false
40,2816973,0,false
92,933590,0,false
65,640779,0,false
3,266863,0,false
4,23245,0,false
52,1969677,0,false
0,7248146,0,false
1,234122,0,false
29,634039,0,false
93,22002948,0,false
95,399899,0,false
106,3300927,0,false
113,1076792,0,false
158,41,0,false
97,57006,0,false
145,77663,0,false
133,646310,0,false
96,370089,0,false
94,339652,0,false
122,501970,0,false
101,10198751,0,false
98,287,95,false
