stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
3,25,220527,0,266863,18126,6596,10674.5,17164,122,270,266441,5547407,500000,236,0,0,0,67633152,0,2941,0,0,0,0,0,0,0,12149531,500000,89
2,25,219302,0,288771,17417,7058,11550.8,19514,146,392,288240,5861590,3000000,326,0,0,0,69206016,0,2941,0,0,0,0,0,0,0,23515992,3000000,97
1,25,218159,0,234122,17535,6229,9364.9,20268,173,512,233396,5505296,2000000,537,0,0,0,69206016,7,2983,0,0,0,0,0,0,0,19904227,2000000,100
4,2,216484,0,23245,13400,9845,11622.5,1158,9,20,23213,381102,5000,18,0,0,0,67174400,0,2940,0,0,0,0,0,0,0,243848,5000,5
0,1044,214818,0,7248146,38689,154,6942.7,2986812,49478,181994,7042348,1076033199,2500000000,202151,0,0,0,402653184,138,2984,0,0,0,0,0,0,0,83812106870,2500000000,68463
5,1,203910,0,340,340,340,340.0,134,7,12,323,7737,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,47807,731,2
8,800,171751,0,26678701,159083,10773,33348.4,2544785,88070,1138491,25521480,0,0,220876,0,0,0,704774144,104,8039,17183291,14631,1436367232,834169,82395643865,0,83832011097,37309254857,1150017784,24390
92,28,56733,0,933590,56684,13163,33342.5,73715,1925,16676,916550,0,0,3666,0,4495184,136673,67633152,79,28156,0,1136,283558,118002,29393995,0,29677553,0,0,0
93,1044,50166,0,22002948,50139,199,21075.6,3667554,118259,293988,21657247,1074108889,2500000000,323002,0,0,0,335544320,271,2985,0,0,0,0,0,0,0,80800839341,2500000000,59366
40,365,27005,83808376,2816973,23784,2126,7717.7,1708627,16633,404238,2405091,0,0,131707,1744896000,0,0,2483093504,0,23128,1297,1503,132818975,127617,11119207262,0,11252026237,20931494377,422287417,17744
96,400,23181,0,370089,11667,386,925.2,36226,740,795,367476,5547407,500000,14341,0,0,0,67141632,37,2983,0,0,0,0,0,0,0,36026534,500000,962
95,400,21152,0,399899,9727,396,999.7,44224,770,3339,394847,5861590,3000000,2181,0,0,0,67239936,9,2984,0,0,0,0,0,0,0,59758757,3000000,1282
97,50,21090,0,57006,8167,183,1140.1,2083,136,209,56518,381102,5000,90,0,0,0,67141632,11,2984,0,0,0,0,0,0,0,508484,5000,18
101,800,20445,0,10198751,20434,4278,12748.4,2947947,17169,105770,10059117,0,0,295029,0,0,0,637665280,1,8040,2954125,6830,471847886,1141342,80380672445,0,80852520331,32924454651,1150017784,23808
94,400,19983,0,339652,10526,398,849.1,49362,824,837,337031,5505296,2000000,3379,0,0,0,67239936,0,2942,0,0,0,0,0,0,0,51680990,2000000,1361
13,800,17312,0,5243587,17293,2539,6554.5,1262838,25970,148022,5075966,0,0,70108,0,0,0,344064000,84,11679,2815424,8072,459450170,651928,36873320679,0,37332770849,7641949379,247163783,11453
98,1,13259,0,287,287,287,287.0,96,3,6,278,7737,731,0,0,0,0,67141632,0,2898,0,0,0,0,0,0,0,47807,731,1
52,400,11743,0,1969677,9668,2145,4924.2,1250620,30422,183508,1769389,0,0,84062,0,0,0,371458048,64,25046,307,3016,215830679,288984,20715663698,0,20931494377,1704775224,27115334,2996
29,268,10205,0,634039,6433,540,2365.8,503925,2663,5758,623295,0,0,16440,0,0,0,1342242816,0,18916,2241,4080,96642840,346543,8148058878,0,8244701718,11251978430,247163783,6570
20,438,7280,0,1213034,7260,869,2769.5,638317,5665,320630,883766,0,0,38301,0,0,0,318832640,5,15318,42,7995,93065413,652005,7561033497,0,7654098910,8244457870,247163783,8023
65,649,6835,0,640779,6821,99,987.3,159174,52920,302594,319686,0,0,14311,0,0,0,67371008,339,37690,8725,3224,17148262,316776,1687626962,0,1704775224,0,0,0
133,480,6163,0,646310,2842,397,1346.5,454485,9835,25177,607736,0,0,9111,0,0,0,604831744,0,22987,50309,1143,41175869,213417,7399150049,0,7440325918,214707438,2989277,1719
122,446,5433,0,501970,4996,144,1125.5,451669,3035,5605,491891,0,0,12062,0,0,0,1208025088,0,18917,1226,4241,32843665,636471,5619661894,0,5652505559,7440278111,247163783,5773
106,800,5415,0,3300927,5400,1385,4126.2,1288034,6433,39006,3223965,0,0,73134,0,0,0,344064000,98,11679,1391823,5638,187440531,954345,32796772877,0,32984213408,5669018119,247163783,6817
113,798,2209,0,1076792,1912,443,1349.4,740321,8128,48590,998349,0,0,32723,0,0,0,251723776,105,15320,10507,5129,32200366,887800,5672844287,0,5705044653,5651997075,247163783,7957
78,649,1324,0,468413,1214,125,721.7,111950,17230,46736,401834,0,0,6952,0,0,0,134512640,49,26668,237158,3156,16840672,316844,1687934552,0,1704775224,29677553,136673,826
145,199,540,0,77663,521,275,390.3,50452,4785,12610,61769,0,0,618,0,0,0,67371008,0,24142,0,2133,1206932,380603,213500506,0,214707438,14925,199,3264
158,1,44,0,41,41,41,41.0,22,7,12,24,0,0,0,0,0,0,0,0,3995,0,1,75,198,14850,0,14925,0,0,0
