stageId,accumulatorId,name,min,median,max,total
0,242,"number of output rows",2410100,2412962,3978300,2500000000
0,243,"scan time",122,3829,31015,4248928
0,614,"data size",154246400,154439962,254611200,160000000000
0,633,"shuffle bytes written",80785879,80899451,133236120,83812106870
0,634,"shuffle records written",2410100,2412962,3978300,2500000000
0,635,"shuffle write time",38774142,66084093,471108143,68463386511
0,636,"duration",123,4664,34198,5139430
0,637,"number of output rows",2410100,2412962,3978300,2500000000
0,638,"number of output rows",2410100,2412962,3978300,2500000000
0,639,"number of input batches",589,589,972,610970
0,785,"internal.metrics.executorDeserializeTime",1,26,5159,181994
0,786,"internal.metrics.executorDeserializeCpuTime",1145445,47393134,613287278,49478704666
0,787,"internal.metrics.executorRunTime",140,6484,36806,7042348
0,788,"internal.metrics.executorCpuTime",52603933,2860930865,6590280413,2986812100809
0,789,"internal.metrics.resultSize",2724,2928,2984,3069597
0,790,"internal.metrics.jvmGCTime",8,31,774,202151
0,791,"internal.metrics.resultSerializationTime",1,1,20,138
0,794,"internal.metrics.peakExecutionMemory",32768,266635590,402653184,278367830016
0,813,"internal.metrics.shuffle.write.bytesWritten",80785879,80899451,133236120,83812106870
0,814,"internal.metrics.shuffle.write.recordsWritten",2410100,2412962,3978300,2500000000
0,815,"internal.metrics.shuffle.write.writeTime",38774142,66084093,471108143,68463386511
0,816,"internal.metrics.input.bytesRead",1005925,1030330,1047361,1076033199
0,817,"internal.metrics.input.recordsRead",2410100,2412962,3978300,2500000000
1,273,"number of output rows",80000,80000,80000,2000000
1,274,"scan time",6057,9027,17369,225810
1,643,"data size",2560000,2560000,2560000,64000000
1,662,"shuffle bytes written",794545,796163,797384,19904227
1,663,"shuffle records written",80000,80000,80000,2000000
1,664,"shuffle write time",3431489,4030642,5764910,100766177
1,665,"duration",6111,9077,17414,227098
1,666,"number of output rows",80000,80000,80000,2000000
1,667,"number of output rows",80000,80000,80000,2000000
1,668,"number of input batches",32,32,32,800
1,820,"internal.metrics.executorDeserializeTime",2,15,52,512
1,821,"internal.metrics.executorDeserializeCpuTime",2025932,6947239,14379998,173681083
1,822,"internal.metrics.executorRunTime",6209,9331,17513,233396
1,823,"internal.metrics.executorCpuTime",535838609,810729185,1262251776,20268229803
1,824,"internal.metrics.resultSize",2939,2939,2983,73543
1,825,"internal.metrics.jvmGCTime",9,15,57,537
1,826,"internal.metrics.resultSerializationTime",7,7,7,7
1,829,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,848,"internal.metrics.shuffle.write.bytesWritten",794545,796163,797384,19904227
1,849,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,850,"internal.metrics.shuffle.write.writeTime",3431489,4030642,5764910,100766177
1,851,"internal.metrics.input.bytesRead",219968,220206,220224,5505296
1,852,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,304,"number of output rows",119980,119995,120023,3000000
2,305,"scan time",6879,11207,16467,280330
2,672,"data size",3839360,3839996,3840736,96000000
2,691,"shuffle bytes written",939851,940634,941223,23515992
2,692,"shuffle records written",119980,119995,120023,3000000
2,693,"shuffle write time",3598464,3892315,4609881,97308062
2,694,"duration",6930,11280,16520,282184
2,695,"number of output rows",119980,119995,120023,3000000
2,696,"number of output rows",119980,119995,120023,3000000
2,697,"number of input batches",32,32,32,800
2,855,"internal.metrics.executorDeserializeTime",1,10,75,392
2,856,"internal.metrics.executorDeserializeCpuTime",1942778,5868747,13139640,146718824
2,857,"internal.metrics.executorRunTime",7033,11524,17393,288240
2,858,"internal.metrics.executorCpuTime",587115648,780576731,1009990166,19514418432
2,859,"internal.metrics.resultSize",2896,2928,2941,73370
2,860,"internal.metrics.jvmGCTime",6,10,55,326
2,864,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,883,"internal.metrics.shuffle.write.bytesWritten",939851,940634,941223,23515992
2,884,"internal.metrics.shuffle.write.recordsWritten",119980,119995,120023,3000000
2,885,"internal.metrics.shuffle.write.writeTime",3598464,3892315,4609881,97308062
2,886,"internal.metrics.input.bytesRead",234462,234462,234464,5861590
2,887,"internal.metrics.input.recordsRead",119980,119995,120023,3000000
3,335,"number of output rows",19980,19994,20012,500000
3,336,"scan time",6488,9769,17753,244383
3,701,"data size",1099176,1101488,1102864,27537360
3,720,"shuffle bytes written",484235,485976,487175,12149531
3,721,"shuffle records written",19980,19994,20012,500000
3,722,"shuffle write time",3038463,3575891,5156688,89397418
3,723,"duration",6517,9797,17776,245092
3,724,"number of output rows",19980,19994,20012,500000
3,725,"number of output rows",19980,19994,20012,500000
3,726,"number of input batches",32,32,32,800
3,890,"internal.metrics.executorDeserializeTime",1,4,40,270
3,891,"internal.metrics.executorDeserializeCpuTime",1376280,4905293,14310156,122632463
3,892,"internal.metrics.executorRunTime",6589,10652,18104,266441
3,893,"internal.metrics.executorCpuTime",517049005,686570664,1005631866,17164266746
3,894,"internal.metrics.resultSize",2896,2919,2941,73153
3,895,"internal.metrics.jvmGCTime",6,10,23,236
3,899,"internal.metrics.peakExecutionMemory",67633152,67633152,67633152,1690828800
3,918,"internal.metrics.shuffle.write.bytesWritten",484235,485976,487175,12149531
3,919,"internal.metrics.shuffle.write.recordsWritten",19980,19994,20012,500000
3,920,"internal.metrics.shuffle.write.writeTime",3038463,3575891,5156688,89397418
3,921,"internal.metrics.input.bytesRead",221668,221891,222143,5547407
3,922,"internal.metrics.input.recordsRead",19980,19994,20012,500000
4,366,"number of output rows",2500,2500,2500,5000
4,367,"scan time",5445,8119,10794,16239
4,730,"data size",129944,130000,130056,260000
4,749,"shuffle bytes written",121502,121924,122346,243848
4,750,"shuffle records written",2500,2500,2500,5000
4,751,"shuffle write time",2771787,2793385,2814983,5586770
4,752,"duration",5462,8136,10811,16273
4,753,"number of output rows",2500,2500,2500,5000
4,754,"number of output rows",2500,2500,2500,5000
4,755,"number of input batches",25,25,25,50
4,925,"internal.metrics.executorDeserializeTime",8,10,12,20
4,926,"internal.metrics.executorDeserializeCpuTime",4773525,4917870,5062216,9835741
4,927,"internal.metrics.executorRunTime",9827,11606,13386,23213
4,928,"internal.metrics.executorCpuTime",544546433,579095276,613644119,1158190552
4,929,"internal.metrics.resultSize",2939,2939,2940,5879
4,930,"internal.metrics.jvmGCTime",8,9,10,18
4,934,"internal.metrics.peakExecutionMemory",67174400,67174400,67174400,134348800
4,953,"internal.metrics.shuffle.write.bytesWritten",121502,121924,122346,243848
4,954,"internal.metrics.shuffle.write.recordsWritten",2500,2500,2500,5000
4,955,"internal.metrics.shuffle.write.writeTime",2771787,2793385,2814983,5586770
4,956,"internal.metrics.input.bytesRead",190548,190551,190554,381102
4,957,"internal.metrics.input.recordsRead",2500,2500,2500,5000
5,397,"number of output rows",731,731,731,731
5,398,"scan time",229,229,229,229
5,759,"data size",29240,29240,29240,29240
5,778,"shuffle bytes written",47807,47807,47807,47807
5,779,"shuffle records written",731,731,731,731
5,780,"shuffle write time",2299730,2299730,2299730,2299730
5,781,"duration",252,252,252,252
5,782,"number of output rows",731,731,731,731
5,783,"number of output rows",731,731,731,731
5,784,"number of input batches",1,1,1,1
5,960,"internal.metrics.executorDeserializeTime",12,12,12,12
5,961,"internal.metrics.executorDeserializeCpuTime",7081081,7081081,7081081,7081081
5,962,"internal.metrics.executorRunTime",323,323,323,323
5,963,"internal.metrics.executorCpuTime",134287705,134287705,134287705,134287705
5,964,"internal.metrics.resultSize",2898,2898,2898,2898
5,969,"internal.metrics.peakExecutionMemory",67141632,67141632,67141632,67141632
5,988,"internal.metrics.shuffle.write.bytesWritten",47807,47807,47807,47807
5,989,"internal.metrics.shuffle.write.recordsWritten",731,731,731,731
5,990,"internal.metrics.shuffle.write.writeTime",2299730,2299730,2299730,2299730
5,991,"internal.metrics.input.bytesRead",7737,7737,7737,7737
5,992,"internal.metrics.input.recordsRead",731,731,731,731
8,616,"remote blocks read",808,945,1036,814628
8,617,"local blocks read",4,4,228,14172
8,618,"remote bytes read",81370120,102970051,114898183,82376197367
8,620,"local bytes read",365511,2573173,24198536,1435909503
8,621,"fetch wait time",0,21269,58865,17177954
8,622,"records read",2786247,3124804,3452922,2500000000
8,631,"remote reqs duration",27598,86565,182048,69412767
8,645,"remote blocks read",21,21,25,19541
8,646,"local blocks read",1,1,4,459
8,647,"remote bytes read",20041,24108,26424,19446498
8,649,"local bytes read",820,1971,4342,457729
8,650,"fetch wait time",0,0,4479,5337
8,651,"records read",2345,2408,2669,2000000
8,660,"remote reqs duration",130,14878,46669,12055511
8,1185,"data size",88326640,115001579,141466480,92001422720
8,1204,"shuffle bytes written",36136529,46636374,57160520,37309254857
8,1205,"shuffle records written",1104083,1437326,1768331,1150017784
8,1206,"shuffle write time",21258376,30488040,60818058,24390592114
8,1207,"duration",7272,25009,63079,20161706
8,1208,"number of output rows",1104083,1437326,1768331,1150017784
