Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
347,156076,0,false
342,162799,0,false
31,8153443,0,false
358,33173,0,false
265,38180,0,false
24,3798447,0,false
331,23050,0,false
32,217153,0,false
83,35023081,0,false
278,289811,0,false
269,23478,0,false
33,11991498,0,false
386,10056,0,false
356,129058,0,false
28,336296,0,false
194,35174,0,false
4,10587,0,false
42,102025,0,false
40,49337177,0,false
16,200,66,false
333,45039,0,false
297,33551,0,false
98,215238,0,false
303,74320,0,false
49,102705351,0,false
88,7646,0,false
213,18390,0,false
285,35104,0,false
58,12609825,0,false
346,6147,0,false
243,144027,0,false
381,6739,0,false
305,18769,0,false
361,7275,0,false
329,477471,0,false
54,294595,0,false
193,1248870,0,false
21,3461331,0,false
287,686741,0,false
86,81360,0,false
274,541017,0,false
288,19277,0,false
3,454,151,false
312,121234,0,false
68,1322584,0,false
59,45553,0,false
118,86652,0,false
112,950066,0,false
53,57863,0,false
335,46669009,0,false
117,4227858,0,false
239,83446,0,false
50,45016,0,false
48,69040,0,false
290,826981,0,false
354,102672,0,false
52,2235814,0,false
41,1553366,0,false
289,1167929,0,false
201,49402,0,false
85,86874,0,false
353,115460,0,false
63,113533,0,false
325,2805065,0,false
241,23183,0,false
388,41917446,0,false
293,1896598,0,false
317,580086,0,false
301,295184,0,false
67,654600,0,false
72,8323,0,false
254,123966,0,false
238,215097,0,false
36,6167568,0,false
326,101237,0,false
382,4204,0,false
30,171519,0,false
336,130344,0,false
224,220306,0,false
299,14377,0,false
62,12241564,0,false
189,25731,0,false
300,568371,0,false
64,184115,0,false
230,392938,0,false
209,24728,0,false
283,39040145,0,false
341,192578,0,false
23,178470,0,false
348,265885,0,false
126,9366278,0,false
151,424647,0,false
208,23757,0,false
216,38061,0,false
15,15819,0,false
60,1078847,0,false
296,807515,0,false
324,520608,0,false
302,484047,0,false
377,46220,0,false
365,39238,0,false
192,6405,0,false
191,173995,0,false
69,137683,0,false
345,110896,0,false
311,1049975,0,false
137,219897,0,false
82,149792,0,false
7,391735,0,false
27,181353,0,false
91,7623862,0,false
61,132149,0,false
71,696012,0,false
170,2189291,0,false
215,308512,0,false
93,46935,0,false
352,132463,0,false
321,134974,0,false
212,237828771,0,false
51,155111,0,false
298,716561,0,false
379,3295,0,false
277,22501,0,false
90,72767,0,false
330,50718,0,false
45,86221,0,false
282,396931,0,false
34,13342738,0,false
94,6751653,0,false
384,6562,0,false
70,24742884,0,false
199,35952,0,false
89,202014,0,false
261,87862,0,false
25,387690,0,false
0,7586508,0,false
119,25029,0,false
366,36504,0,false
372,2300,0,false
74,96036,0,false
233,36450,0,false
227,29710,0,false
225,31931,0,false
258,117622,0,false
219,233761,0,false
306,161597,0,false
157,1355821,0,false
39,5848564,0,false
245,283608,0,false
234,29511,0,false
264,140015,0,false
275,24282,0,false
281,909338,0,false
262,6973,0,false
267,213689,0,false
202,50749,0,false
276,25731,0,false
26,197457,0,false
315,1770963,0,false
259,309497,0,false
204,53944,0,false
65,12561909,0,false
211,243787,0,false
249,168278,0,false
73,568141,0,false
310,931183,0,false
5,9811,0,false
343,133951,0,false
231,15024,0,false
97,14375094,0,false
334,1810339,0,false
320,392629,0,false
214,616328,0,false
190,285714,0,false
273,234592,0,false
186,6001,0,false
279,253692,0,false
362,138819,0,false
100,54191,0,false
229,53315,0,false
75,6840376,0,false
318,1911796,0,false
102,3386381,0,false
12,159198,0,false
101,36523,0,false
95,237902,0,false
232,39451,0,false
375,3603,0,false
314,118475,0,false
195,48935,0,false
316,1531447,0,false
350,140505,0,false
327,1826730,0,false
308,179285,0,false
263,174426,0,false
11,13932,0,false
2,546854,0,false
237,24908,0,false
111,19534,0,false
80,170701,0,false
328,434801,0,false
19,148927,0,false
198,1033756,0,false
196,19068,0,false
371,172968,0,false
84,11823,0,false
8,278,92,false
271,81450,0,false
1,303902,0,false
218,321270,0,false
339,147602,0,false
81,12551,0,false
22,228481,0,false
286,1009348,0,false
17,159861,0,false
369,183673,0,false
10,246827,0,false
252,384512,0,false
188,2651448,0,false
92,90698,0,false
246,50486686,0,false
150,210,0,false
322,2810584,0,false
138,19325,0,false
37,1988010,0,false
338,142970,0,false
304,369255,0,false
370,557229,0,false
46,26363641,0,false
197,89666,0,false
20,150547,0,false
295,497166,0,false
207,40732,0,false
367,396798,0,false
217,823495,0,false
240,18332,0,false
244,295899,0,false
106,15050,0,false
200,46951,0,false
206,549646,0,false
332,49066,0,false
272,6254,0,false
96,95004,0,false
6,50022,16674,false
376,29436,0,false
9,405932,0,false
210,34403,0,false
14,161009,0,false
363,130358,0,false
221,198073,0,false
38,127528,0,false
250,224165,0,false
284,714212,0,false
380,22249,0,false
13,255,85,false
368,446929,0,false
43,8145366,0,false
79,8813574,0,false
291,630671,0,false
226,498528,0,false
47,326592,0,false
323,1789709,0,false
280,116455,0,false
319,535356,0,false
355,6883,0,false
87,3799283,0,false
253,345257,0,false
256,147360,0,false
66,29506,0,false
57,211928,0,false
360,62940,0,false
364,25735,0,false
313,878190,0,false
35,8000261,0,false
236,41778,0,false
247,571135,0,false
205,66431,0,false
55,3248509,0,false
374,28696,0,false
56,131321,0,false
18,148737,0,false
29,8270104,0,false
107,1651351,0,false
44,1547690,0,false
337,26497,0,false
309,18814,0,false
223,152981,0,false
125,32743,0,false
242,24493,0,false
260,19715,0,false
228,79893,0,false
