jobId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
69,8001,1053519,375033697212,80887872,601005,0,10109.7,48536610,201567,493380,73333827,2934484394,6817153255,1152804,2139103100928,0,0,15704064000,226,116841,10296928,24474,3883321696,5249599,833430134124,0,837313455820,902882906091,13275546932,2796647
29,1534,518962,0,8270104,56075,134,5391.2,3414020,28554,179815,7342806,1343017965,3144223000,81638,0,0,0,402653184,81,3189,0,0,0,0,0,0,0,97355244268,3144223000,64932
31,1526,517645,0,8153443,55065,129,5343.0,3166604,30730,182149,7207242,1314734363,3076013900,82821,0,0,0,402653184,88,3189,0,0,0,0,0,0,0,102974928054,3076013900,68134
48,1161,471018,0,26887257,134503,578,23158.7,15723686,6992,317337,25500729,110776066,246140149,958670,0,0,0,2122886624,15,14459,6784225,5888,958987591,1047759,169969894830,0,170928882421,410345795586,2813961227,491690
32,27,447849,0,217153,15610,6399,8042.7,13395,78,181,189968,7331620,2000000,863,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,39759609,2000000,127
49,1238,422598,0,8208888,133599,229,6630.8,2512617,8270,141227,7774652,188281994,430877770,44564,0,0,0,637599744,33,15226,4214530,6271,187925950,1061169,31652002973,0,31839928923,19460417998,724529995,22808
68,1990,412393,617414157562,45118668,305600,0,22672.7,29502045,42049,85527,42041009,409342496,942909078,406603,2194533777408,0,0,18321309696,175,84262,7780579,10565,3865627396,1826765,633771827190,0,637637454586,521256159751,4238827570,971291
67,2312,410868,394609345062,55911549,150448,163,24183.2,31979451,36608,75154,53266911,769164769,1777919864,486578,1752749309952,0,0,3556769792,9,77696,13477491,14830,3440126107,2595211,586282247906,0,589722374013,609363687871,5027729939,4138447
28,25,402833,0,336296,50777,5493,13451.8,19384,1619,7551,328380,5861590,3000000,1304,0,0,0,69206016,12,3186,0,0,0,0,0,0,0,21416685,3000000,120
30,25,401568,0,171519,7344,6298,6860.8,15760,95,210,171176,7321220,2000000,684,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,30938651,2000000,121
25,25,399767,0,387690,51338,6366,15507.6,21527,1499,6812,380519,7258020,2000000,1144,0,0,0,69206016,12,3187,0,0,0,0,0,0,0,49833972,2000000,140
24,1044,391186,0,3798447,52493,142,3638.4,2354336,6389,21781,3770844,1071509311,2500000000,35926,0,0,0,402653184,21,3188,0,0,0,0,0,0,0,83691923549,2500000000,51264
