stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
40,1,13898,0,22.44,98.9,140.89,8.33,1152.13,true,"Success"
40,1,13901,0,14.59,98.9,148.94,8.33,1152.06,true,"Success"
40,1,13906,0,14.87,98.9,142.46,8.33,1152.06,true,"Success"
40,1,13928,0,21.59,98.9,144.88,8.33,1152.06,true,"Success"
40,1,13937,0,14.75,98.9,137.39,8.33,1152.06,true,"Success"
40,1,13940,0,16.20,98.9,141.48,8.33,1152.06,true,"Success"
40,1,13950,0,15.01,98.9,142.32,8.33,1152.06,true,"Success"
40,1,13962,0,26.83,98.9,147.65,8.33,1152.06,true,"Success"
40,1,13974,0,19.19,98.9,149.21,8.33,1152.06,true,"Success"
40,1,13982,0,21.50,98.9,138.46,8.33,1152.06,true,"Success"
40,1,13983,0,12.06,98.9,139.92,8.33,1152.06,true,"Success"
40,1,13987,0,16.84,98.9,140.37,8.33,1152.06,true,"Success"
40,1,13993,0,11.08,98.9,137.55,8.33,1152.06,true,"Success"
40,1,13996,0,12.09,98.9,137.40,8.33,1152.06,true,"Success"
40,1,14005,0,16.76,98.9,139.35,8.33,1152.06,true,"Success"
40,1,14031,0,12.32,98.9,139.67,8.33,1152.06,true,"Success"
40,1,14035,0,14.59,98.9,145.67,8.33,1152.06,true,"Success"
40,1,14036,0,17.20,98.9,145.68,8.33,1152.13,true,"Success"
40,1,14038,0,14.41,98.9,148.91,8.33,1152.06,true,"Success"
40,1,14106,0,24.48,98.9,141.11,8.33,1152.06,true,"Success"
40,1,14118,0,14.16,98.9,143.40,8.33,1152.06,true,"Success"
40,1,14120,0,21.81,98.9,138.65,8.33,1152.06,true,"Success"
107,1,34444,0,5.80,1.7,198.76,51.34,960.53,true,"Success"
107,1,34453,0,5.26,1.7,165.67,51.34,896.53,true,"Success"
107,1,34462,0,13.82,1.7,436.17,51.34,1856.53,true,"Success"
107,1,34475,0,28.24,1.7,808.43,51.34,2048.53,true,"Success"
107,1,34479,0,5.18,1.7,165.63,51.34,896.53,true,"Success"
107,1,34486,0,10.31,1.7,278.75,51.34,1344.53,true,"Success"
107,1,34496,0,17.64,1.7,497.38,51.34,1920.53,true,"Success"
107,1,34521,0,5.83,1.7,192.75,51.34,960.53,true,"Success"
107,1,34525,0,26.60,1.7,649.65,51.34,2048.53,true,"Success"
107,1,34528,0,5.49,1.7,193.14,51.34,960.53,true,"Success"
107,1,34544,0,6.86,1.7,313.98,51.34,1472.53,true,"Success"
107,1,34549,0,5.43,1.7,198.97,51.34,960.53,true,"Success"
107,1,34552,0,6.05,1.7,192.34,51.34,960.53,true,"Success"
107,1,34553,0,25.22,1.7,645.04,51.34,2048.53,true,"Success"
107,1,34555,0,6.22,1.7,198.54,51.34,960.53,true,"Success"
107,1,34582,0,24.50,1.7,634.50,51.34,2048.53,true,"Success"
107,1,34584,0,10.04,1.7,335.51,51.34,1536.53,true,"Success"
107,1,34599,0,7.29,1.7,198.55,51.34,960.53,true,"Success"
107,1,34605,0,15.29,1.7,388.27,51.34,1600.53,true,"Success"
107,1,34631,0,8.00,1.7,263.98,51.34,1088.53,true,"Success"
107,1,34650,0,7.66,1.7,216.31,51.34,1024.53,true,"Success"
107,1,34658,0,14.04,1.7,449.83,51.34,1856.53,true,"Success"
107,1,34663,0,14.16,1.7,397.71,51.34,1664.53,true,"Success"
107,1,34672,0,11.33,1.7,286.32,51.34,1280.53,true,"Success"
107,1,34679,0,12.99,1.7,450.88,51.34,1856.53,true,"Success"
107,1,34682,0,17.70,1.7,507.46,51.34,1920.53,true,"Success"
107,1,34696,0,7.02,1.7,198.60,51.34,960.53,true,"Success"
107,1,34704,0,4.73,1.7,192.58,51.34,960.53,true,"Success"
107,1,34705,0,9.96,1.7,435.99,51.34,1856.53,true,"Success"
107,1,34709,0,9.53,1.7,328.49,51.34,1408.53,true,"Success"
107,1,34717,0,5.05,1.7,192.21,51.34,960.53,true,"Success"
107,1,34740,0,7.29,1.7,335.32,51.34,1536.53,true,"Success"
107,1,34762,0,11.89,1.7,324.36,51.34,1472.53,true,"Success"
107,1,34764,0,21.80,1.7,590.97,51.34,2304.53,true,"Success"
107,1,34772,0,4.43,1.7,157.99,51.34,832.53,true,"Success"
107,1,34780,0,4.03,1.7,160.21,51.34,832.53,true,"Success"
107,1,34788,0,17.56,1.7,428.35,51.34,1600.53,true,"Success"
107,1,34810,0,13.37,1.7,449.58,51.34,1856.53,true,"Success"
107,1,34817,0,8.47,1.7,302.74,51.34,1408.53,true,"Success"
107,1,34826,0,11.23,1.7,471.60,51.34,1920.53,true,"Success"
107,1,34829,0,8.18,1.7,324.23,51.34,1472.53,true,"Success"
107,1,34834,0,3.72,1.7,156.32,51.34,832.53,true,"Success"
107,1,34845,0,10.85,1.7,353.69,51.34,1536.53,true,"Success"
107,1,34846,0,7.62,1.7,310.03,51.34,1408.53,true,"Success"
107,1,34858,0,13.16,1.7,436.33,51.34,1856.53,true,"Success"
107,1,34870,0,4.02,1.7,165.82,51.34,896.53,true,"Success"
107,1,34874,0,10.32,1.7,449.99,51.34,1856.53,true,"Success"
107,1,34887,0,24.23,1.7,627.02,51.34,2048.53,true,"Success"
107,1,34901,0,6.22,1.7,258.76,51.34,1088.53,true,"Success"
107,1,34905,0,11.71,1.7,450.66,51.34,1856.53,true,"Success"
107,1,34909,0,4.89,1.7,159.03,51.34,832.53,true,"Success"
107,1,34923,0,7.93,1.7,335.19,51.34,1536.53,true,"Success"
107,1,34926,0,4.58,1.7,198.69,51.34,960.53,true,"Success"
107,1,34940,0,4.01,1.7,165.45,51.34,896.53,true,"Success"
107,1,34943,0,4.44,1.7,156.97,51.34,768.53,true,"Success"
107,1,34962,0,3.70,1.7,165.70,51.34,896.53,true,"Success"
107,1,34969,0,7.73,1.7,258.79,51.34,1024.53,true,"Success"
