sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,5,"WholeStageCodegen (139)",47618,"duration",330,40329,141838,39799271,"timing","388"
1,6,"HashAggregate",47619,"number of output rows",2996,97087,317228,94990541,"sum","388"
1,6,"HashAggregate",47620,"peak memory",262144,124942772,352321536,122569097216,"size","388"
1,6,"HashAggregate",47622,"time in aggregation build",209,39274,141521,38770543,"timing","388"
1,6,"HashAggregate",47623,"avg hash probes per key",11,12,16,15462,"average","388"
1,7,"HashAggregate",47625,"number of output rows",2996,97087,317228,94990541,"sum","388"
1,7,"HashAggregate",47626,"peak memory",262144,98339565,285212672,96471351296,"size","388"
1,7,"HashAggregate",47628,"time in aggregation build",131,38900,141151,38395406,"timing","388"
1,7,"HashAggregate",47629,"avg hash probes per key",10,10,19,13707,"average","388"
1,8,"Sort",47631,"sort time",0,341,2390,580261,"timing","388"
1,8,"Sort",47632,"peak memory",65536,1485803557,4362076160,1457573527552,"size","388"
1,8,"Sort",47633,"spill size",0,882471086,8053063680,865704345600,"size","388"
1,9,"Exchange",36773,"data size",875897600,1904147968,3741068960,2027917865464,"size","335,388"
1,9,"Exchange",36774,"number of partitions",1000,1000,1000,1000,"sum","335,388"
1,9,"Exchange",36775,"remote blocks read",199,445,917,614788,"sum","335,388"
1,9,"Exchange",36776,"local blocks read",1,1,8,2739,"sum","335,388"
1,9,"Exchange",36777,"remote bytes read",3184,350717538,1556744240,344054135023,"size","335,388"
1,9,"Exchange",36779,"local bytes read",16,1932579,30435627,1677665508,"size","335,388"
1,9,"Exchange",36780,"fetch wait time",0,2344,11256,2542451,"timing","335,388"
1,9,"Exchange",36781,"records read",4770,2454480,12876395,2395797802,"sum","335,388"
1,9,"Exchange",36790,"remote reqs duration",8391,90261,168399,88783350,"timing","335,388"
1,9,"Exchange",36792,"shuffle bytes written",165967336,358958997,688040669,382291611523,"size","335,388"
1,9,"Exchange",36793,"shuffle records written",1145096,2497088,4963477,2659680718,"sum","335,388"
1,9,"Exchange",36794,"shuffle write time",80194699,2307694939,13006368054,2457695389631,"nsTiming","335,388"
1,10,"WholeStageCodegen (138)",36795,"duration",6309,32262,60219,34643065,"timing","335"
1,12,"SortMergeJoin",36796,"number of output rows",1145096,2497088,4963477,2659680718,"sum","335"
1,12,"SortMergeJoin",36797,"spill size",0,0,0,0,"size","335"
