stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
29,1534,518842,0,8270104,56075,134,4977.9,3414020,28554,179815,7342806,1343017965,3144223000,81638,0,0,0,402653184,81,3189,0,0,0,0,0,0,0,97355244268,3144223000,64932
31,1526,517539,0,8153443,55065,129,5343.0,3166604,30730,182149,7207242,1314734363,3076013900,82821,0,0,0,402653184,88,3189,0,0,0,0,0,0,0,102974928054,3076013900,68134
32,27,447845,0,217153,15610,6399,8042.7,13395,78,181,189968,7331620,2000000,863,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,39759609,2000000,127
28,25,402829,0,336296,50777,5493,13451.8,19384,1619,7551,328380,5861590,3000000,1304,0,0,0,69206016,12,3186,0,0,0,0,0,0,0,21416685,3000000,120
30,25,401564,0,171519,7344,6298,6860.8,15760,95,210,171176,7321220,2000000,684,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,30938651,2000000,121
25,25,399763,0,387690,51338,6366,15507.6,21527,1499,6812,380519,7258020,2000000,1144,0,0,0,69206016,12,3187,0,0,0,0,0,0,0,49833972,2000000,140
24,1044,391066,0,3798447,52493,142,3638.4,2354336,6389,21781,3770844,1071509311,2500000000,35926,0,0,0,402653184,21,3188,0,0,0,0,0,0,0,83691923549,2500000000,51264
27,25,364439,0,181353,14447,5607,7254.1,13599,87,168,181073,5814390,3000000,332,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,87766348,3000000,202
26,25,364217,0,197457,14853,5656,7898.3,12036,87,178,197159,5799195,3000000,256,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,59104602,3000000,163
33,1371,343398,0,11991498,167328,138,8746.5,3506098,53248,305375,11043729,1239163396,2880795800,129518,0,0,0,466653184,164,3244,0,0,0,0,0,0,0,89306645429,2880795800,59893
21,1044,336685,0,3461331,51453,141,3315.5,2052758,6794,26257,3429024,1070061027,2500000000,31175,0,0,0,335544320,13,3188,0,0,0,0,0,0,0,58803820840,2500000000,40484
40,1444,324465,0,49337177,138047,18,30950.25,6776003,6887,21545,12486006,0,0,231094,0,0,0,1342308352,8,8244,5319847,6786,957086306,1060580,150309054861,0,151266141167,167751864973,2514844024,101157
22,25,320416,0,228481,19335,6599,9139.2,13264,95,222,228119,7247620,2000000,571,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,42558886,2000000,128
23,25,318777,0,178470,16088,5554,7138.8,13420,83,171,178180,5851990,3000000,435,0,0,0,69206016,0,3145,0,0,0,0,0,0,0,25821391,3000000,111
43,1030,295631,0,8145366,29251,22,4108.45,2259729,5795,7742,8130146,0,0,23558,0,0,0,637665280,2,8242,5793696,6198,342882078,1054802,58503497648,0,58846379726,29447533326,1150017784,23846
329,146,294373,0,477471,128947,31,3635.4468749999996,205226,2061,2868,221874,0,0,2125,0,0,0,3154673664,2,16682,10651,319,55535424,52681,9226277758,0,9281813182,238579,1095,3
9,25,286227,0,405932,57550,5417,16237.3,17922,2058,4231,401201,5431724,500000,1064,0,0,0,0,8,513905,0,0,0,0,0,0,0,0,0,0
