jobID,stageIds,sqlID,startTime,endTime
0,"[0]",1,1789104926247,1789105122148
1,"[1]",1,1789104926449,1789105135507
2,"[2]",1,1789104926460,1789105135850
3,"[3]",1,1789104926469,1789105129826
4,"[4]",1,1789104926478,1789105130012
5,"[5]",1,1789104926486,1789105119475
6,"[6]",1,1789104926528,1789105152537
7,"[7]",1,1789104926566,1789105167860
8,"[8]",1,1789104926603,1789105169586
9,"[9]",1,1789104926639,1789105166764
10,"[10]",1,1789104926670,1789105151711
11,"[11]",1,1789104926702,1789105147238
12,"[12,13,14]",1,1789105135751,1789105339747
13,"[15,16,17]",1,1789105167985,1789105328042
14,"[19,20,21,18,22]",1,1789105328164,1789105358377
15,"[27,24,25,26,23]",1,1789105339843,1789105357951
16,"[33,30,34,31,32,28,29]",1,1789105358050,1789105366993
17,"[37,38,35,39,36,40,41]",1,1789105358521,1789105365402
18,"[48,45,49,46,50,42,43,47,44]",1,1789105365483,1789105373073
19,"[51,52,56,53,57,54,58,55,59]",1,1789105367072,1789105386026
20,"[66,63,60,70,67,64,68,69,61,65,62]",1,1789105373296,1789105409424
21,"[81,78,74,71,75,72,79,76,73,80,77]",1,1789105386125,1789105403095
22,"[102,96,88,103,82,89,104,83,90,97,91,98,92,84,99,85,100,86,101,93,87,94,95]",1,1789105409646,1789105438476
23,"[117,118,125,119,111,126,105,120,112,127,106,113,128,114,121,115,107,122,108,123,109,124,116,110]",1,1789105438626,1789105445207
24,"[132,147,139,133,140,141,148,142,134,149,143,135,150,129,136,151,137,152,144,138,130,145,131,146]",1,1789105445403,1789105449690
25,"[161,153,168,154,169,176,155,170,162,177,156,163,164,171,165,157,172,166,158,173,159,174,160,175,167]",1,1789105450444,1789105495555
26,"[178]",2,1789105498999,1789105556702
27,"[179]",2,1789105499044,1789105522732
28,"[180]",2,1789105499069,1789105524090
29,"[181]",2,1789105499097,1789105526944
30,"[182]",2,1789105499122,1789105526903
31,"[183]",2,1789105499150,1789105512479
32,"[184]",2,1789105499208,1789105536840
33,"[185]",2,1789105499232,1789105540392
34,"[186]",2,1789105499253,1789105540754
35,"[187]",2,1789105499280,1789105541366
36,"[188]",2,1789105499304,1789105538347
37,"[189]",2,1789105499323,1789105537612
38,"[190,191,192]",2,1789105540465,1789105592892
39,"[194,195,193]",2,1789105556748,1789105593818
40,"[197,198,199,196,200]",2,1789105592954,1789105604961
41,"[204,201,205,202,203]",2,1789105593933,1789105607442
42,"[212,208,209,206,210,207,211]",2,1789105605035,1789105608279
43,"[215,219,216,213,217,214,218]",2,1789105607500,1789105610811
44,"[222,223,220,227,224,221,228,225,226]",2,1789105608382,1789105614735
45,"[233,230,237,234,235,231,232,229,236]",2,1789105610855,1789105618532
46,"[248,241,238,245,242,239,246,243,240,247,244]",2,1789105614826,1789105620317
47,"[251,255,252,249,259,256,253,257,258,250,254]",2,1789105618589,1789105627759
48,"[269,263,270,277,271,278,272,264,279,265,280,266,281,273,267,274,260,275,282,261,276,268,262]",2,1789105627851,1789105632915
49,"[305,284,299,291,306,285,300,292,286,293,294,301,295,287,302,288,303,289,304,296,290,297,283,298]",2,1789105632971,1789105634360
50,"[320,321,328,307,322,314,329,308,323,315,330,309,316,331,317,324,318,310,325,311,326,312,327,319,313]",2,1789105634389,1789105634605
