stageId,accumulatorId,name,min,median,max,total
0,252,"number of output rows",2410100,2412956,3978300,2500000000
0,253,"scan time",133,1608,12487,1945038
0,972,"data size",134965600,135134952,222784800,140000000000
0,991,"shuffle bytes written",77886442,77992833,128406630,80800839341
0,992,"shuffle records written",2410100,2412956,3978300,2500000000
0,993,"shuffle write time",37271946,61939399,785467633,64169493828
0,994,"duration",134,2531,13653,2914589
0,995,"number of output rows",2410100,2412956,3978300,2500000000
0,996,"number of output rows",2410100,2412956,3978300,2500000000
0,997,"number of input batches",589,589,972,610970
0,1469,"internal.metrics.executorDeserializeTime",1,1,1060,140447
0,1470,"internal.metrics.executorDeserializeCpuTime",1442708,61454077,665522893,64158324757
0,1471,"internal.metrics.executorRunTime",157,4506,15956,4970816
0,1472,"internal.metrics.executorCpuTime",57694659,3151285312,6953523314,3289942132263
0,1473,"internal.metrics.resultSize",2723,2929,2985,3070373
0,1474,"internal.metrics.jvmGCTime",22,55,847,230889
0,1475,"internal.metrics.resultSerializationTime",1,1,14,202
0,1478,"internal.metrics.peakExecutionMemory",32768,266507033,335544320,278233612288
0,1497,"internal.metrics.shuffle.write.bytesWritten",77886442,77992833,128406630,80800839341
0,1498,"internal.metrics.shuffle.write.recordsWritten",2410100,2412956,3978300,2500000000
0,1499,"internal.metrics.shuffle.write.writeTime",37271946,61939399,785467633,64169493828
0,1500,"internal.metrics.input.bytesRead",1005925,1028481,1044263,1074108889
0,1501,"internal.metrics.input.recordsRead",2410100,2412956,3978300,2500000000
1,283,"number of output rows",80000,80000,80000,2000000
1,284,"scan time",6829,8035,17989,201048
1,1001,"data size",2560000,2560000,2560000,64000000
1,1020,"shuffle bytes written",794545,796162,797384,19904227
1,1021,"shuffle records written",80000,80000,80000,2000000
1,1022,"shuffle write time",3572317,4505618,5647502,112640584
1,1023,"duration",6874,8094,18040,202500
1,1024,"number of output rows",80000,80000,80000,2000000
1,1025,"number of output rows",80000,80000,80000,2000000
1,1026,"number of input batches",32,32,32,800
1,1504,"internal.metrics.executorDeserializeTime",1,29,154,870
1,1505,"internal.metrics.executorDeserializeCpuTime",1496380,8869193,15002888,221729956
1,1506,"internal.metrics.executorRunTime",6966,8240,18348,206133
1,1507,"internal.metrics.executorCpuTime",613604161,1065702803,1412397087,26642570217
1,1508,"internal.metrics.resultSize",2897,2926,2942,73348
1,1509,"internal.metrics.jvmGCTime",10,52,203,1225
1,1513,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,1532,"internal.metrics.shuffle.write.bytesWritten",794545,796162,797384,19904227
1,1533,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,1534,"internal.metrics.shuffle.write.writeTime",3572317,4505618,5647502,112640584
1,1535,"internal.metrics.input.bytesRead",219968,220207,220224,5505296
1,1536,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,314,"number of output rows",119980,119994,120023,3000000
2,315,"scan time",6986,7507,11551,187839
2,1030,"data size",3839360,3839994,3840736,96000000
2,1049,"shuffle bytes written",939851,940632,941223,23515992
2,1050,"shuffle records written",119980,119994,120023,3000000
2,1051,"shuffle write time",3689057,5280418,10767096,132010576
2,1052,"duration",7043,7570,11604,189398
2,1053,"number of output rows",119980,119994,120023,3000000
2,1054,"number of output rows",119980,119994,120023,3000000
2,1055,"number of input batches",32,32,32,800
2,1539,"internal.metrics.executorDeserializeTime",2,17,75,545
2,1540,"internal.metrics.executorDeserializeCpuTime",1934494,7205389,14488773,180134858
2,1541,"internal.metrics.executorRunTime",7161,7958,18166,199061
2,1542,"internal.metrics.executorCpuTime",683902994,1015379958,1204421177,25384499107
2,1543,"internal.metrics.resultSize",2897,2935,2942,73464
2,1544,"internal.metrics.jvmGCTime",7,22,120,659
2,1548,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,1567,"internal.metrics.shuffle.write.bytesWritten",939851,940632,941223,23515992
2,1568,"internal.metrics.shuffle.write.recordsWritten",119980,119994,120023,3000000
2,1569,"internal.metrics.shuffle.write.writeTime",3689057,5280418,10767096,132010576
2,1570,"internal.metrics.input.bytesRead",234462,234462,234464,5861590
2,1571,"internal.metrics.input.recordsRead",119980,119994,120023,3000000
3,345,"number of output rows",19980,19994,20012,500000
3,346,"scan time",6238,6910,11060,172912
3,1059,"data size",1099176,1101488,1102864,27537360
3,1078,"shuffle bytes written",484235,485976,487175,12149531
3,1079,"shuffle records written",19980,19994,20012,500000
3,1080,"shuffle write time",3520484,4422441,7433129,110561165
3,1081,"duration",6266,6942,11103,173707
3,1082,"number of output rows",19980,19994,20012,500000
3,1083,"number of output rows",19980,19994,20012,500000
3,1084,"number of input batches",32,32,32,800
3,1574,"internal.metrics.executorDeserializeTime",2,11,58,427
3,1575,"internal.metrics.executorDeserializeCpuTime",2264805,6971770,12401270,174294382
3,1576,"internal.metrics.executorRunTime",6354,7047,11217,176307
3,1577,"internal.metrics.executorCpuTime",849665664,996471235,1315094619,24911781033
3,1578,"internal.metrics.resultSize",2897,2929,2942,73375
3,1579,"internal.metrics.jvmGCTime",7,35,202,839
3,1583,"internal.metrics.peakExecutionMemory",67633152,67633152,67633152,1690828800
3,1602,"internal.metrics.shuffle.write.bytesWritten",484235,485976,487175,12149531
3,1603,"internal.metrics.shuffle.write.recordsWritten",19980,19994,20012,500000
3,1604,"internal.metrics.shuffle.write.writeTime",3520484,4422441,7433129,110561165
3,1605,"internal.metrics.input.bytesRead",221668,221890,222143,5547407
3,1606,"internal.metrics.input.recordsRead",19980,19994,20012,500000
4,376,"number of output rows",2500,2500,2500,5000
4,377,"scan time",5490,8157,10825,16315
4,1088,"data size",129944,130000,130056,260000
4,1107,"shuffle bytes written",121502,121924,122346,243848
4,1108,"shuffle records written",2500,2500,2500,5000
4,1109,"shuffle write time",3170930,3841313,4511696,7682626
4,1110,"duration",5511,8176,10842,16353
4,1111,"number of output rows",2500,2500,2500,5000
4,1112,"number of output rows",2500,2500,2500,5000
4,1113,"number of input batches",25,25,25,50
4,1609,"internal.metrics.executorDeserializeTime",26,32,38,64
4,1610,"internal.metrics.executorDeserializeCpuTime",10218669,11058934,11899199,22117868
4,1611,"internal.metrics.executorRunTime",5600,8279,10959,16559
4,1612,"internal.metrics.executorCpuTime",971557034,973072347,974587661,1946144695
4,1613,"internal.metrics.resultSize",2940,2940,2941,5881
4,1614,"internal.metrics.jvmGCTime",87,87,88,175
4,1618,"internal.metrics.peakExecutionMemory",67174400,67174400,67174400,134348800
4,1637,"internal.metrics.shuffle.write.bytesWritten",121502,121924,122346,243848
4,1638,"internal.metrics.shuffle.write.recordsWritten",2500,2500,2500,5000
4,1639,"internal.metrics.shuffle.write.writeTime",3170930,3841313,4511696,7682626
4,1640,"internal.metrics.input.bytesRead",190548,190551,190554,381102
4,1641,"internal.metrics.input.recordsRead",2500,2500,2500,5000
5,407,"number of output rows",731,731,731,731
5,408,"scan time",257,257,257,257
5,1117,"data size",29240,29240,29240,29240
5,1136,"shuffle bytes written",47807,47807,47807,47807
5,1137,"shuffle records written",731,731,731,731
5,1138,"shuffle write time",2277798,2277798,2277798,2277798
5,1139,"duration",288,288,288,288
5,1140,"number of output rows",731,731,731,731
5,1141,"number of output rows",731,731,731,731
5,1142,"number of input batches",1,1,1,1
5,1644,"internal.metrics.executorDeserializeTime",21,21,21,21
5,1645,"internal.metrics.executorDeserializeCpuTime",10448710,10448710,10448710,10448710
5,1646,"internal.metrics.executorRunTime",363,363,363,363
5,1647,"internal.metrics.executorCpuTime",154348542,154348542,154348542,154348542
5,1648,"internal.metrics.resultSize",2938,2938,2938,2938
5,1649,"internal.metrics.jvmGCTime",20,20,20,20
5,1653,"internal.metrics.peakExecutionMemory",67141632,67141632,67141632,67141632
5,1672,"internal.metrics.shuffle.write.bytesWritten",47807,47807,47807,47807
5,1673,"internal.metrics.shuffle.write.recordsWritten",731,731,731,731
5,1674,"internal.metrics.shuffle.write.writeTime",2277798,2277798,2277798,2277798
5,1675,"internal.metrics.input.bytesRead",7737,7737,7737,7737
5,1676,"internal.metrics.input.recordsRead",731,731,731,731
6,590,"number of output rows",2410100,2412966,3978300,2500000000
6,591,"scan time",134,908,7403,1110166
6,1298,"data size",134965600,135134965,222784800,140000000000
6,1317,"shuffle bytes written",57772383,57854927,95217935,59937969030
6,1318,"shuffle records written",2410100,2412966,3978300,2500000000
6,1319,"shuffle write time",35046241,55452740,151699864,57449299195
6,1320,"duration",136,1615,7933,1916974
6,1321,"number of output rows",2410100,2412966,3978300,2500000000
6,1322,"number of output rows",2410100,2412966,3978300,2500000000
6,1323,"number of input batches",589,589,972,610970
6,1679,"internal.metrics.executorDeserializeTime",1,1,69,3324
6,1680,"internal.metrics.executorDeserializeCpuTime",1397574,2695932,13502382,2814825181
6,1681,"internal.metrics.executorRunTime",156,3144,9263,3537585
6,1682,"internal.metrics.executorCpuTime",59493865,2509891329,4302287004,2620326821287
6,1683,"internal.metrics.resultSize",2725,2917,2983,3067763
6,1684,"internal.metrics.jvmGCTime",10,20,546,93312
6,1685,"internal.metrics.resultSerializationTime",2,39,76,78
6,1688,"internal.metrics.peakExecutionMemory",32768,266507029,335544320,278233612288
6,1707,"internal.metrics.shuffle.write.bytesWritten",57772383,57854927,95217935,59937969030
6,1708,"internal.metrics.shuffle.write.recordsWritten",2410100,2412966,3978300,2500000000
6,1709,"internal.metrics.shuffle.write.writeTime",35046241,55452740,151699864,57449299195
