sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (48)","Sort",4
1,7,"WholeStageCodegen (47)","HashAggregate",8
1,11,"WholeStageCodegen (46)","HashAggregate",12
1,11,"WholeStageCodegen (46)","HashAggregate",13
1,11,"WholeStageCodegen (46)","HashAggregate",14
1,11,"WholeStageCodegen (46)","Project",15
1,11,"WholeStageCodegen (46)","SortMergeJoin",16
1,18,"WholeStageCodegen (44)","Sort",19
1,18,"WholeStageCodegen (44)","Project",20
1,22,"WholeStageCodegen (43)","Sort",23
1,26,"WholeStageCodegen (42)","Project",27
1,26,"WholeStageCodegen (42)","SortMergeJoin",28
1,29,"WholeStageCodegen (40)","Sort",30
1,33,"WholeStageCodegen (36)","Project",34
1,33,"WholeStageCodegen (36)","SortMergeJoin",35
1,36,"WholeStageCodegen (34)","Sort",37
1,40,"WholeStageCodegen (27)","Project",41
1,40,"WholeStageCodegen (27)","SortMergeJoin",42
1,43,"WholeStageCodegen (25)","Sort",44
1,47,"WholeStageCodegen (24)","Project",48
1,47,"WholeStageCodegen (24)","SortMergeJoin",49
1,50,"WholeStageCodegen (22)","Sort",51
1,53,"WholeStageCodegen (15)","Project",54
1,53,"WholeStageCodegen (15)","SortMergeJoin",55
1,56,"WholeStageCodegen (13)","Sort",57
1,59,"WholeStageCodegen (1)","Filter",60
1,59,"WholeStageCodegen (1)","ColumnarToRow",61
1,63,"WholeStageCodegen (14)","Sort",64
1,66,"WholeStageCodegen (2)","Filter",67
1,66,"WholeStageCodegen (2)","ColumnarToRow",68
1,70,"WholeStageCodegen (23)","Sort",71
1,73,"WholeStageCodegen (3)","Filter",74
1,73,"WholeStageCodegen (3)","ColumnarToRow",75
1,77,"WholeStageCodegen (26)","Sort",78
1,81,"WholeStageCodegen (4)","Filter",82
1,81,"WholeStageCodegen (4)","ColumnarToRow",83
1,85,"WholeStageCodegen (35)","Sort",86
1,89,"WholeStageCodegen (5)","Filter",90
1,89,"WholeStageCodegen (5)","ColumnarToRow",91
1,93,"WholeStageCodegen (41)","Sort",94
1,97,"WholeStageCodegen (6)","Filter",98
1,97,"WholeStageCodegen (6)","ColumnarToRow",99
1,101,"WholeStageCodegen (45)","Sort",102
1,101,"WholeStageCodegen (45)","HashAggregate",103
1,106,"WholeStageCodegen (39)","HashAggregate",107
1,106,"WholeStageCodegen (39)","Project",108
1,106,"WholeStageCodegen (39)","SortMergeJoin",109
1,110,"WholeStageCodegen (37)","Sort",111
1,114,"WholeStageCodegen (33)","Project",115
1,114,"WholeStageCodegen (33)","SortMergeJoin",116
1,117,"WholeStageCodegen (31)","Sort",118
1,121,"WholeStageCodegen (30)","Project",122
1,121,"WholeStageCodegen (30)","SortMergeJoin",123
1,124,"WholeStageCodegen (28)","Sort",125
1,128,"WholeStageCodegen (21)","Project",129
1,128,"WholeStageCodegen (21)","SortMergeJoin",130
1,131,"WholeStageCodegen (19)","Sort",132
1,135,"WholeStageCodegen (18)","Project",136
1,135,"WholeStageCodegen (18)","SortMergeJoin",137
1,138,"WholeStageCodegen (16)","Sort",139
1,141,"WholeStageCodegen (7)","Filter",142
1,141,"WholeStageCodegen (7)","ColumnarToRow",143
1,145,"WholeStageCodegen (17)","Sort",146
1,148,"WholeStageCodegen (8)","Filter",149
1,148,"WholeStageCodegen (8)","ColumnarToRow",150
1,152,"WholeStageCodegen (20)","Sort",153
1,156,"WholeStageCodegen (9)","Filter",157
1,156,"WholeStageCodegen (9)","ColumnarToRow",158
1,160,"WholeStageCodegen (29)","Sort",161
1,164,"WholeStageCodegen (10)","Filter",165
1,164,"WholeStageCodegen (10)","ColumnarToRow",166
1,168,"WholeStageCodegen (32)","Sort",169
1,172,"WholeStageCodegen (11)","Filter",173
1,172,"WholeStageCodegen (11)","ColumnarToRow",174
1,176,"WholeStageCodegen (38)","Sort",177
1,180,"WholeStageCodegen (12)","Filter",181
1,180,"WholeStageCodegen (12)","ColumnarToRow",182
2,1,"WholeStageCodegen (47)","HashAggregate",2
2,4,"WholeStageCodegen (46)","HashAggregate",5
2,4,"WholeStageCodegen (46)","HashAggregate",6
2,8,"WholeStageCodegen (45)","HashAggregate",9
2,8,"WholeStageCodegen (45)","Project",10
2,8,"WholeStageCodegen (45)","SortMergeJoin",11
2,12,"WholeStageCodegen (43)","Sort",13
2,15,"WholeStageCodegen (42)","Project",16
2,15,"WholeStageCodegen (42)","SortMergeJoin",17
2,18,"WholeStageCodegen (40)","Sort",19
2,22,"WholeStageCodegen (36)","Project",23
2,22,"WholeStageCodegen (36)","SortMergeJoin",24
2,25,"WholeStageCodegen (34)","Sort",26
2,29,"WholeStageCodegen (30)","Project",30
2,29,"WholeStageCodegen (30)","SortMergeJoin",31
2,32,"WholeStageCodegen (28)","Sort",33
2,36,"WholeStageCodegen (24)","Project",37
2,36,"WholeStageCodegen (24)","SortMergeJoin",38
2,39,"WholeStageCodegen (22)","Sort",40
2,42,"WholeStageCodegen (18)","Project",43
2,42,"WholeStageCodegen (18)","SortMergeJoin",44
2,45,"WholeStageCodegen (16)","Sort",46
2,48,"WholeStageCodegen (1)","Filter",49
2,48,"WholeStageCodegen (1)","ColumnarToRow",50
2,52,"WholeStageCodegen (17)","Sort",53
2,55,"WholeStageCodegen (2)","Filter",56
2,55,"WholeStageCodegen (2)","ColumnarToRow",57
2,59,"WholeStageCodegen (23)","Sort",60
2,62,"WholeStageCodegen (3)","Filter",63
2,62,"WholeStageCodegen (3)","ColumnarToRow",64
2,66,"WholeStageCodegen (29)","Sort",67
2,70,"WholeStageCodegen (4)","Filter",71
2,70,"WholeStageCodegen (4)","ColumnarToRow",72
2,74,"WholeStageCodegen (35)","Sort",75
2,78,"WholeStageCodegen (5)","Filter",79
2,78,"WholeStageCodegen (5)","ColumnarToRow",80
2,82,"WholeStageCodegen (41)","Sort",83
2,86,"WholeStageCodegen (6)","Filter",87
2,86,"WholeStageCodegen (6)","ColumnarToRow",88
2,90,"WholeStageCodegen (44)","Sort",91
2,90,"WholeStageCodegen (44)","HashAggregate",92
2,94,"WholeStageCodegen (39)","HashAggregate",95
2,94,"WholeStageCodegen (39)","Project",96
2,94,"WholeStageCodegen (39)","SortMergeJoin",97
2,98,"WholeStageCodegen (37)","Sort",99
2,102,"WholeStageCodegen (33)","Project",103
2,102,"WholeStageCodegen (33)","SortMergeJoin",104
2,105,"WholeStageCodegen (31)","Sort",106
2,109,"WholeStageCodegen (27)","Project",110
2,109,"WholeStageCodegen (27)","SortMergeJoin",111
2,112,"WholeStageCodegen (25)","Sort",113
2,116,"WholeStageCodegen (21)","Project",117
2,116,"WholeStageCodegen (21)","SortMergeJoin",118
2,119,"WholeStageCodegen (19)","Sort",120
2,122,"WholeStageCodegen (15)","Project",123
2,122,"WholeStageCodegen (15)","SortMergeJoin",124
2,125,"WholeStageCodegen (13)","Sort",126
2,128,"WholeStageCodegen (7)","Filter",129
2,128,"WholeStageCodegen (7)","ColumnarToRow",130
2,132,"WholeStageCodegen (14)","Sort",133
2,135,"WholeStageCodegen (8)","Filter",136
2,135,"WholeStageCodegen (8)","ColumnarToRow",137
2,139,"WholeStageCodegen (20)","Sort",140
2,142,"WholeStageCodegen (9)","Filter",143
2,142,"WholeStageCodegen (9)","ColumnarToRow",144
2,146,"WholeStageCodegen (26)","Sort",147
2,150,"WholeStageCodegen (10)","Filter",151
2,150,"WholeStageCodegen (10)","ColumnarToRow",152
2,154,"WholeStageCodegen (32)","Sort",155
2,158,"WholeStageCodegen (11)","Filter",159
2,158,"WholeStageCodegen (11)","ColumnarToRow",160
2,162,"WholeStageCodegen (38)","Sort",163
2,166,"WholeStageCodegen (12)","Filter",167
2,166,"WholeStageCodegen (12)","ColumnarToRow",168
