Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
43,33875,0,false
10,168742,0,false
104,10726,0,false
58,8444,0,false
177,24649,0,false
77,8690,0,false
11,168206,0,false
12,9225,0,false
21,16019,0,false
7,337162,0,false
130,7816,0,false
468,108787,0,false
35,8564,0,false
8,9215,0,false
248,43659,0,false
16,45009,0,false
222,109393,0,false
125,6619,0,false
30,11449,0,false
91,10125,0,false
204,63493,0,false
119,11294,0,false
179,24868,0,false
5,382,127,false
206,98318,0,false
79,8676,0,false
151,11211,0,false
113,14006,0,false
65,19829,0,false
88,12188,0,false
1,370434,0,false
163,16222,0,false
344,15073,0,false
2,151467,0,false
45,24243,0,false
62,14398,0,false
240,116444,0,false
178,12643,0,false
0,1064576,0,false
3,168433,0,false
52,8154,0,false
406,8411,0,false
84,8242,0,false
61,15891,0,false
109,9790,0,false
69,11314,0,false
40,8851,0,false
23,14808,0,false
191,30339,0,false
72,10833,0,false
531,81783,0,false
4,10160,0,false
6,146809,0,false
13,161592,0,false
184,18849,0,false
27,11145,0,false
137,12676,0,false
199,60661,0,false
9,309,103,false
170,15169,0,false
97,8305,0,false
144,6670,0,false
246,11524,0,false
826,0,0,true
540,0,0,true
533,167449,0,false
706,0,0,true
609,0,0,true
714,0,0,true
785,0,0,true
708,0,0,true
829,0,0,true
659,0,0,true
763,68814,0,false
677,0,0,true
786,0,0,true
703,0,0,true
624,0,0,true
791,0,0,true
681,0,0,true
787,0,0,true
594,0,0,true
836,0,0,true
767,0,0,true
721,0,0,true
538,104863,0,false
815,0,0,true
699,21437,0,false
590,0,0,true
696,0,0,true
646,0,0,true
691,19651,0,false
792,0,0,true
608,16681,0,false
657,0,0,true
589,0,0,true
613,62947,0,false
772,0,0,true
605,0,0,true
652,0,0,true
690,0,0,true
784,0,0,true
680,0,0,true
804,0,0,true
637,0,0,true
601,0,0,true
766,0,0,true
811,0,0,true
623,0,0,true
600,25303,0,false
779,0,0,true
592,0,0,true
647,0,0,true
639,139084,0,false
606,0,0,true
796,0,0,true
843,0,0,true
700,0,0,true
716,0,0,true
727,138111,34527,false
782,0,0,true
809,0,0,true
817,0,0,true
595,0,0,true
682,0,0,true
724,0,0,true
725,0,0,true
678,29843,0,false
812,0,0,true
709,0,0,true
679,0,0,true
666,0,0,true
627,0,0,true
631,0,0,true
684,13167,0,false
819,0,0,true
719,0,0,true
686,0,0,true
619,0,0,true
602,0,0,true
726,0,0,true
541,0,0,true
665,0,0,true
591,0,0,true
617,0,0,true
712,0,0,true
803,172969,0,false
630,0,0,true
800,0,0,true
612,0,0,true
532,1386105,0,false
840,0,0,true
808,0,0,true
599,0,0,true
788,0,0,true
611,0,0,true
839,0,0,true
765,0,0,true
790,0,0,true
658,0,0,true
673,0,0,true
722,0,0,true
604,0,0,true
710,0,0,true
596,0,0,true
698,0,0,true
650,0,0,true
718,0,0,true
626,0,0,true
764,0,0,true
835,0,0,true
828,0,0,true
688,0,0,true
778,0,0,true
662,0,0,true
622,0,0,true
632,0,0,true
775,0,0,true
793,0,0,true
774,0,0,true
642,0,0,true
773,0,0,true
842,0,0,true
822,0,0,true
581,0,0,true
789,0,0,true
674,35450,0,false
656,0,0,true
810,0,0,true
769,0,0,true
795,0,0,true
833,0,0,true
671,270035,0,false
588,11992,0,false
535,163638,0,false
607,23873,0,false
638,0,0,true
707,0,0,true
615,0,0,true
548,0,0,true
593,0,0,true
827,0,0,true
655,0,0,true
618,0,0,true
771,0,0,true
695,0,0,true
550,0,0,true
798,0,0,true
620,0,0,true
663,0,0,true
683,0,0,true
629,0,0,true
634,0,0,true
664,0,0,true
610,0,0,true
807,0,0,true
685,0,0,true
777,0,0,true
781,0,0,true
676,0,0,true
821,0,0,true
776,0,0,true
805,0,0,true
816,0,0,true
598,0,0,true
844,144,0,false
687,0,0,true
801,0,0,true
720,0,0,true
841,0,0,true
705,0,0,true
823,0,0,true
653,0,0,true
831,0,0,true
692,0,0,true
539,0,0,true
837,0,0,true
799,0,0,true
661,0,0,true
802,0,0,true
542,0,0,true
675,0,0,true
625,0,0,true
669,0,0,true
693,0,0,true
711,0,0,true
534,148676,0,false
670,0,0,true
783,0,0,true
640,0,0,true
621,0,0,true
780,0,0,true
633,0,0,true
543,0,0,true
814,0,0,true
704,0,0,true
723,0,0,true
697,0,0,true
654,0,0,true
830,0,0,true
694,0,0,true
667,0,0,true
717,0,0,true
797,0,0,true
648,0,0,true
597,0,0,true
536,24225,0,false
813,0,0,true
770,0,0,true
672,0,0,true
806,0,0,true
702,0,0,true
768,0,0,true
643,74150,0,false
832,0,0,true
614,0,0,true
641,119036,0,false
644,0,0,true
713,0,0,true
660,0,0,true
537,288,96,false
838,0,0,true
635,0,0,true
651,0,0,true
818,0,0,true
701,0,0,true
824,0,0,true
715,0,0,true
794,0,0,true
558,0,0,true
616,0,0,true
636,0,0,true
603,0,0,true
547,0,0,true
689,0,0,true
668,0,0,true
825,0,0,true
834,0,0,true
645,0,0,true
649,0,0,true
628,0,0,true
820,0,0,true
