SQL ID,Stage ID,ExecId,Unsupported Type,Unsupported Operator,Details,Stage Duration,App Duration,Action
0,-1,0,Exec,"Execute CreateDataSourceTableAsSelectCommand","Unsupported",0,385422,IgnorePerf
1,531,1,Exec,"AdaptiveSparkPlan","Unsupported",46027,385422,IgnoreNoPerf
1,0,2,Exec,"ColumnarToRow","Unsupported",74654,385422,IgnoreNoPerf
1,1,3,Exec,"ColumnarToRow","Unsupported",107885,385422,IgnoreNoPerf
1,2,4,Exec,"ColumnarToRow","Unsupported",71086,385422,IgnoreNoPerf
1,3,5,Exec,"ColumnarToRow","Unsupported",75385,385422,IgnoreNoPerf
1,4,6,Exec,"ColumnarToRow","Unsupported",75707,385422,IgnoreNoPerf
1,5,7,Exec,"ColumnarToRow","Unsupported",71424,385422,IgnoreNoPerf
1,5,8,ReadExec,"Scan parquet","Unsupported IO format",71424,385422,Triage
1,6,9,Exec,"ColumnarToRow","Unsupported",81449,385422,IgnoreNoPerf
1,7,10,Exec,"ColumnarToRow","Unsupported",129235,385422,IgnoreNoPerf
1,8,11,Exec,"ColumnarToRow","Unsupported",84050,385422,IgnoreNoPerf
1,9,12,Exec,"ColumnarToRow","Unsupported",79570,385422,IgnoreNoPerf
1,9,13,ReadExec,"Scan parquet","Unsupported IO format",79570,385422,Triage
1,10,14,Exec,"ColumnarToRow","Unsupported",87589,385422,IgnoreNoPerf
1,11,15,Exec,"ColumnarToRow","Unsupported",94558,385422,IgnoreNoPerf
1,12,16,Exec,"ColumnarToRow","Unsupported",92172,385422,IgnoreNoPerf
1,13,17,Exec,"ColumnarToRow","Unsupported",98070,385422,IgnoreNoPerf
2,844,18,Exec,"AdaptiveSparkPlan","Unsupported",146,385422,IgnoreNoPerf
2,532,19,Exec,"ColumnarToRow","Unsupported",57070,385422,IgnoreNoPerf
2,533,20,Exec,"ColumnarToRow","Unsupported",8695,385422,IgnoreNoPerf
2,534,21,Exec,"ColumnarToRow","Unsupported",12009,385422,IgnoreNoPerf
2,535,22,Exec,"ColumnarToRow","Unsupported",15603,385422,IgnoreNoPerf
2,536,23,Exec,"ColumnarToRow","Unsupported",14558,385422,IgnoreNoPerf
2,537,24,Exec,"ColumnarToRow","Unsupported",14777,385422,IgnoreNoPerf
2,537,25,ReadExec,"Scan parquet","Unsupported IO format",14777,385422,Triage
2,538,26,Exec,"ColumnarToRow","Unsupported",0,385422,IgnoreNoPerf
2,-1,27,Exec,"ColumnarToRow","Unsupported",0,385422,IgnoreNoPerf
2,-1,28,Exec,"ColumnarToRow","Unsupported",0,385422,IgnoreNoPerf
2,-1,29,Exec,"ColumnarToRow","Unsupported",0,385422,IgnoreNoPerf
2,-1,30,Exec,"ColumnarToRow","Unsupported",0,385422,IgnoreNoPerf
2,-1,31,ReadExec,"Scan parquet","Unsupported IO format",0,385422,Triage
2,-1,32,Exec,"ColumnarToRow","Unsupported",0,385422,IgnoreNoPerf
