stageId,accumulatorId,name,min,median,max,total
0,297,"number of output rows",460000,2085083,2410100,12510500
0,298,"scan time",113,587,38080,969507
0,6199,"data size",28488448,132034164,152756288,792204992
0,6218,"shuffle bytes written",15077581,69129277,79950110,414775664
0,6219,"shuffle records written",445132,2063033,2386817,12378203
0,6220,"shuffle write time",14940454,40361790,47748035,242170751
0,6221,"duration",114,596,38218,982585
0,6222,"number of output rows",445132,2063033,2386817,12378203
0,6223,"number of output rows",460000,2085083,2410100,12510500
0,6224,"number of input batches",113,509,589,3058
0,9533,"internal.metrics.executorDeserializeTime",1,5,1914,32812
0,9534,"internal.metrics.executorDeserializeCpuTime",1133154,13064287,551817358,13639386555
0,9535,"internal.metrics.executorRunTime",115,646,39776,1024407
0,9536,"internal.metrics.executorCpuTime",40030937,116870686,4952546397,122013256967
0,9537,"internal.metrics.resultSize",2724,2724,2982,2848985
0,9538,"internal.metrics.jvmGCTime",6,194,528,9688
0,9539,"internal.metrics.resultSerializationTime",1,1,6,84
0,9542,"internal.metrics.peakExecutionMemory",32768,1390248,268435456,1451687936
0,9561,"internal.metrics.shuffle.write.bytesWritten",15077581,69129277,79950110,414775664
0,9562,"internal.metrics.shuffle.write.recordsWritten",445132,2063033,2386817,12378203
0,9563,"internal.metrics.shuffle.write.writeTime",14940454,40361790,47748035,242170751
0,9564,"internal.metrics.input.bytesRead",1005925,1005925,1036961,1050370932
0,9565,"internal.metrics.input.recordsRead",460000,2085083,2410100,12510500
1,328,"number of output rows",80000,80000,80000,2000000
1,329,"scan time",6605,13860,50153,346657
1,6228,"data size",4470592,4471652,4473168,111791456
1,6247,"shuffle bytes written",1464242,1466900,1469933,36672659
1,6248,"shuffle records written",79832,79844,79878,1996276
1,6249,"shuffle write time",4953677,6359124,8992434,158978261
1,6250,"duration",6697,14157,51449,354085
1,6251,"number of output rows",79832,79844,79878,1996276
1,6252,"number of output rows",80000,80000,80000,2000000
1,6253,"number of input batches",32,32,32,800
1,9568,"internal.metrics.executorDeserializeTime",1,326,2023,8322
1,9569,"internal.metrics.executorDeserializeCpuTime",1370841,59812615,469955021,1495315535
1,9570,"internal.metrics.executorRunTime",6915,14462,52224,361742
1,9571,"internal.metrics.executorCpuTime",573953972,1178088798,3318263940,29452220085
1,9572,"internal.metrics.resultSize",2896,2921,2983,73186
1,9573,"internal.metrics.jvmGCTime",66,106,221,1756
1,9574,"internal.metrics.resultSerializationTime",3,3,3,6
1,9577,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,9596,"internal.metrics.shuffle.write.bytesWritten",1464242,1466900,1469933,36672659
1,9597,"internal.metrics.shuffle.write.recordsWritten",79832,79844,79878,1996276
1,9598,"internal.metrics.shuffle.write.writeTime",4953677,6359124,8992434,158978261
1,9599,"internal.metrics.input.bytesRead",364124,364458,364692,9111616
1,9600,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,359,"number of output rows",119980,119994,120023,3000000
2,360,"scan time",5443,5814,6303,145454
2,6257,"data size",3839360,3839994,3840736,96000000
2,6276,"shuffle bytes written",939851,940635,941223,23515992
2,6277,"shuffle records written",119980,119994,120023,3000000
2,6278,"shuffle write time",3503984,5033729,6941890,125843368
2,6279,"duration",5505,5878,6431,147084
2,6280,"number of output rows",119980,119994,120023,3000000
2,6281,"number of output rows",119980,119994,120023,3000000
2,6282,"number of input batches",32,32,32,800
2,9603,"internal.metrics.executorDeserializeTime",1,1,33,172
2,9604,"internal.metrics.executorDeserializeCpuTime",1356694,3396197,9867286,84905085
2,9605,"internal.metrics.executorRunTime",5615,6040,6725,151117
2,9606,"internal.metrics.executorCpuTime",434239154,667819942,1294851360,16695498687
2,9607,"internal.metrics.resultSize",2896,2896,2939,72537
2,9609,"internal.metrics.resultSerializationTime",1,1,1,3
2,9612,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,9631,"internal.metrics.shuffle.write.bytesWritten",939851,940635,941223,23515992
2,9632,"internal.metrics.shuffle.write.recordsWritten",119980,119994,120023,3000000
2,9633,"internal.metrics.shuffle.write.writeTime",3503984,5033729,6941890,125843368
2,9634,"internal.metrics.input.bytesRead",234462,234462,234464,5861590
2,9635,"internal.metrics.input.recordsRead",119980,119994,120023,3000000
3,390,"number of output rows",19980,19993,20012,500000
3,391,"scan time",6138,6574,7031,164448
3,6286,"data size",1099176,1101489,1102864,27537360
3,6305,"shuffle bytes written",484235,485974,487175,12149531
3,6306,"shuffle records written",19980,19993,20012,500000
3,6307,"shuffle write time",3114419,3999193,6042971,99979971
3,6308,"duration",6164,6605,7109,165280
3,6309,"number of output rows",19980,19993,20012,500000
3,6310,"number of output rows",19980,19993,20012,500000
3,6311,"number of input batches",32,32,32,800
3,9638,"internal.metrics.executorDeserializeTime",1,1,23,174
3,9639,"internal.metrics.executorDeserializeCpuTime",1382623,3564604,13441490,89115257
3,9640,"internal.metrics.executorRunTime",6244,6718,7347,168072
3,9641,"internal.metrics.executorCpuTime",418306343,586336367,1200506784,14658409295
3,9642,"internal.metrics.resultSize",2896,2897,2939,72583
3,9643,"internal.metrics.jvmGCTime",69,69,69,276
3,9647,"internal.metrics.peakExecutionMemory",67633152,67633152,67633152,1690828800
3,9666,"internal.metrics.shuffle.write.bytesWritten",484235,485974,487175,12149531
3,9667,"internal.metrics.shuffle.write.recordsWritten",19980,19993,20012,500000
3,9668,"internal.metrics.shuffle.write.writeTime",3114419,3999193,6042971,99979971
3,9669,"internal.metrics.input.bytesRead",299700,300033,300407,7500963
3,9670,"internal.metrics.input.recordsRead",19980,19993,20012,500000
4,421,"number of output rows",2500,2500,2500,5000
4,422,"scan time",4512,4781,5051,9563
4,6315,"data size",129944,130000,130056,260000
4,6334,"shuffle bytes written",121502,121924,122346,243848
4,6335,"shuffle records written",2500,2500,2500,5000
4,6336,"shuffle write time",2729094,4537886,6346679,9075773
4,6337,"duration",4531,4823,5115,9646
4,6338,"number of output rows",2500,2500,2500,5000
4,6339,"number of output rows",2500,2500,2500,5000
4,6340,"number of input batches",25,25,25,50
4,9673,"internal.metrics.executorDeserializeTime",12,12,13,25
4,9674,"internal.metrics.executorDeserializeCpuTime",5923265,7000259,8077254,14000519
4,9675,"internal.metrics.executorRunTime",4647,5050,5453,10100
4,9676,"internal.metrics.executorCpuTime",461277573,779182558,1097087543,1558365116
4,9677,"internal.metrics.resultSize",2896,2896,2897,5793
4,9682,"internal.metrics.peakExecutionMemory",67174400,67174400,67174400,134348800
4,9701,"internal.metrics.shuffle.write.bytesWritten",121502,121924,122346,243848
4,9702,"internal.metrics.shuffle.write.recordsWritten",2500,2500,2500,5000
4,9703,"internal.metrics.shuffle.write.writeTime",2729094,4537886,6346679,9075773
4,9704,"internal.metrics.input.bytesRead",189176,189185,189194,378370
4,9705,"internal.metrics.input.recordsRead",2500,2500,2500,5000
5,452,"number of output rows",731,731,731,731
5,453,"scan time",256,256,256,256
5,6344,"data size",29240,29240,29240,29240
5,6363,"shuffle bytes written",47807,47807,47807,47807
5,6364,"shuffle records written",731,731,731,731
5,6365,"shuffle write time",2124620,2124620,2124620,2124620
5,6366,"duration",277,277,277,277
5,6367,"number of output rows",731,731,731,731
5,6368,"number of output rows",731,731,731,731
5,6369,"number of input batches",1,1,1,1
5,9708,"internal.metrics.executorDeserializeTime",11,11,11,11
5,9709,"internal.metrics.executorDeserializeCpuTime",4881676,4881676,4881676,4881676
5,9710,"internal.metrics.executorRunTime",365,365,365,365
5,9711,"internal.metrics.executorCpuTime",134464710,134464710,134464710,134464710
5,9712,"internal.metrics.resultSize",2896,2896,2896,2896
5,9717,"internal.metrics.peakExecutionMemory",67141632,67141632,67141632,67141632
5,9736,"internal.metrics.shuffle.write.bytesWritten",47807,47807,47807,47807
5,9737,"internal.metrics.shuffle.write.recordsWritten",731,731,731,731
5,9738,"internal.metrics.shuffle.write.writeTime",2124620,2124620,2124620,2124620
5,9739,"internal.metrics.input.bytesRead",10433,10433,10433,10433
5,9740,"internal.metrics.input.recordsRead",731,731,731,731
6,697,"number of output rows",119980,119993,120023,3000000
6,698,"scan time",5415,5693,6554,142471
6,6531,"data size",1919680,1919994,1920368,48000000
6,6550,"shuffle bytes written",817907,819889,822545,20497380
