stageId,stageAttemptId,taskId,attempt,taskDurationSec,avgDurationSec,taskShuffleReadMB,avgShuffleReadMB,taskPeakMemoryMB,successful,reason
61,0,17723,0,10.74,2.6,141.93,26.57,1472.06,true,"Success"
61,0,17772,0,10.70,2.6,141.00,26.57,1408.06,true,"Success"
61,0,19204,0,8.91,2.6,144.39,26.57,1472.06,true,"Success"
61,0,19338,0,8.52,2.6,140.47,26.57,1408.06,true,"Success"
65,0,19440,0,7.89,2.1,119.66,22.18,1344.06,true,"Success"
65,0,19490,0,7.23,2.1,118.55,22.18,1280.06,true,"Success"
65,0,19604,0,7.53,2.1,121.70,22.18,1344.06,true,"Success"
65,0,19739,0,7.27,2.1,118.45,22.18,1344.06,true,"Success"
70,0,18095,0,8.85,2.2,101.10,18.74,1088.06,true,"Success"
70,0,18145,0,9.19,2.2,100.19,18.74,1088.06,true,"Success"
70,0,18263,0,8.85,2.2,102.87,18.74,1088.06,true,"Success"
70,0,18403,0,8.43,2.2,100.07,18.74,1088.06,true,"Success"
81,0,20857,0,8.37,1.5,101.16,18.40,1216.06,true,"Success"
104,0,22592,0,8.46,2.9,110.34,28.89,1056.06,true,"Success"
314,0,37706,0,4.58,2.0,114.36,30.27,641.06,true,"Success"
314,0,37710,0,5.82,2.0,179.64,30.27,1025.06,true,"Success"
314,0,37716,0,4.86,2.0,135.99,30.27,769.06,true,"Success"
314,0,37727,0,5.01,2.0,135.97,30.27,769.06,true,"Success"
314,0,37742,0,4.19,2.0,106.94,30.27,641.06,true,"Success"
314,0,37773,0,8.03,2.0,252.08,30.27,1217.06,true,"Success"
314,0,37811,0,3.80,2.0,111.92,30.27,769.06,true,"Success"
314,0,37822,0,8.93,2.0,289.92,30.27,1473.06,true,"Success"
314,0,37823,0,4.07,2.0,115.73,30.27,769.06,true,"Success"
314,0,37835,0,5.33,2.0,136.94,30.27,769.06,true,"Success"
314,0,37842,0,5.60,2.0,149.82,30.27,897.06,true,"Success"
314,0,37871,0,4.53,2.0,101.95,30.27,641.06,true,"Success"
314,0,37878,0,4.13,2.0,118.65,30.27,769.06,true,"Success"
314,0,37886,0,4.03,2.0,101.59,30.27,641.06,true,"Success"
314,0,37888,0,4.64,2.0,106.98,30.27,641.06,true,"Success"
314,0,37903,0,4.10,2.0,115.83,30.27,769.06,true,"Success"
314,0,37926,0,5.56,2.0,163.57,30.27,897.06,true,"Success"
314,0,37929,0,5.97,2.0,180.79,30.27,1025.06,true,"Success"
314,0,37938,0,6.90,2.0,219.95,30.27,1153.06,true,"Success"
314,0,37939,0,4.76,2.0,139.50,30.27,769.06,true,"Success"
314,0,37946,0,3.58,2.0,111.47,30.27,769.06,true,"Success"
314,0,37952,0,4.25,2.0,113.64,30.27,769.06,true,"Success"
314,0,37983,0,7.80,2.0,277.19,30.27,1473.06,true,"Success"
