sqlID,nodeID,SQL Node,Child Node,Child NodeID
1,3,"WholeStageCodegen (386)","Sort",4
1,7,"WholeStageCodegen (385)","HashAggregate",8
1,7,"WholeStageCodegen (385)","HashAggregate",9
1,7,"WholeStageCodegen (385)","Project",10
1,7,"WholeStageCodegen (385)","SortMergeJoin",11
1,12,"WholeStageCodegen (383)","Sort",13
1,15,"WholeStageCodegen (379)","Project",16
1,15,"WholeStageCodegen (379)","SortMergeJoin",17
1,18,"WholeStageCodegen (377)","Sort",19
1,21,"WholeStageCodegen (367)","Project",22
1,21,"WholeStageCodegen (367)","SortMergeJoin",23
1,24,"WholeStageCodegen (365)","Sort",25
1,27,"WholeStageCodegen (348)","Project",28
1,27,"WholeStageCodegen (348)","SortMergeJoin",29
1,30,"WholeStageCodegen (346)","Sort",31
1,33,"WholeStageCodegen (318)","Project",34
1,33,"WholeStageCodegen (318)","Project",35
1,33,"WholeStageCodegen (318)","SortMergeJoin",36
1,37,"WholeStageCodegen (316)","Sort",38
1,41,"WholeStageCodegen (243)","Project",42
1,41,"WholeStageCodegen (243)","SortMergeJoin",43
1,44,"WholeStageCodegen (241)","Sort",45
1,48,"WholeStageCodegen (195)","Project",49
1,48,"WholeStageCodegen (195)","SortMergeJoin",50
1,51,"WholeStageCodegen (193)","Sort",52
1,55,"WholeStageCodegen (147)","Project",56
1,55,"WholeStageCodegen (147)","SortMergeJoin",57
1,58,"WholeStageCodegen (145)","Sort",59
1,61,"WholeStageCodegen (99)","Project",62
1,61,"WholeStageCodegen (99)","SortMergeJoin",63
1,64,"WholeStageCodegen (97)","Sort",65
1,67,"WholeStageCodegen (1)","Filter",68
1,67,"WholeStageCodegen (1)","ColumnarToRow",69
1,71,"WholeStageCodegen (98)","Sort",72
1,74,"WholeStageCodegen (2)","Filter",75
1,74,"WholeStageCodegen (2)","ColumnarToRow",76
1,78,"WholeStageCodegen (146)","Sort",79
1,81,"WholeStageCodegen (3)","Filter",82
1,81,"WholeStageCodegen (3)","ColumnarToRow",83
1,85,"WholeStageCodegen (194)","Sort",86
1,89,"WholeStageCodegen (4)","Filter",90
1,89,"WholeStageCodegen (4)","ColumnarToRow",91
1,93,"WholeStageCodegen (242)","Sort",94
1,97,"WholeStageCodegen (5)","Filter",98
1,97,"WholeStageCodegen (5)","ColumnarToRow",99
1,101,"WholeStageCodegen (317)","Sort",102
1,105,"WholeStageCodegen (6)","Filter",106
1,105,"WholeStageCodegen (6)","ColumnarToRow",107
1,109,"WholeStageCodegen (347)","Sort",110
1,109,"WholeStageCodegen (347)","HashAggregate",111
1,113,"WholeStageCodegen (297)","HashAggregate",114
1,113,"WholeStageCodegen (297)","Project",115
1,113,"WholeStageCodegen (297)","SortMergeJoin",116
1,117,"WholeStageCodegen (295)","Sort",118
1,121,"WholeStageCodegen (252)","Project",122
1,121,"WholeStageCodegen (252)","SortMergeJoin",123
1,124,"WholeStageCodegen (250)","Sort",125
1,128,"WholeStageCodegen (204)","Project",129
1,128,"WholeStageCodegen (204)","SortMergeJoin",130
1,131,"WholeStageCodegen (202)","Sort",132
1,135,"WholeStageCodegen (150)","Project",136
1,135,"WholeStageCodegen (150)","SortMergeJoin",137
1,138,"WholeStageCodegen (148)","Sort",139
1,141,"WholeStageCodegen (102)","Project",142
1,141,"WholeStageCodegen (102)","SortMergeJoin",143
1,144,"WholeStageCodegen (100)","Sort",145
1,147,"WholeStageCodegen (7)","Filter",148
1,147,"WholeStageCodegen (7)","ColumnarToRow",149
1,151,"WholeStageCodegen (101)","Sort",152
1,154,"WholeStageCodegen (8)","Project",155
1,154,"WholeStageCodegen (8)","Filter",156
1,154,"WholeStageCodegen (8)","ColumnarToRow",157
1,159,"WholeStageCodegen (149)","Sort",160
1,162,"WholeStageCodegen (9)","Filter",163
1,162,"WholeStageCodegen (9)","ColumnarToRow",164
1,166,"WholeStageCodegen (203)","Sort",167
1,170,"WholeStageCodegen (10)","Filter",171
1,170,"WholeStageCodegen (10)","ColumnarToRow",172
1,174,"WholeStageCodegen (251)","Sort",175
1,178,"WholeStageCodegen (11)","Filter",179
1,178,"WholeStageCodegen (11)","ColumnarToRow",180
1,182,"WholeStageCodegen (296)","Sort",183
1,186,"WholeStageCodegen (12)","Filter",187
1,186,"WholeStageCodegen (12)","ColumnarToRow",188
1,190,"WholeStageCodegen (366)","Sort",191
1,193,"WholeStageCodegen (358)","HashAggregate",194
1,193,"WholeStageCodegen (358)","HashAggregate",195
1,193,"WholeStageCodegen (358)","Sort",196
1,198,"WholeStageCodegen (339)","Project",199
1,198,"WholeStageCodegen (339)","SortMergeJoin",200
1,201,"WholeStageCodegen (337)","Sort",202
1,204,"WholeStageCodegen (294)","Project",205
1,204,"WholeStageCodegen (294)","SortMergeJoin",206
1,207,"WholeStageCodegen (292)","Sort",208
1,211,"WholeStageCodegen (255)","Project",212
1,211,"WholeStageCodegen (255)","SortMergeJoin",213
1,214,"WholeStageCodegen (253)","Sort",215
1,218,"WholeStageCodegen (207)","Project",219
1,218,"WholeStageCodegen (207)","SortMergeJoin",220
1,221,"WholeStageCodegen (205)","Sort",222
1,224,"WholeStageCodegen (206)","Sort",225
1,227,"WholeStageCodegen (254)","Sort",228
1,230,"WholeStageCodegen (293)","Sort",231
1,233,"WholeStageCodegen (338)","Sort",234
1,233,"WholeStageCodegen (338)","HashAggregate",235
1,237,"WholeStageCodegen (300)","HashAggregate",238
1,237,"WholeStageCodegen (300)","Project",239
1,237,"WholeStageCodegen (300)","SortMergeJoin",240
