SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Exec","Sort",35,true,"42:20:46:84:221:133:60:28:65:13:73:105:17:35:31:55:23:19:15"
1,"Exec","Exchange",29,true,"0:5:10:42:20:46:84:133:1:6:60:28:65:9:13:73:105:2:17:191:7:3:35:31:55:23:8:4:15"
1,"Expr","isnotnull",23,true,"0:5:10:14:1:6:33:9:2:27:12:7:3:18:16:11:8:58:4"
1,"Exec","AQEShuffleRead",20,true,"42:46:84:221:60:28:65:73:191:35:162:55"
1,"Exec","Project",17,true,"42:20:46:84:133:60:28:65:13:73:105:17:35:31:55:23:19:15"
1,"Exec","SortMergeJoin",17,true,"42:20:46:84:133:60:28:65:13:73:105:17:35:31:55:23:19:15"
1,"Expr","And",12,true,"0:1:6:33:12:3:16:11"
1,"Exec","ColumnarToRow",11,false,"0:5:10:14:1:6:33:9:2:27:12:7:3:18:16:11:8:58:4"
1,"Exec","Filter",11,true,"0:5:10:14:1:6:33:9:2:27:12:7:3:18:16:11:8:58:4"
1,"Expr","sum",10,true,"133:73:105:191:162:55"
1,"Exec","Scan parquet",9,true,"0:10:14:1:6:33:2:27:12:7:3:18:16:11:8:58:4"
1,"Exec","HashAggregate",6,true,"133:73:105:191:162:55"
1,"Expr","avg",4,true,"191:162:133"
1,"Exec","Scan parquet",2,false,"5:9"
1,"Expr","count",2,true,"191:162:133"
1,"Exec","AdaptiveSparkPlan",1,false,"221"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"221"
1,"Exec","WriteFiles",1,true,"221"
2,"Exec","Sort",34,true,"257:261:321:253:243:292:248:349:285:237:245:278:267:235:300:273:239"
2,"Exec","Exchange",29,true,"257:228:261:321:253:243:292:248:349:229:285:224:225:237:230:245:278:223:226:267:231:378:235:300:273:239:227:222:232"
2,"Expr","isnotnull",23,true,"228:229:224:225:230:223:226:231:227:222:232"
2,"Exec","AQEShuffleRead",17,true,"257:253:292:285:278:267:378:300:273"
2,"Exec","Project",17,true,"257:261:321:253:243:292:248:349:285:237:245:278:267:235:300:273:239"
2,"Exec","SortMergeJoin",17,true,"257:261:321:253:243:292:248:349:285:237:245:278:267:235:300:273:239"
2,"Expr","And",12,true,"222:223:225:228"
2,"Exec","ColumnarToRow",11,false,"228:229:224:225:230:223:226:231:227:222:232"
2,"Exec","Filter",11,true,"228:229:224:225:230:223:226:231:227:222:232"
2,"Exec","Scan parquet",9,true,"228:229:224:225:230:223:226:222:232"
2,"Exec","HashAggregate",8,true,"408:321:292:349:285:378"
2,"Exec","Scan parquet",2,false,"227:231"
2,"Expr","count",2,true,"408:378"
2,"Exec","AdaptiveSparkPlan",1,false,"408"
