Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
20,19733743,0,false
7,158669,0,false
65,562822,0,false
14,43198,0,false
1,153270,0,false
3,167348,0,false
162,457037,0,false
6,4031358,0,false
13,6597845,0,false
28,4677778,0,false
4,9083,0,false
60,723172,0,false
16,794878,0,false
84,882342,0,false
2,146949,0,false
17,34743012,0,false
105,2045703,0,false
8,22033,0,false
19,2200913,0,false
33,38364,0,false
23,14582941,0,false
9,281,93,false
12,50527,0,false
35,1440707,0,false
58,5808,0,false
191,301823,0,false
18,65662,0,false
221,8748,0,false
11,1707903,0,false
5,260,86,false
27,24102,0,false
46,773028,0,false
133,2015266,0,false
73,652015,0,false
55,849980,0,false
10,176773,0,false
15,15013884,0,false
31,8631946,0,false
42,533234,0,false
0,5086373,0,false
321,1701854,0,false
408,50,0,false
253,997172,0,false
228,3684075,0,false
243,1857041,0,false
227,337,112,false
278,423904,0,false
225,249815,0,false
261,726938,0,false
248,1473063,0,false
232,296283,0,false
273,489880,0,false
245,1728419,0,false
235,4416032,0,false
378,164870,0,false
224,281107,0,false
222,4373611,0,false
285,565425,0,false
223,295557,0,false
300,804971,0,false
230,15919,0,false
229,254294,0,false
231,392,130,false
267,698237,0,false
349,1456675,0,false
239,3472432,0,false
292,744649,0,false
237,3829004,0,false
257,900951,0,false
226,15891,0,false
