SQL ID,Stage ID,ExecId,Unsupported Type,Unsupported Operator,Details,Stage Duration,App Duration,Action
0,-1,0,Exec,"Execute CreateDataSourceTableAsSelectCommand","Unsupported",0,730214,IgnorePerf
1,221,1,Exec,"AdaptiveSparkPlan","Unsupported",1847,730214,IgnoreNoPerf
1,11,2,Exec,"ColumnarToRow","Unsupported",42594,730214,IgnoreNoPerf
1,0,2,Exec,"ColumnarToRow","Unsupported",193839,730214,IgnoreNoPerf
1,1,3,Exec,"ColumnarToRow","Unsupported",158783,730214,IgnoreNoPerf
1,12,3,Exec,"ColumnarToRow","Unsupported",29298,730214,IgnoreNoPerf
1,2,4,Exec,"ColumnarToRow","Unsupported",163923,730214,IgnoreNoPerf
1,18,4,Exec,"ColumnarToRow","Unsupported",40008,730214,IgnoreNoPerf
1,3,5,Exec,"ColumnarToRow","Unsupported",169652,730214,IgnoreNoPerf
1,33,5,Exec,"ColumnarToRow","Unsupported",7990,730214,IgnoreNoPerf
1,58,6,Exec,"ColumnarToRow","Unsupported",5811,730214,IgnoreNoPerf
1,4,6,Exec,"ColumnarToRow","Unsupported",167503,730214,IgnoreNoPerf
1,5,7,Exec,"ColumnarToRow","Unsupported",163238,730214,IgnoreNoPerf
1,5,8,ReadExec,"Scan parquet","Unsupported IO format",163238,730214,Triage
1,16,9,Exec,"ColumnarToRow","Unsupported",37223,730214,IgnoreNoPerf
1,6,9,Exec,"ColumnarToRow","Unsupported",283457,730214,IgnoreNoPerf
1,7,10,Exec,"ColumnarToRow","Unsupported",248765,730214,IgnoreNoPerf
1,27,10,Exec,"ColumnarToRow","Unsupported",11007,730214,IgnoreNoPerf
1,8,11,Exec,"ColumnarToRow","Unsupported",251657,730214,IgnoreNoPerf
1,9,12,Exec,"ColumnarToRow","Unsupported",234547,730214,IgnoreNoPerf
1,9,13,ReadExec,"Scan parquet","Unsupported IO format",234547,730214,Triage
1,14,14,Exec,"ColumnarToRow","Unsupported",41030,730214,IgnoreNoPerf
1,10,14,Exec,"ColumnarToRow","Unsupported",249963,730214,IgnoreNoPerf
2,408,15,Exec,"AdaptiveSparkPlan","Unsupported",52,730214,IgnoreNoPerf
2,222,16,Exec,"ColumnarToRow","Unsupported",11197,730214,IgnoreNoPerf
2,223,17,Exec,"ColumnarToRow","Unsupported",5906,730214,IgnoreNoPerf
2,224,18,Exec,"ColumnarToRow","Unsupported",6590,730214,IgnoreNoPerf
2,225,19,Exec,"ColumnarToRow","Unsupported",7188,730214,IgnoreNoPerf
2,226,20,Exec,"ColumnarToRow","Unsupported",6914,730214,IgnoreNoPerf
2,227,21,Exec,"ColumnarToRow","Unsupported",6851,730214,IgnoreNoPerf
2,227,22,ReadExec,"Scan parquet","Unsupported IO format",6851,730214,Triage
2,228,23,Exec,"ColumnarToRow","Unsupported",16997,730214,IgnoreNoPerf
2,229,24,Exec,"ColumnarToRow","Unsupported",12690,730214,IgnoreNoPerf
2,230,25,Exec,"ColumnarToRow","Unsupported",11994,730214,IgnoreNoPerf
2,231,26,Exec,"ColumnarToRow","Unsupported",11510,730214,IgnoreNoPerf
2,231,27,ReadExec,"Scan parquet","Unsupported IO format",11510,730214,Triage
2,232,28,Exec,"ColumnarToRow","Unsupported",13059,730214,IgnoreNoPerf
