sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",9550,"number of written files",5,5,5,5,"sum","221"
1,1,"Execute InsertIntoHadoopFsRelationCommand",9551,"written output",1040690,1040690,1040690,1040690,"size","221"
1,1,"Execute InsertIntoHadoopFsRelationCommand",9552,"number of output rows",30312,30312,30312,30312,"sum","221"
1,1,"Execute InsertIntoHadoopFsRelationCommand",9553,"number of dynamic part",0,0,0,0,"sum","221"
1,1,"Execute InsertIntoHadoopFsRelationCommand",9554,"task commit time",389,490,552,2454,"timing","221"
1,1,"Execute InsertIntoHadoopFsRelationCommand",9555,"job commit time",790,790,790,790,"timing","221"
1,3,"WholeStageCodegen (71)",9556,"duration",778,821,966,4108,"timing","221"
1,4,"Sort",9557,"sort time",0,0,0,0,"timing","221"
1,4,"Sort",9558,"peak memory",67371008,67423436,67633152,337117184,"size","221"
1,4,"Sort",9559,"spill size",0,0,0,0,"size","221"
1,5,"AQEShuffleRead",9560,"number of partitions",5,5,5,5,"sum",""
1,5,"AQEShuffleRead",9561,"partition data size",1050198,1051835,1914692,6120982,"size",""
1,5,"AQEShuffleRead",9562,"number of coalesced partitions",5,5,5,5,"sum",""
1,6,"Exchange",9448,"data size",3856,6614,12856,4924568,"size","191,221"
1,6,"Exchange",9449,"number of partitions",800,800,800,800,"sum","191,221"
1,6,"Exchange",9450,"remote blocks read",5023,5876,9144,29382,"sum","191,221"
1,6,"Exchange",9451,"local blocks read",23,35,53,179,"sum","191,221"
1,6,"Exchange",9452,"remote bytes read",995874,1163012,1818893,5815063,"size","191,221"
1,6,"Exchange",9454,"local bytes read",4669,7028,10413,35146,"size","191,221"
1,6,"Exchange",9455,"fetch wait time",0,0,0,0,"timing","191,221"
1,6,"Exchange",9456,"records read",5190,6061,9435,30312,"sum","191,221"
1,6,"Exchange",9465,"remote reqs duration",2628,2991,3439,14962,"timing","191,221"
1,6,"Exchange",9467,"shuffle bytes written",4645,7886,15165,5850209,"size","191,221"
1,6,"Exchange",9468,"shuffle records written",24,26,79,30312,"sum","191,221"
1,6,"Exchange",9469,"shuffle write time",121991,243762,964787,176855156,"nsTiming","191,221"
1,7,"WholeStageCodegen (70)",9470,"duration",88,143,446,511333,"timing","191,162"
1,8,"HashAggregate",9471,"number of output rows",24,26,79,90936,"sum","191,162"
1,8,"HashAggregate",9472,"peak memory",67371008,67371008,67371008,146531942400,"size","191,162"
1,8,"HashAggregate",9474,"time in aggregation build",76,115,395,420158,"timing","191,162"
1,8,"HashAggregate",9475,"avg hash probes per key",10,10,10,21750,"average","191,162"
1,9,"AQEShuffleRead",9477,"number of partitions",725,725,725,725,"sum",""
1,9,"AQEShuffleRead",9478,"partition data size",1048998,1442587,2522564,1084983574,"size",""
1,9,"AQEShuffleRead",9479,"number of coalesced partitions",75,75,75,75,"sum",""
1,10,"Exchange",9358,"data size",2184704,2465484,2959936,1972548776,"size","133,191,162"
1,10,"Exchange",9359,"number of partitions",800,800,800,800,"sum","133,191,162"
1,10,"Exchange",9360,"remote blocks read",791,817,1592,1909219,"sum","133,191,162"
1,10,"Exchange",9361,"local blocks read",4,4,18,10781,"sum","133,191,162"
1,10,"Exchange",9362,"remote bytes read",994494,1418579,2394431,3085795197,"size","133,191,162"
1,10,"Exchange",9364,"local bytes read",4361,7864,21840,17487612,"size","133,191,162"
1,10,"Exchange",9365,"fetch wait time",0,0,103,8334,"timing","133,191,162"
1,10,"Exchange",9366,"records read",9389,15233,26043,33522504,"sum","133,191,162"
1,10,"Exchange",9375,"remote reqs duration",2613,13004,33139,28523969,"timing","133,191,162"
1,10,"Exchange",9377,"shuffle bytes written",1168311,1292834,1511846,1034427603,"size","133,191,162"
1,10,"Exchange",9378,"shuffle records written",12389,13762,16743,11174168,"sum","133,191,162"
1,10,"Exchange",9379,"shuffle write time",3252528,5379285,28510354,4303588036,"nsTiming","133,191,162"
1,11,"WholeStageCodegen (69)",9380,"duration",533,1678,2995,1530085,"timing","133"
