App ID,SQL ID,Operator,Count,Stage Task Exec Duration(s),Total SQL Task Duration(s),% of Total SQL Task Duration,Supported
spark-804ba8c1909c4004bb53641858a61004,1,AQEShuffleRead,21,11862.69,130110.78,9.12,True
spark-804ba8c1909c4004bb53641858a61004,1,AdaptiveSparkPlan,1,8.75,130110.78,0.01,False
spark-804ba8c1909c4004bb53641858a61004,1,ColumnarToRow,19,12682.84,130110.78,9.75,False
spark-804ba8c1909c4004bb53641858a61004,1,Exchange,29,124713.64,130110.78,95.85,True
spark-804ba8c1909c4004bb53641858a61004,1,Execute InsertIntoHadoopFsRelationCommand parquet,1,8.75,130110.78,0.01,True
spark-804ba8c1909c4004bb53641858a61004,1,Filter,19,12682.84,130110.78,9.75,True
spark-804ba8c1909c4004bb53641858a61004,1,HashAggregate,7,6321.82,130110.78,4.86,True
spark-804ba8c1909c4004bb53641858a61004,1,Project,18,116660.33,130110.78,89.66,True
spark-804ba8c1909c4004bb53641858a61004,1,Scan parquet,2,0.54,130110.78,0.00,False
spark-804ba8c1909c4004bb53641858a61004,1,Scan parquet,17,12682.30,130110.78,9.75,True
spark-804ba8c1909c4004bb53641858a61004,1,Sort,37,116669.08,130110.78,89.67,True
spark-804ba8c1909c4004bb53641858a61004,1,SortMergeJoin,18,116660.33,130110.78,89.66,True
spark-804ba8c1909c4004bb53641858a61004,1,WriteFiles,1,8.75,130110.78,0.01,True
spark-804ba8c1909c4004bb53641858a61004,2,AQEShuffleRead,17,5790.06,35918.85,16.12,True
spark-804ba8c1909c4004bb53641858a61004,2,AdaptiveSparkPlan,1,0.05,35918.85,0.00,False
spark-804ba8c1909c4004bb53641858a61004,2,ColumnarToRow,11,9467.28,35918.85,26.36,False
spark-804ba8c1909c4004bb53641858a61004,2,Exchange,29,35918.80,35918.85,100.00,True
spark-804ba8c1909c4004bb53641858a61004,2,Filter,11,9467.28,35918.85,26.36,True
spark-804ba8c1909c4004bb53641858a61004,2,HashAggregate,8,4633.52,35918.85,12.90,True
spark-804ba8c1909c4004bb53641858a61004,2,Project,17,26286.65,35918.85,73.18,True
spark-804ba8c1909c4004bb53641858a61004,2,Scan parquet,2,0.73,35918.85,0.00,False
spark-804ba8c1909c4004bb53641858a61004,2,Scan parquet,9,9466.55,35918.85,26.36,True
spark-804ba8c1909c4004bb53641858a61004,2,Sort,34,26286.65,35918.85,73.18,True
spark-804ba8c1909c4004bb53641858a61004,2,SortMergeJoin,17,26286.65,35918.85,73.18,True
