SQL ID,Operator Type,Operator Name,Count,Supported,Stages
0,"Exec","Execute CreateDataSourceTableAsSelectCommand",1,false,""
1,"Exec","Sort",96,true,"88:56:37:52:46:29:74:307:60:102:70:21:92:456:53:77:73:311:32:64:86:81:39:98:303:387:66:80:525:282:595:43:104:26:23:58:287:300:19:107:239:47:62:90:337"
1,"Expr","sum",94,true,"88:307:102:92:456:311:98:525:104:58:107:62:90"
1,"Exec","AQEShuffleRead",80,true,"56:37:52:46:29:74:60:102:70:21:53:77:73:32:64:86:81:39:98:303:387:66:80:282:595:43:26:23:287:300:19:239:47:337"
1,"Exec","Exchange",70,true,"0:88:5:56:37:52:14:46:29:1:74:307:6:60:102:70:21:92:9:53:77:13:73:2:311:32:64:12:86:81:7:39:98:303:387:66:3:80:525:282:16:43:104:26:23:8:58:287:300:19:107:239:4:47:15:62:90:337"
1,"Exec","Project",57,true,"0:56:37:52:46:29:74:6:60:102:70:21:456:9:53:77:13:73:32:64:12:86:81:39:98:303:387:66:80:525:282:43:26:23:287:300:19:239:47:337"
1,"Expr","isnotnull",43,true,"0:5:14:1:6:9:13:2:12:7:3:16:8:4:15"
1,"Exec","SortMergeJoin",40,true,"56:37:52:46:29:74:60:102:70:21:456:53:77:73:32:64:86:81:39:98:303:387:66:80:525:282:43:26:23:287:300:19:239:47:337"
1,"Expr","And",39,true,"0:5:14:1:6:9:13:12:3:8"
1,"Exec","HashAggregate",34,true,"88:307:102:92:456:311:98:525:104:58:107:239:62:90"
1,"Exec","ColumnarToRow",15,false,"0:5:14:1:6:9:13:2:12:7:3:16:8:4:15"
1,"Exec","Filter",15,true,"0:5:14:1:6:9:13:2:12:7:3:16:8:4:15"
1,"Exec","Scan parquet",13,true,"0:14:1:6:9:13:2:12:7:3:8:4:15"
1,"Expr","GreaterThan",7,true,"0:1:6:9:13:12:8"
1,"Expr","avg",4,true,"525:456:98"
1,"Expr","max",4,true,"525:456:98"
1,"Expr","LessThan",3,true,"0:6:12"
1,"Expr","xxhash64",3,true,"12:11:9"
1,"Exec","AdaptiveSparkPlan",2,false,"595:11"
1,"Exec","ObjectHashAggregate",2,true,"11:9"
1,"Exec","Scan parquet",2,false,"5:16"
1,"Expr","bloom_filter_agg",2,true,"11:9"
1,"Expr","count",2,true,"98"
1,"Exec","Execute InsertIntoHadoopFsRelationCommand parquet",1,true,"595"
1,"Exec","Subquery",1,false,"12"
1,"Exec","WriteFiles",1,true,"595"
1,"Expr","might_contain",1,true,"12"
2,"Exec","Sort",62,true,"645:628:614:651:623:821:634:660:630:647:654:657:826:641:900:616:758:769:749:954:643:903:620:664:828:635:607"
2,"Exec","AQEShuffleRead",59,true,"645:628:614:651:623:821:634:660:630:647:654:657:826:641:900:616:758:769:749:643:903:781:620:664:828:635:607"
2,"Exec","Exchange",52,true,"645:628:614:651:853:623:821:634:660:630:610:647:654:657:826:641:611:672:604:900:616:758:609:769:668:608:749:954:643:903:781:620:603:664:828:635:596:607"
2,"Exec","Project",36,true,"645:628:614:651:623:821:634:660:630:647:654:657:826:641:604:900:616:758:769:608:749:954:643:903:620:603:664:828:635:596:607"
2,"Expr","isnotnull",36,true,"628:614:651:630:610:641:611:604:609:608:620:603:596:607"
2,"Expr","And",31,true,"628:614:651:604:609:608:603:596:607"
2,"Exec","SortMergeJoin",30,true,"645:628:614:651:623:821:634:660:630:647:654:657:826:641:900:616:758:769:749:954:643:903:620:664:828:635:607"
2,"Exec","HashAggregate",22,true,"853:660:1006:826:672:769:668:954:781:664"
2,"Exec","ColumnarToRow",14,false,"628:614:651:630:610:641:611:604:609:608:620:603:596:607"
2,"Exec","Filter",14,true,"628:614:651:630:610:641:611:604:609:608:620:603:596:607"
2,"Exec","Scan parquet",12,true,"628:614:630:610:641:604:609:608:620:603:596:607"
2,"Expr","GreaterThan",6,true,"614:604:608:603:596:607"
2,"Expr","xxhash64",3,true,"607:606:604"
2,"Exec","AdaptiveSparkPlan",2,false,"1006:606"
2,"Expr","LessThan",2,true,"596:607"
2,"Exec","ObjectHashAggregate",2,true,"606:604"
2,"Exec","Scan parquet",2,false,"651:611"
2,"Expr","bloom_filter_agg",2,true,"606:604"
2,"Expr","count",2,true,"1006:954"
2,"Exec","Subquery",1,false,"607"
2,"Expr","might_contain",1,true,"607"
