Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
46,10530,0,false
43,10138,0,false
80,9254,0,false
12,173986,0,false
64,13349,0,false
4,9204,0,false
21,28339,0,false
77,11945,0,false
387,194485,0,false
56,21440,0,false
92,70546,0,false
52,10670,0,false
282,51360,0,false
14,130569,0,false
6,165019,0,false
307,100746,0,false
74,15032,0,false
8,164738,0,false
29,19584,0,false
16,233,77,false
81,14350,0,false
1,180126,0,false
525,85923,0,false
90,112205,0,false
9,165028,0,false
37,44597,0,false
60,12931,0,false
300,30659,0,false
86,9004,0,false
23,25221,0,false
70,17053,0,false
311,88687,0,false
15,146952,0,false
32,21068,0,false
62,72289,0,false
53,9175,0,false
456,152428,0,false
7,143113,0,false
102,36857,0,false
11,518,0,false
303,53671,0,false
0,852528,0,false
239,1347,0,false
47,17485,0,false
3,164455,0,false
58,109836,0,false
73,12935,0,false
66,12634,0,false
107,13868,0,false
287,54288,0,false
595,1674,0,false
19,64715,0,false
5,273,91,false
337,96088,0,false
13,165903,0,false
2,332847,0,false
98,9811,0,false
88,77664,0,false
26,15087,0,false
104,79352,0,false
39,14710,0,false
643,8832,0,false
628,22001,0,false
758,7579,0,false
630,20904,0,false
608,182891,0,false
657,8738,0,false
606,469,0,false
647,9344,0,false
769,6226,0,false
614,33432,0,false
672,58791,0,false
651,9121,1368,false
900,385397,0,false
610,150179,0,false
604,302740,0,false
611,267,89,false
821,29972,0,false
623,34319,0,false
1006,1526,0,false
853,264621,0,false
635,19534,0,false
654,8909,0,false
645,9584,0,false
616,35223,0,false
781,4840,0,false
609,157335,0,false
620,33113,0,false
954,407284,0,false
641,9299,0,false
607,182259,0,false
826,73015,0,false
749,36470,0,false
634,21959,0,false
668,68127,0,false
664,69840,0,false
828,83370,0,false
596,1566833,0,false
903,300915,0,false
660,8822,0,false
603,112545,0,false
