stageId,accumulatorId,name,min,median,max,total
0,362,"number of output rows",460000,2085083,2410100,12510500
0,363,"scan time",117,434,39629,769245
0,5392,"data size",28488448,132034164,152756288,792204992
0,5411,"shuffle bytes written",15077581,69129277,79950110,414775664
0,5412,"shuffle records written",445132,2063033,2386817,12378203
0,5413,"shuffle write time",15619563,39849077,46954200,239094468
0,5414,"duration",118,439,39773,783406
0,5415,"number of output rows",445132,2063033,2386817,12378203
0,5416,"number of output rows",460000,2085083,2410100,12510500
0,5417,"number of input batches",113,509,589,3058
0,8309,"internal.metrics.executorDeserializeTime",1,9,1351,29325
0,8310,"internal.metrics.executorDeserializeCpuTime",1137016,13560458,566890350,14157386815
0,8311,"internal.metrics.executorRunTime",119,450,41091,815413
0,8312,"internal.metrics.executorCpuTime",42023588,120728819,5909872928,126041145660
0,8313,"internal.metrics.resultSize",2723,2723,2983,2848779
0,8314,"internal.metrics.jvmGCTime",5,158,437,8200
0,8315,"internal.metrics.resultSerializationTime",1,1,3,68
0,8318,"internal.metrics.peakExecutionMemory",32768,1390249,268435456,1451687936
0,8337,"internal.metrics.shuffle.write.bytesWritten",15077581,69129277,79950110,414775664
0,8338,"internal.metrics.shuffle.write.recordsWritten",445132,2063033,2386817,12378203
0,8339,"internal.metrics.shuffle.write.writeTime",15619563,39849077,46954200,239094468
0,8340,"internal.metrics.input.bytesRead",1005925,1005925,1036961,1050370932
0,8341,"internal.metrics.input.recordsRead",460000,2085083,2410100,12510500
1,393,"number of output rows",80000,80000,80000,2000000
1,394,"scan time",6446,6855,7306,171522
1,5421,"data size",3193280,3194035,3195120,79851040
1,5440,"shuffle bytes written",1112074,1113300,1114356,27832668
1,5441,"shuffle records written",79832,79845,79878,1996276
1,5442,"shuffle write time",4725409,6200112,8617530,155002927
1,5443,"duration",6528,6961,7433,174205
1,5444,"number of output rows",79832,79845,79878,1996276
1,5445,"number of output rows",80000,80000,80000,2000000
1,5446,"number of input batches",32,32,32,800
1,8344,"internal.metrics.executorDeserializeTime",1,1,24,214
1,8345,"internal.metrics.executorDeserializeCpuTime",1395881,4190136,11538195,104753504
1,8346,"internal.metrics.executorRunTime",6658,7180,7694,179696
1,8347,"internal.metrics.executorCpuTime",606952026,940953861,1510115262,23523846641
1,8348,"internal.metrics.resultSize",2895,2910,2941,72881
1,8349,"internal.metrics.jvmGCTime",7,7,9,64
1,8350,"internal.metrics.resultSerializationTime",1,1,1,3
1,8353,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,8372,"internal.metrics.shuffle.write.bytesWritten",1112074,1113300,1114356,27832668
1,8373,"internal.metrics.shuffle.write.recordsWritten",79832,79845,79878,1996276
1,8374,"internal.metrics.shuffle.write.writeTime",4725409,6200112,8617530,155002927
1,8375,"internal.metrics.input.bytesRead",365276,365611,365844,9140416
1,8376,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,424,"number of output rows",119980,119993,120023,3000000
2,425,"scan time",5540,12535,48322,313536
2,5450,"data size",1919680,1919993,1920368,48000000
2,5469,"shuffle bytes written",817907,819891,822545,20497380
2,5470,"shuffle records written",119980,119993,120023,3000000
2,5471,"shuffle write time",3837592,5053439,6516017,126336134
2,5472,"duration",5579,12620,48546,315629
2,5473,"number of output rows",119980,119993,120023,3000000
2,5474,"number of output rows",119980,119993,120023,3000000
2,5475,"number of input batches",32,32,32,800
2,8379,"internal.metrics.executorDeserializeTime",1,396,2430,10005
2,8380,"internal.metrics.executorDeserializeCpuTime",1395750,57479081,484534327,1436977216
2,8381,"internal.metrics.executorRunTime",5696,12891,49339,322435
2,8382,"internal.metrics.executorCpuTime",462852335,919938269,2426058776,22998456886
2,8383,"internal.metrics.resultSize",2895,2916,2983,73051
2,8384,"internal.metrics.jvmGCTime",67,120,226,1468
2,8385,"internal.metrics.resultSerializationTime",1,2,3,7
2,8388,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
2,8407,"internal.metrics.shuffle.write.bytesWritten",817907,819891,822545,20497380
2,8408,"internal.metrics.shuffle.write.recordsWritten",119980,119993,120023,3000000
2,8409,"internal.metrics.shuffle.write.writeTime",3837592,5053439,6516017,126336134
2,8410,"internal.metrics.input.bytesRead",234462,234462,234464,5861590
2,8411,"internal.metrics.input.recordsRead",119980,119993,120023,3000000
3,455,"number of output rows",19980,19994,20012,500000
3,456,"scan time",6160,6424,6825,160796
3,5479,"data size",1099176,1101488,1102864,27537360
3,5498,"shuffle bytes written",484235,485976,487175,12149531
3,5499,"shuffle records written",19980,19994,20012,500000
3,5500,"shuffle write time",3162226,3801018,4491377,95025590
3,5501,"duration",6186,6453,6854,161508
3,5502,"number of output rows",19980,19994,20012,500000
3,5503,"number of output rows",19980,19994,20012,500000
3,5504,"number of input batches",32,32,32,800
3,8414,"internal.metrics.executorDeserializeTime",1,1,22,169
3,8415,"internal.metrics.executorDeserializeCpuTime",1433065,3376999,10645355,84425112
3,8416,"internal.metrics.executorRunTime",6262,6562,6968,164150
3,8417,"internal.metrics.executorCpuTime",443252968,574851562,800486399,14371289191
3,8418,"internal.metrics.resultSize",2895,2895,2939,72540
3,8419,"internal.metrics.jvmGCTime",66,66,66,132
3,8420,"internal.metrics.resultSerializationTime",1,1,1,1
3,8423,"internal.metrics.peakExecutionMemory",67633152,67633152,67633152,1690828800
3,8442,"internal.metrics.shuffle.write.bytesWritten",484235,485976,487175,12149531
3,8443,"internal.metrics.shuffle.write.recordsWritten",19980,19994,20012,500000
3,8444,"internal.metrics.shuffle.write.writeTime",3162226,3801018,4491377,95025590
3,8445,"internal.metrics.input.bytesRead",299700,300032,300407,7500963
3,8446,"internal.metrics.input.recordsRead",19980,19994,20012,500000
4,486,"number of output rows",2500,2500,2500,5000
4,487,"scan time",4398,4496,4595,8993
4,5508,"data size",40000,40000,40000,80000
4,5527,"shuffle bytes written",73692,73693,73695,147387
4,5528,"shuffle records written",2500,2500,2500,5000
4,5529,"shuffle write time",2900154,3060128,3220102,6120256
4,5530,"duration",4414,4512,4610,9024
4,5531,"number of output rows",2500,2500,2500,5000
4,5532,"number of output rows",2500,2500,2500,5000
4,5533,"number of input batches",25,25,25,50
4,8449,"internal.metrics.executorDeserializeTime",10,10,10,20
4,8450,"internal.metrics.executorDeserializeCpuTime",3572729,3602303,3631877,7204606
4,8451,"internal.metrics.executorRunTime",4484,4587,4691,9175
4,8452,"internal.metrics.executorCpuTime",360624206,377243605,393863004,754487210
4,8453,"internal.metrics.resultSize",2895,2916,2938,5833
4,8454,"internal.metrics.jvmGCTime",66,66,66,66
4,8458,"internal.metrics.peakExecutionMemory",67174400,67174400,67174400,134348800
4,8477,"internal.metrics.shuffle.write.bytesWritten",73692,73693,73695,147387
