Stage ID,Stage Task Duration,Unsupported Task Duration,Stage Estimated
137,687678,0,false
13,147226,0,false
299,588552,0,false
77,512662,0,false
10,9649,0,false
48,1111595,0,false
21,854396,0,false
142,860751,0,false
726,72293,0,false
65,15545,0,false
39,179620,0,false
819,126670,0,false
108,1166973,0,false
1,161138,0,false
4,10750,0,false
121,859130,0,false
6,4212848,0,false
50,1199921,0,false
271,1649806,0,false
203,881159,0,false
180,885576,0,false
11,314,104,false
104,999855,0,false
19,159729,0,false
54,79474,0,false
51,980797,0,false
542,600125,0,false
357,2331414,0,false
27,140161,0,false
185,784509,0,false
475,2569050,0,false
0,5444355,0,false
42,408649,0,false
45,6123,0,false
7,153745,0,false
58,986634,0,false
197,270405,0,false
204,828988,0,false
248,1612021,0,false
168,584884,0,false
18,284,94,false
49,99833,0,false
28,13171689,0,false
31,17150,0,false
209,339929,0,false
60,1316691,0,false
152,850363,0,false
8,146553,0,false
26,16901545,0,false
221,2158910,0,false
191,390675,0,false
40,5961,0,false
74,410793,0,false
53,1022383,0,false
70,579432,0,false
9,149549,0,false
634,85571,0,false
23,12543,0,false
174,1395757,0,false
241,2517255,0,false
41,7002591,0,false
5,356,118,false
163,1079518,0,false
24,17123782,0,false
36,22648719,0,false
44,251709,0,false
17,488879,0,false
16,159282,0,false
15,340,113,false
81,11445,0,false
25,21568,0,false
262,2447590,0,false
67,611022,0,false
22,19136317,0,false
52,77750,0,false
409,2505643,0,false
386,1926347,0,false
181,758160,0,false
157,596316,0,false
133,560672,0,false
118,1477689,0,false
88,1221622,0,false
146,556668,0,false
82,1270241,0,false
46,982606,0,false
227,1577111,0,false
37,71411007,0,false
99,1326817,0,false
289,734691,0,false
85,613606,0,false
62,899307,0,false
32,52616848,0,false
35,248133,0,false
3,178850,0,false
12,148731,0,false
2,158611,0,false
55,983284,0,false
30,12428055,0,false
38,5871,0,false
92,1483661,0,false
57,689716,0,false
335,936810,0,false
34,39312442,0,false
79,1280770,0,false
29,13578267,0,false
318,651884,0,false
125,1020166,0,false
47,293065,0,false
43,1107591,0,false
96,1456827,0,false
14,4235155,0,false
129,860079,0,false
114,1409632,0,false
950,315372,0,false
867,1047313,0,false
1177,457320,0,false
860,1553950,0,false
878,800479,0,false
886,739004,0,false
862,1492965,0,false
845,3595017,0,false
836,847,282,false
937,1038335,0,false
971,1876264,0,false
942,493762,0,false
826,3574701,0,false
901,563097,0,false
857,1483135,0,false
1094,1358372,0,false
1017,1436239,0,false
835,411316,0,false
1067,532277,0,false
1039,426390,0,false
830,438,146,false
850,1898905,0,false
917,372276,0,false
1119,1781889,0,false
899,831164,0,false
1247,44845,0,false
841,3783464,0,false
1318,35,0,false
833,390,130,false
843,3460705,0,false
996,1438418,0,false
822,209650,0,false
829,16160,0,false
874,746235,0,false
896,603374,0,false
834,422758,0,false
959,552490,0,false
1106,1602471,0,false
854,1749295,0,false
903,448721,0,false
870,863958,0,false
926,691521,0,false
824,15225,0,false
831,258904,0,false
892,956337,0,false
839,4577094,0,false
828,239245,0,false
921,228347,0,false
954,633783,0,false
976,1455910,0,false
820,5671274,0,false
1082,1596179,0,false
907,499482,0,false
883,779576,0,false
827,251476,0,false
872,1024998,0,false
821,214251,0,false
953,693918,0,false
1056,470099,0,false
825,263,87,false
853,1736762,0,false
823,249639,0,false
832,310726,0,false
913,485130,0,false
1031,488386,0,false
931,1049176,0,false
856,1442080,0,false
1010,1738327,0,false
990,1865384,0,false
875,658975,0,false
846,3432558,0,false
