sqlID,nodeID,nodeName,accumulatorId,name,min,median,max,total,metricType,stageIds
1,1,"Execute InsertIntoHadoopFsRelationCommand",111154,"number of written files",39,39,39,39,"sum","819"
1,1,"Execute InsertIntoHadoopFsRelationCommand",111155,"written output",17008186,17008186,17008186,17008186,"size","819"
1,1,"Execute InsertIntoHadoopFsRelationCommand",111156,"number of output rows",136673,136673,136673,136673,"sum","819"
1,1,"Execute InsertIntoHadoopFsRelationCommand",111157,"number of dynamic part",0,0,0,0,"sum","819"
1,1,"Execute InsertIntoHadoopFsRelationCommand",111158,"task commit time",419,481,667,19128,"timing","819"
1,1,"Execute InsertIntoHadoopFsRelationCommand",111159,"job commit time",1838,1838,1838,1838,"timing","819"
1,3,"WholeStageCodegen (383)",111160,"duration",622,2080,4382,81504,"timing","819"
1,4,"Sort",111161,"sort time",3,4,17,317,"timing","819"
1,4,"Sort",111162,"peak memory",67239936,67239936,67239936,2622357504,"size","819"
1,4,"Sort",111163,"spill size",0,0,0,0,"size","819"
1,5,"AQEShuffleRead",111164,"number of partitions",39,39,39,39,"sum",""
1,5,"AQEShuffleRead",111165,"partition data size",1053340,1079941,1264435,42208372,"size",""
1,5,"AQEShuffleRead",111166,"number of coalesced partitions",39,39,39,39,"sum",""
1,6,"Exchange",111038,"data size",235408,366119,546320,46867200,"size","726,819"
1,6,"Exchange",111039,"number of partitions",800,800,800,800,"sum","726,819"
1,6,"Exchange",111040,"remote blocks read",1680,1834,2234,71908,"sum","726,819"
1,6,"Exchange",111041,"local blocks read",5,9,18,366,"sum","726,819"
1,6,"Exchange",111042,"remote bytes read",1000125,1030881,1211504,40204706,"size","726,819"
1,6,"Exchange",111044,"local bytes read",1853,7811,13612,203250,"size","726,819"
1,6,"Exchange",111045,"fetch wait time",0,0,0,0,"timing","726,819"
1,6,"Exchange",111046,"records read",3416,3494,4442,136673,"sum","726,819"
1,6,"Exchange",111055,"remote reqs duration",571,1088,1513,42751,"timing","726,819"
1,6,"Exchange",111057,"shuffle bytes written",209893,315655,453918,40407956,"size","726,819"
1,6,"Exchange",111058,"shuffle records written",697,1035,1593,136673,"sum","726,819"
1,6,"Exchange",111059,"shuffle write time",1623499,2183803,3145993,279530270,"nsTiming","726,819"
1,7,"WholeStageCodegen (382)",111060,"duration",179,231,388,100165,"timing","726,634"
1,9,"SortMergeJoin",111061,"number of output rows",697,1035,1593,410019,"sum","726,634"
1,9,"SortMergeJoin",111062,"spill size",0,0,0,0,"size","726,634"
1,10,"WholeStageCodegen (380)",111064,"duration",190,283,488,124081,"timing","726,634"
1,11,"Sort",111065,"sort time",0,1,8,898,"timing","726,634"
1,11,"Sort",111066,"peak memory",67174400,67174400,67174400,25794969600,"size","726,634"
1,11,"Sort",111067,"spill size",0,0,0,0,"size","726,634"
1,12,"AQEShuffleRead",111068,"number of partitions",128,128,128,128,"sum",""
1,12,"AQEShuffleRead",111069,"partition data size",204502,292468,439268,38703931,"size",""
1,12,"AQEShuffleRead",111070,"number of coalesced partitions",128,128,128,128,"sum",""
1,13,"Exchange",110962,"data size",36840,46071,58160,37026744,"size","542,726,634"
1,13,"Exchange",110963,"number of partitions",800,800,800,800,"sum","542,726,634"
1,13,"Exchange",110964,"remote blocks read",637,830,1274,331232,"sum","542,726,634"
1,13,"Exchange",110965,"local blocks read",1,1,15,1924,"sum","542,726,634"
1,13,"Exchange",110966,"remote bytes read",192285,288266,416814,110703287,"size","542,726,634"
1,13,"Exchange",110968,"local bytes read",294,1629,5256,638620,"size","542,726,634"
1,13,"Exchange",110969,"fetch wait time",0,0,0,0,"timing","542,726,634"
1,13,"Exchange",110970,"records read",697,1035,1593,410019,"sum","542,726,634"
1,13,"Exchange",110979,"remote reqs duration",378,1097,3412,424434,"timing","542,726,634"
