stageId,accumulatorId,name,min,median,max,total
0,431,"number of output rows",2410100,2412943,3978300,2500000000
0,432,"scan time",133,2623,28136,2991302
0,6258,"data size",134965600,135134946,222784800,140000000000
0,6277,"shuffle bytes written",77886442,77992834,128406630,80800839341
0,6278,"shuffle records written",2410100,2412943,3978300,2500000000
0,6279,"shuffle write time",35591493,43241483,91235777,44798444660
0,6280,"duration",135,3292,30725,3691574
0,6281,"number of output rows",2410100,2412943,3978300,2500000000
0,6282,"number of output rows",2410100,2412943,3978300,2500000000
0,6283,"number of input batches",589,589,972,610970
0,9539,"internal.metrics.executorDeserializeTime",1,1,3826,109951
0,9540,"internal.metrics.executorDeserializeCpuTime",1368816,31247261,588596207,32622398374
0,9541,"internal.metrics.executorRunTime",139,4855,33186,5323096
0,9542,"internal.metrics.executorCpuTime",55625267,2452680097,5541147123,2560598297241
0,9543,"internal.metrics.resultSize",2724,2889,2984,3062056
0,9544,"internal.metrics.jvmGCTime",7,9,504,71454
0,9545,"internal.metrics.resultSerializationTime",1,1,3,71
0,9548,"internal.metrics.peakExecutionMemory",32768,266507034,335544320,278233612288
0,9567,"internal.metrics.shuffle.write.bytesWritten",77886442,77992834,128406630,80800839341
0,9568,"internal.metrics.shuffle.write.recordsWritten",2410100,2412943,3978300,2500000000
0,9569,"internal.metrics.shuffle.write.writeTime",35591493,43241483,91235777,44798444660
0,9570,"internal.metrics.input.bytesRead",1005925,1028488,1044263,1074108889
0,9571,"internal.metrics.input.recordsRead",2410100,2412943,3978300,2500000000
1,462,"number of output rows",80000,80000,80000,2000000
1,463,"scan time",5819,6258,6815,156589
1,6287,"data size",4480000,4480000,4480000,112000000
1,6306,"shuffle bytes written",1466403,1468935,1471897,36723497
1,6307,"shuffle records written",80000,80000,80000,2000000
1,6308,"shuffle write time",3772801,4331243,6567741,108281236
1,6309,"duration",5868,6312,6865,157962
1,6310,"number of output rows",80000,80000,80000,2000000
1,6311,"number of output rows",80000,80000,80000,2000000
1,6312,"number of input batches",32,32,32,800
1,9574,"internal.metrics.executorDeserializeTime",1,7,54,346
1,9575,"internal.metrics.executorDeserializeCpuTime",1491085,6143522,15287503,153588237
1,9576,"internal.metrics.executorRunTime",5963,6420,6948,160648
1,9577,"internal.metrics.executorCpuTime",573799918,819511629,1257621741,20487790879
1,9578,"internal.metrics.resultSize",2896,2911,2941,72896
1,9579,"internal.metrics.jvmGCTime",18,20,27,248
1,9583,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
1,9602,"internal.metrics.shuffle.write.bytesWritten",1466403,1468935,1471897,36723497
1,9603,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
1,9604,"internal.metrics.shuffle.write.writeTime",3772801,4331243,6567741,108281236
1,9605,"internal.metrics.input.bytesRead",214560,214742,214752,5368572
1,9606,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
2,493,"number of output rows",119980,119994,120023,3000000
2,494,"scan time",5802,6154,6490,153981
2,6316,"data size",3839360,3839994,3840736,96000000
2,6335,"shuffle bytes written",939851,940632,941223,23515992
2,6336,"shuffle records written",119980,119994,120023,3000000
2,6337,"shuffle write time",3575851,4276161,5616018,106904163
2,6338,"duration",5849,6207,6549,155317
2,6339,"number of output rows",119980,119994,120023,3000000
2,6340,"number of output rows",119980,119994,120023,3000000
2,6341,"number of input batches",32,32,32,800
2,9609,"internal.metrics.executorDeserializeTime",1,3,26,269
2,9610,"internal.metrics.executorDeserializeCpuTime",1696175,5381412,12401147,134535412
2,9611,"internal.metrics.executorRunTime",5943,6323,6686,158205
2,9612,"internal.metrics.executorCpuTime",650693940,788517399,980581736,19712935154
